LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40A0449	184000	439750	Rijksdriehoeksmeting	40A		8.0		40AA3449	238	44			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Ag (mg/m3)	Al (mg/m3)	As (mg/m3)	B (mg/m3)	Ba (mg/m3)	Br- (g/m3)	Ca++ (g/m3)	Cd (mg/m3)	Cl- (g/m3)	Co (mg/m3)	Cr (mg/m3)	Cu (mg/m3)	DOC_C (g/m3)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOX (umol/m3)	F- (g/m3)	Fe (g/m3)	H+ (-)	H+(5)_veld (-)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K+ (g/m3)	KMnO4_O (gO/m3)	Mg++ (g/m3)	Mn (g/m3)	NH4+_N (g/m3)	NO3-_N (g/m3)	Na+ (g/m3)	Ni (mg/m3)	P-tot_P (g/m3)	PO4---_P (g/m3)	Pb (mg/m3)	SO4-- (g/m3)	Sb (mg/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	TOC_C (g/m3)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Zn (mg/m3)	
B40A0449	23-07-2007	L2007-07-0019		nee	780.0	980.0	23-07-2007		2.3259	0.8875		37.71		70.225	<0.01	26.56		<0.4	0.2119	2	49.8	50.4			1.337	7.68	7.84	263.06	266.45	1.058		6.529	0.37794	0.39	<0.01	9.754	1.1539	0.056		<0.04	14.71			239	11.3					0.3125	
B40A0449	30-05-2006	L2006-05-0080		nee	2300.0	2500.0	30-05-2006		4.6236	0.3732		5.6475		38.412	<0.01	7.16		<0.2	0.0557	<0.6	23.2	23.4			<0.003	7.3	7.8	135	138	<0.6		3.804	0.17214	<0.241	<0.014	7.825	0.2636	0.06601		0.0371	1.71			88.3244	11					0.3812	
B40A0449	10-08-2005	L2005-08-0264		nee	780.0	980.0	10-08-2005		3.2	0.89		43.6		99.1	<0.0002	38.7	0.07	0.37	0.13	1.8	62.1	64.3			1.5	7.4	7.48		337.045	1.1		9.1	0.437	<0.24	<0.01	14.6	0.48	0.0392		0.02	10.2			306	11			0.42		0.31	
B40A0449	18-04-2003	L2003-04-0171		nee	780.0	980.0	18-04-2003		<10	1.15		50		111.44	<0.05	39.97		<0.4	<0.5		67.9				1.734		7.86		343.345	1.3		11.01	0.488	<0.03	<0.03	16.44	<0.5	<0.06			14.98			333.7	10.8					<4	
B40A0449	04-06-2002	C2002-06-8014		nee	2300.0	2500.0	04-06-2002		<53.96	0.524		6.867		36.874	<0.02	7.125		<1.04	<1.271		22.5				<0.034		8.01		130.925	0.43		3.574	0.209	0.07	<0.028	6.69	<1.174	<0.062			1.921			101.639	10.8					<13.078	
B40A0449	17-08-2001	C2001-08-8035		nee	780.0	980.0	17-08-2001		<53.96	1.124		39.826		90.461	<0.02	28.289		<1.04	<1.271		54.8				1.329		7.68		279.53	1.056		8.314	0.387	0.028	<0.028	15.219	<1.174	<0.062			16.81			265.489	10.8					<13.078	
B40A0449	31-05-1999	C1999-05-8156		nee	780.0	980.0	31-05-1999		<13.49	1.049		33.234		81.651	<0.101	19.675		<0.702	<0.699		49				1.128		7.77		250.89	0.938		7.585	0.361	0.028	0.322	10.185	<0.698	0.068			17.675			234.822	10.7					<6.539	
B40A0449	07-05-1998	C1998-05-1020		nee	2300.0	2500.0	07-05-1998		<13.49	0.599		6.867		38.441	<0.045	6.984		<0.728	<0.699		23.5				0.022		7.89		128.93	0.43		3.695	0.171	0.056	<0.028	6.805	<0.704	<0.062			2.113			104.268	10.9					<6.539	
B40A0449	22-07-1997	C1997-07-1152		nee	780.0	980.0	22-07-1997		<13.49	1.124	5.405	31.723		79.054	<0.045	14.783		<0.702	<0.699		46.3				1.145		7.66		235.62	0.899		7.342	0.363	0.028	0.056	8.759	<0.698	<0.062			18.636			225.183	10.2					<6.539	
B40A0449	21-05-1996	C1996-05-1234		nee	780.0	980.0	21-05-1996		21.584	1.199		41.336		100.208	<0.056	21.483		<0.702	<0.699		58.2				1.519		7.74		290.53	1.017		9.238	0.48	0.042	0.098	10.713	<0.698	<0.062			26.32			284.765	10.2					<6.539	
B40A0449	21-05-1996	C1996-05-1235		nee	2300.0	2500.0	21-05-1996		<13.49	0.524		7.278		37.27	<0.056	7.055		<0.702	<0.699		23.5				0.022		8.04		124.13	0.43		3.574	0.167	0.056	0.028	6.506	<0.698	<0.062			2.209			101.639	10.5					<6.539	
B40A0449	16-05-1995	C1995-05-1197		nee	2300.0	2500.0	16-05-1995		<13.49	0.524		7.278		37.034	<0.045	7.26		<0.26	<0.635		22.3				0.034		7.96	129.973		0.43		3.549	0.166	0.056	0.043	6.598	<0.88	<0.062			2.104			101.639	11					<6.539	
B40A0449	16-05-1995	C1995-05-1196		nee	780.0	980.0	16-05-1995		<13.49	1.199		42.16		101.972	<0.045	32.065		<0.26	<0.635		55.5				1.452		7.64	291.065		1.056		9.481	0.47	0.042	<0.028	10.667	<0.88	0.062			25.667			290.898	11.2					<6.539	
B40A0449	03-05-1994	C1994-05-1010		nee	780.0	980.0	03-05-1994		<13.49			42.71		103.222	<0.045	30.111			0.635	1.213	59.6				1.469		7.7			1.056		9.627	0.489	0.028	0.126	10.162		<0.062		<0.207	30.22			295.279	10.3					6.539	
B40A0449	03-05-1994	C1994-05-1011		nee	2300.0	2500.0	03-05-1994		<13.49			6.867		35.795	<0.045	12.244			1.271	0.3	22.6				0.017		8			0.43		3.452	0.194	0.028	0.13	6.414		0.124		<0.207	2.296			99.887	10.3					6.539	
B40A0449	02-07-1993	C1993-07-1023		nee	2300.0	2500.0	02-07-1993		<13.49	0.524		6.317		35.439		7.047				0.216	22				0.011		7.97			0.43		3.428	0.196		0.084	6.437		<0.062			2.296			98.134	10.1					<6.539	
B40A0449	02-07-1993	C1993-07-1022		nee	780.0	980.0	02-07-1993		<13.49	1.199		40.512		99.787		23.518				1.321	59				1.363		7.76			1.056		9.311	0.475		0.057	10.529		<0.062			35.081			283.889	10.2					<6.539	
