LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40A0457	189750	444100	Rijksdriehoeksmeting	40A		18.0		40AA3457	387	37			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/m3)	As (mg/m3)	B (mg/m3)	Ba (mg/m3)	Ca++ (g/m3)	Cd (mg/m3)	Cl- (g/m3)	Cr (mg/m3)	Cu (mg/m3)	DOC_C (g/m3)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOX (umol/m3)	F- (g/m3)	Fe (g/m3)	H+ (-)	H+(5)_veld (-)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K+ (g/m3)	KMnO4_O (gO/m3)	Mg++ (g/m3)	Mn (g/m3)	NH4+_N (g/m3)	NO3-_N (g/m3)	Na+ (g/m3)	Ni (mg/m3)	P-tot_P (g/m3)	PO4---_P (g/m3)	Pb (mg/m3)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	TOC_C (g/m3)	Tg (TU)	VOX (umol/m3)	Zn (mg/m3)	
B40A0457	17-08-2001	C2001-08-8047		nee	1010.0	1210.0	17-08-2001	<53.96	4.645		90.638	82.725	<0.02	44.1	1.212	<1.271		67.7				<0.034		6.68		167.41	10.283		9.481	<0.004	<0.014	12.777	34.738	2.5	0.282			72.429		221.679	11.1				<13.078	
B40A0457	31-10-2000	C2000-10-8290		nee	1010.0	1210.0	31-10-2000	<53.96	4.87		98.878	107.134	0.079	48.035	<1.04	<1.271		57				0.045		6.51	220.282		9.775		11.547	<0.004	<0.014	13.071	32.416	3.069	0.325			84.149		264.612	11.8				<13.078	
B40A0457	31-10-2000	C2000-10-8288		nee	2300.0	2500.0	31-10-2000	<53.96	<0.15		17.853	64.248	0.056	54.699	<1.04	<1.271		40.6				<0.034		6.57	145.228		16.5		10.162	2.046	<0.014	10.437	37.681	2.688	<0.062			64.072		148.954	11.9				<13.078	
B40A0457	31-05-1999	C1999-05-8161		nee	1010.0	1210.0	31-05-1999	32.376	5.169		120.713	111.783	<0.101	51.119	<0.702	2.275		98.5				0.022		6.66		339.69	16.539		12.738	0.004	<0.014	2.662	31.151	3.903	0.328			37.752		297.908	11.1				13.078	
B40A0457	07-05-1998	C1998-05-1021		nee	2300.0	2500.0	07-05-1998	<13.49	<0.15		23.758	77.03	0.056	72.212	<0.728	<0.699		73.5				0.017		6.37		163.155	17.986		12.422	2.612	<0.014	10.914	39.888	3.521	<0.062			68.107		181.373	11.6				<6.539	
B40A0457	07-05-1998	C1998-05-8036		nee	1010.0	1210.0	07-05-1998		5.544																																					
B40A0457	22-07-1997	C1997-07-1153		nee	1010.0	1210.0	22-07-1997	<13.49	5.319	70.265	104.096	78.861	<0.045	35.663	<0.702	<0.699		63.1				<0.011		6.38		171.45	16.148		9.481	<0.002	<0.014	9.793	23.864	4.079	0.316			53.986		224.307	11				<6.539	
B40A0457	22-05-1996	C1996-05-1273		nee	2300.0	2500.0	22-05-1996	<13.49	<0.15		20.462	70.761	<0.056	61.577	<0.702	<0.699		66.7				<0.011		6.51		147.76	16.891		11.644	1.922	<0.014	4.315	32.554	3.14	<0.062			75.791		165.602	11				<6.539	
B40A0457	22-05-1996	C1996-05-1272		nee	1010.0	1210.0	22-05-1996	<13.49	5.844		80.338	57.583	<0.056	52.821	<0.702	<0.699		57.5				<0.011		6.47		95.71	14.311		6.88	<0.002	<0.014	12.973	32.692	2.964	0.338			47.262		166.478	11.1				<6.539	
B40A0457	16-05-1995	C1995-05-1199		nee	2300.0	2500.0	16-05-1995	16.188	<0.15		23.209	70.212	0.056	61.063	<0.26	<0.635		62.2				<0.011		6.44	158.652		16.93		11.669	2.473	<0.014	4.367	32.899	3.991	<0.062			74.091		165.602	11				<6.539	
