LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40B0369	192280	442155	Rijksdriehoeksmeting	40B		11.26		40BA3369	1060	36			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	Al (mg/m3)	As (mg/m3)	As (ug/l)	Ba (mg/m3)	Ba (ug/l)	Ca (g/m3)	Ca (mg/l)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC (g/m3)	EC (mS/m)	F- (g/m3)	Fe (g/m3)	Fe (mg/l)	H-3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	K (g/m3)	K (mg/l)	Mg (g/m3)	Mg (mg/l)	Mn (g/m3)	Mn (mg/l)	NH4 (g/m3)	NH4 (gN/m3)	NH4 (mg/l)	NO3 (g/m3)	NO3 (gN/m3)	NO3 (mg/l)	Na (g/m3)	Na (mg/l)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (gP/m3)	O-PO4 (mg/l)	PO4 (g/m3)	Pb (mg/m3)	Pb (ug/l)	Ptot (g/m3)	SO4 (g/m3)	SO4 (mg/l)	Sr (mg/m3)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	TEMP-V (C)	TOTH (mmol/l)	T_5 (C)	Tg (TU)	VOX (umol/m3)	Zn (mg/m3)	Zn (ug/l)	doc (g/m3)	pH (-)	pH-5 (-)	
B40B0369	15-08-1994	C1994-08-1094		nee	2300.0	2500.0	15-08-1994	<.013					62.62		110.39		<.04		88.42				1.91					3.1					1.49		10.43		.28			.103			.532		51.66							<.21			68.88				<.184	20	3.18					<6.54				
B40B0369	15-08-1994	L1994-08-7560		nee	2300.0	2500.0	15-08-1994		<13.49			63		110		<.045		88				2					3					1.49		10.43		.285		.084			.12			51.66							<.207		<.062	69		366						10.7			<6.539		1.47		7.9	
B40B0369	15-08-1994	C1994-08-8066		nee	2300.0	2500.0	15-08-1994		<13.490			62.622		110.388		<0.045		88.419				1.906		1.465			3.100					1.486		10.429		0.285			0.084			0.120		51.659							<0.207			68.875		366.252	10.7	<0.062							<6.539				7.9	
B40B0369	15-08-1994	L1994-08-7559		nee	1300.0	1500.0	15-08-1994		24.28			127		168		<.045		51				1					8					4.22		16.8		1		.336			1			29.93							<.207		<.062	76		710						10.7			13		1.72		7.2	
B40B0369	15-08-1994	C1994-08-8064		nee	450.0	650.0	15-08-1994		59.356			265.047		302.271		<0.045		49.134				<0.635		3.891			15.046					0.899		31.992		4.054			0.210			0.506		30.623							<0.207			167.461		976.087	12.2	0.248							<6.539				6.8	
B40B0369	15-08-1994	C1994-08-8065		nee	1300.0	1500.0	15-08-1994		24.282			127.168		167.631		<0.045		50.502				1.271		1.717			7.925					4.223		16.798		1.069			0.336			1.079		29.933							<0.207			75.513		709.722	10.7	<0.062							13.078				7.2	
B40B0369	15-08-1994	L1994-08-7558		nee	450.0	650.0	15-08-1994		59.36			265		302		<.045		49				<.635					15					.9		31.99		4		.21			.506			30.62							<.207		.248	167		976						12.2			<6.539		3.89		6.8	
B40B0369	15-08-1994	C1994-08-1092		nee	450.0	650.0	15-08-1994	.059					265.05		302.27		<.04		49.13				<.64					15.05					.9		31.99		4.05			.271			2.259		30.62							<.21			167.46				.768	20	8.86					<6.54				
B40B0369	15-08-1994	C1994-08-1093		nee	1300.0	1500.0	15-08-1994	.024					127.17		167.63		<.04		50.5				1.27					7.92					4.22		16.8		1.07			.439			4.784		29.93							<.21			75.51				<.184	20	4.87					13.08				
B40B0369	16-09-1993	C1993-09-1142		nee	450.0	650.0	16-09-1993	<.013			2.77		185.81		186.09				50.32									10.43					.94		16.21		2.31						.089		31.59										101.4				.583	20	5.31					<6.54				
B40B0369	16-09-1993	C1993-09-8177		nee	450.0	650.0	16-09-1993		<13.490	2.772		185.807		186.087				50.321						2.138			10.427					0.938		16.215		2.305						0.021		31.588										101.401		589.683		0.186							<6.539					
B40B0369	16-09-1993	L1993-09-0085		nee	2300.0	2500.0	16-09-1993		26.98	1		62		111				96									3					1.37		9.99		.293					<.014			49.2									<.062	69		364									<6.539		1.66			
B40B0369	16-09-1993	C1993-09-1144		nee	2300.0	2500.0	16-09-1993	.027			1.42		62.35		111.25				96.5									3.35					1.37		9.99		.29						<.044		49.2										68.7				<.184	20	3.19					<6.54				
B40B0369	16-09-1993	C1993-09-8171		nee	2300.0	2500.0	16-09-1993		26.980	1.423		62.348		111.246				96.498						1.657			3.345					1.369		9.991		0.293						<0.014		49.199										68.702		363.623		<0.062							<6.539					
B40B0369	16-09-1993	L1993-09-0084		nee	1300.0	1500.0	16-09-1993		<13.49	3		185		186				20									10					.98		16.19		2					<.014			31.4									<.062	57		589									13		1.68			
B40B0369	16-09-1993	C1993-09-1143		nee	1300.0	1500.0	16-09-1993	<.013			2.77		185.4		186.27				20.45									10.43					.98		16.19		2.3						<.044		31.4										56.91				<.184	20	5.32					13.08				
B40B0369	16-09-1993	C1993-09-8176		nee	1300.0	1500.0	16-09-1993		<13.490	2.772		185.396		186.268				20.455						1.681			10.427					0.977		16.190		2.304						<0.014		31.404										56.906		588.806		<0.062							13.078					
B40B0369	16-09-1993	L1993-09-0083		nee	450.0	650.0	16-09-1993		<13.49	3		186		186				50									10					.94		16.22		2					.021			31.59									.186	101		590									<6.539		2.14			
B40B0369	31-08-1992	C1992-08-1207		nee	2300.0	2500.0	31-08-1992	<.013			1.35		64.86		114.66		<.04		103.04		<.78		<.64		78.8			3.13			264.83		1.38		10.53		.29			.103			<.044		50.69		<.88					<.08			72.93				<.184	20	3.29					<6.54		7.3		
B40B0369	31-08-1992	L1992-08-0022		nee	1300.0	1500.0	31-08-1992		25.2	2.79		96.57		142.18		<.04		24.76		<.78		<.64			73.9		5.85			438.12		3.39		14.14		.72		.31			.02			18.04		<.88					<.08		<.06	56.88		615.84									<6.54		1.29	7.18		
B40B0369	31-08-1992	C1992-08-1205		nee	450.0	650.0	31-08-1992	<.013			2.16		154.14		153.43		<.04		63.34		<.78		<.64		86.1			7.26			413.72		.86		14.07		1.92			.297			.31		35.18		<.88					<.08			81.41				.614	20	4.41					7.25		6.9		
B40B0369	31-08-1992	C1992-08-1206		nee	1300.0	1500.0	31-08-1992	.025			2.79		96.57		142.18		<.04		24.76		<.78		<.64		73.9			5.85			438.12		3.39		14.14		.72			.4			.089		18.04		<.88					<.08			56.88				<.184	20	4.13					<6.54		7.18		
B40B0369	31-08-1992	C1992-08-8154		nee	450.0	650.0	31-08-1992		<13.49	2.16		154.14		153.43		<0.04		63.34		<0.78		<0.64		1.29	86.10		7.26			413.72		0.86		14.07		1.92			0.23			0.07		35.18		<0.88					<0.08			81.41		498.87		0.20							7.25			6.90		
B40B0369	31-08-1992	C1992-08-8152		nee	2300.0	2500.0	31-08-1992		<13.49	1.35		64.86		114.66		<0.04		103.04		<0.78		<0.64		1.38	78.80		3.13			264.83		1.38		10.53		0.29			0.08			<0.01		50.69		<0.88					<0.08			72.93		379.99		<0.06							<6.54			7.30		
B40B0369	31-08-1992	L1992-08-0023		nee	2300.0	2500.0	31-08-1992		<13.49	1.35		64.86		114.66		<.04		103.04		<.78		<.64			78.8		3.13			264.83		1.38		10.53		.29		.08			<.01			50.69		<.88					<.08		<.06	72.93		379.99									<6.54		1.38	7.3		
B40B0369	31-08-1992	C1992-08-8153		nee	1300.0	1500.0	31-08-1992		25.20	2.79		96.57		142.18		<0.04		24.76		<0.78		<0.64		1.29	73.90		5.85			438.12		3.39		14.14		0.72			0.31			0.02		18.04		<0.88					<0.08			56.88		615.84		<0.06							<6.54			7.18		
B40B0369	31-08-1992	L1992-08-0021		nee	450.0	650.0	31-08-1992		<13.49	2.16		154.14		153.43		<.04		63.34		<.78		<.64			86.1		7.26			413.72		.86		14.07		1.92		.23			.07			35.18		<.88					<.08		.2	81.41		498.87									7.25		1.29	6.9		
B40B0369	04-09-1991	L1991-09-0054		nee	1300.0	1500.0	04-09-1991		24.21	2.72		95.73		140.71		<.02		45.55		<.52		<.64			80.1		4.72			400.16		4.8		13.67		.66		.36			<.03			29.93		<.59					.12		<.06	78.91		623.98									<6.54		1.72	7.33		
B40B0369	04-09-1991	L1991-09-0055		nee	2300.0	2500.0	04-09-1991		<13.49	1.49		42.62		110.99		<.02		100.57		<.52		1.08			77.9		2.62			265.35		1.39		9.21		.17		.08			.06			50.92		<.59					.23		<.06	64.8		323.41									<6.54		1.6	7.46		
B40B0369	04-09-1991	C1991-09-1039		nee	2300.0	2500.0	04-09-1991	<.013			1.49		42.62		110.99		<.02		100.57		<.52		1.08		77.9			2.62			265.35		1.39		9.21		.17			.103			.266		50.92		<.59					.23			64.8				<.184	20	3.15					<6.54		7.46		
B40B0369	04-09-1991	C1991-09-8045		nee	2300.0	2500.0	04-09-1991		<13.49	1.49		42.62		110.99		<0.02		100.57		<0.52		1.08		1.60	77.90		2.62			265.35		1.39		9.21		0.17			0.08			0.06		50.92		<0.59					0.23			64.80		323.41		<0.06							<6.54			7.46		
B40B0369	04-09-1991	C1991-09-1038		nee	1300.0	1500.0	04-09-1991	.024			2.72		95.73		140.71		<.02		45.55		<.52		<.64		80.1			4.72			400.16		4.8		13.67		.66			.464			<.133		29.93		<.59					.12			78.91				<.184	20	4.07					<6.54		7.33		
B40B0369	04-09-1991	C1991-09-8046		nee	450.0	650.0	04-09-1991		19.48	2.25		137.11		158.88		0.03		65.53		<0.52		<0.64		2.84	88.80		6.89			442.86		0.83		14.07		1.49			0.16			<0.03		35.37		<0.59					0.41			67.78		495.17		0.22							<6.54			7.00		
B40B0369	04-09-1991	L1991-09-0053		nee	450.0	650.0	04-09-1991		19.48	2.25		137.11		158.88		.03		65.53		<.52		<.64			88.8		6.89			442.86		.83		14.07		1.49		.16			<.03			35.37		<.59					.41		.22	67.78		495.17									<6.54		2.84	7		
B40B0369	04-09-1991	C1991-09-1037		nee	450.0	650.0	04-09-1991	.019			2.25		137.11		158.88		.03		65.53		<.52		<.64		88.8			6.89			442.86		.83		14.07		1.49			.206			<.133		35.37		<.59					.41			67.78				.675	20	4.54					<6.54		7		
B40B0369	04-09-1991	C1991-09-8041		nee	1300.0	1500.0	04-09-1991		24.21	2.72		95.73		140.71		<0.02		45.55		<0.52		<0.64		1.72	80.10		4.72			400.16		4.80		13.67		0.66			0.36			<0.03		29.93		<0.59					0.12			78.91		623.98		<0.06							<6.54			7.33		
B40B0369	04-10-1990	C1990-10-8039		nee	1300.0	1500.0	04-10-1990		<18.83	2.29		110.44		137.26		<0.11		69.23		<0.52		0.79		1.48	81.00		5.06		46	359.90		5.10		14.45		0.77			0.41			<0.28		39.56		<0.59					<2.07			83.70		665.35		<0.06							<6.54			7.30		
