LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40B0440	190981	443302	Rijksdriehoeksmeting	40B		13.1		40BA3440	1061	21			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	AL (ug/l)	AS (ug/l)	Al (mg/l)	Al (mg/m3)	As (mg/m3)	As (ug/l)	Ba (mg/m3)	Ba (ug/l)	C-DOC (mg/l)	C-HCO3 (mg/l)	CA (mg/l)	CD (ug/l)	CL (mg/l)	CR (ug/l)	CU (ug/l)	Ca (g/m3)	Ca (mg/l)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (ug/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC (g/m3)	DOC (mg/l)	EC (mS/m)	EC-5 (mS/m)	EC-veld (uS/cm)	EC-veld_5 (mS/m)	EC25C (uS/cm)	ECLAB (uS/cm)	ECVELD (uS/cm)	EOX (ug/l)	F- (g/m3)	FE (mg/l)	Fe (g/m3)	Fe (mg/l)	H-3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (mol/l)	HCO3VELD (mg/l)	K (g/m3)	K (mg/l)	MG (mg/l)	MN (mg/l)	Mg (g/m3)	Mg (mg/l)	Mn (g/m3)	Mn (mg/l)	Mo (ug/l)	NA (mg/l)	NH4 (g/m3)	NH4 (gN/m3)	NH4 (mg/l)	NH4 (mgN/l)	NI (ug/l)	NO3 (g/m3)	NO3 (gN/m3)	NO3 (mg/l)	NO3+NO2 (mgN/l)	Na (g/m3)	Na (mg/l)	Ni (mg/m3)	Ni (ug/l)	P (mg/l)	P (ug/l)	PHLAB (-)	PHVELD (-)	Pb (mg/m3)	Pb (ug/l)	Ptot (g/m3)	S (mg/l)	SE (ug/l)	SO4 (g/m3)	SO4 (mg/l)	Se (ug/l)	Sr (mg/m3)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	TEMP-V (C)	TEMP-Veld (C)	TEMPVELD (C)	TOTH (mmol/l)	TOTP (mg/l)	T_5 (C)	Tg (TU)	V (ug/l)	VOX (umol/m3)	ZN (ug/l)	Zn (mg/m3)	Zn (ug/l)	doc (g/m3)	pH (-)	pH-5 (-)	pH-veld (-)	stijgh_mv (m-mv)	
B40B0440	24-10-2011	L2011-10-0034	Slangenpomp	nee	800.0	1000.0	25-10-2011									1	26.9																																																																																												
B40B0440	24-10-2011	L2011-10-0034	Slangenpomp	nee	800.0	1000.0	25-10-2011																																												.00203																																										13.5														7		
B40B0440	24-10-2011	L2011-10-0034	Slangenpomp	nee	800.0	1000.0	25-10-2011																																																																																																		7.44				
B40B0440	24-10-2011	L2011-10-0034	Slangenpomp	nee	800.0	1000.0	25-10-2011																																	351																																																																					
B40B0440	24-10-2011	L2011-10-0034	Slangenpomp	nee	800.0	1000.0	25-10-2011			0														36																							0							9				3.1		.02													19										5.3																										
B40B0440	24-10-2011	L2011-10-0034	Slangenpomp	nee	800.0	1000.0	25-10-2011																																																											-.01					1.59																																						
B40B0440	24-10-2011	L2011-10-0034	Slangenpomp	nee	800.0	1000.0	25-10-2011																					29																																																																																	
B40B0440	24-10-2011	L2011-10-0034	Slangenpomp	nee	800.0	1000.0	25-10-2011						2.15		9.31											.03			.201		.74		1.12																												.83														1.13		603				.05																						3						
B40B0440	25-10-2010	L2010-10-0045	Slangenpomp	nee	800.0	1000.0	28-10-2010			-.01														49.1																							-.01							12				4.5		.167													25.9										5.64																										
B40B0440	25-10-2010	L2010-10-0045	Slangenpomp	nee	800.0	1000.0	26-10-2010																																																																																																		7.15				
B40B0440	25-10-2010	L2010-10-0045	Slangenpomp	nee	800.0	1000.0	26-10-2010																																	427																																																																					
B40B0440	25-10-2010	L2010-10-0045	Slangenpomp	nee	800.0	1000.0	28-10-2010						2.49		10.7											.047			.294		.478		1.05																												1.19														1.56		635				-.01																						.5						
B40B0440	25-10-2010	L2010-10-0045	Slangenpomp	nee	800.0	1000.0	26-10-2010									1.2																																																																																													
B40B0440	25-10-2010	L2010-10-0045	Slangenpomp	nee	800.0	1000.0	26-10-2010																															432													.0033																																										14.6														7.08		
B40B0440	25-10-2010	L2010-10-0045	Slangenpomp	nee	800.0	1000.0	26-10-2010																					38.6																																																																																	
B40B0440	25-10-2010	L2010-10-0045	Slangenpomp	nee	800.0	1000.0	26-10-2010																																																											-.01					1.83																																						
B40B0440	25-10-2010	L2010-10-0045	Slangenpomp	nee	800.0	1000.0	26-10-2010										35.8																																																																																												
B40B0440	02-11-2009	L2009-11-0004	Slangenpomp	nee	800.0	1000.0	03-11-2009									.93																																																																																													
B40B0440	02-11-2009	L2009-11-0004	Slangenpomp	nee	800.0	1000.0	03-11-2009																																	520																																																																					
