LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40C0494	188585	432499	Rijksdriehoeksmeting	40C		9.73		40CA3494	1059	32			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	24D (ug/l)	24DNP (ug/l)	AL (ug/l)	AS (ug/l)	Abamectine (ug/l)	Al (mg/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Ba (ug/l)	Bentazon (ug/l)	Broompropylaat (ug/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C-DOC (mg/l)	C-HCO3 (mg/l)	C12DCEe (ug/l)	CA (mg/l)	CD (ug/l)	CH4Cl2 (ug/l)	CL (mg/l)	CL3MA (ug/l)	CR (ug/l)	CU (ug/l)	Ca (g/m3)	Ca (mg/l)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (ug/l)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC (g/m3)	DOC (mg/l)	Diazinon (ug/l)	Dichloormethaan (ug/l)	EC (mS/m)	EC-5 (mS/m)	EC-veld (uS/cm)	EC-veld_5 (mS/m)	EC25C (uS/cm)	ECLAB (uS/cm)	ECVELD (uS/cm)	EOX (ug/l)	Etridiazool (ug/l)	F- (g/m3)	FE (mg/l)	Fe (g/m3)	Fe (mg/l)	H-3 (TU)	HCO3 (g/m3)	HCO3 (mg/l)	HCO3-Veld (mol/l)	HCO3VELD (mg/l)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	Haloxyfop-p-methyl (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	K (g/m3)	K (mg/l)	MCPA (ug/l)	MCPP (ug/l)	MG (mg/l)	MN (mg/l)	Mg (g/m3)	Mg (mg/l)	Mn (g/m3)	Mn (mg/l)	Mn (ug/l)	Mo (ug/l)	NA (mg/l)	NH4 (g/m3)	NH4 (gN/m3)	NH4 (mg/l)	NH4 (mgN/l)	NI (ug/l)	NO2 (mgN/l)	NO3 (g/m3)	NO3 (gN/m3)	NO3 (mg/l)	NO3 (mgN/l)	NO3+NO2 (mgN/l)	Na (g/m3)	Na (mg/l)	Ni (mg/m3)	Ni (ug/l)	O-PO4 (gP/m3)	O-PO4 (mg/l)	P (mg/l)	P (ug/l)	P-totaal (mg/l)	P-totaal (mgP/l)	PHLAB (-)	PHVELD (-)	PO4 (g/m3)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimifos-methyl (ug/l)	Propiconazool (ug/l)	Ptot (g/m3)	S (mg/l)	SE (ug/l)	SO4 (g/m3)	SO4 (mg/l)	Se (ug/l)	Sr (mg/m3)	T-5 (C)	T-PO4 (gP/m3)	T-PO4 (mg/l)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TEMP-V (C)	TEMP-Veld (C)	TEMPVELD (C)	TOTH (mmol/l)	TOTP (mg/l)	T_5 (C)	Terbutylazin (ug/l)	Terbutylazine (ug/l)	Tg (TU)	V (ug/l)	VOX (umol/m3)	Vinczln (ug/l)	ZN (ug/l)	Zn (mg/m3)	Zn (ug/l)	abamectine (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	bupirimaat (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	dichlobenil (ug/l)	diethyltoluamide (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	doc (g/m3)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	etridiazool (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	oxamyl (ug/l)	pH (-)	pH-5 (-)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	stijgh_mv (m-mv)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B40C0494	24-10-2011	L2011-10-0033	Slangenpomp	nee	1300.0	1500.0	25-10-2011																																																																						.00615																																																																12.3																																																						7.14												
B40C0494	24-10-2011	L2011-10-0033	Slangenpomp	nee	1300.0	1500.0	25-10-2011																																																										845																																																																																																																																														
B40C0494	24-10-2011	L2011-10-0033	Slangenpomp	nee	1300.0	1500.0	25-10-2011												-.01																									133																													.04												2.4						17.4		.03																16																		39																																																																																
B40C0494	24-10-2011	L2011-10-0033	Slangenpomp	nee	1300.0	1500.0	25-10-2011																																																																																																																																																																																										7.41														
B40C0494	24-10-2011	L2011-10-0033	Slangenpomp	nee	1300.0	1500.0	25-10-2011																.979				165																			.038			.028		1.52		.35																																										.39																1.22				69.7							.3																																6.3																																																					
B40C0494	24-10-2011	L2011-10-0033	Slangenpomp	nee	1300.0	1500.0	25-10-2011																										1.1	77.3																																																																																																																																																																													
B40C0494	24-10-2011	L2011-10-0033	Slangenpomp	nee	1300.0	1500.0	25-10-2011																																									36																																																																																																																																																															
B40C0494	24-10-2011	L2011-10-0033	Slangenpomp	nee	1300.0	1500.0	25-10-2011																																																																																													.02							1.03																																																																																																				
B40C0494	24-10-2011	L2011-10-0032	Slangenpomp	nee	400.0	600.0	25-10-2011												0																									131																													3.07												19.8						16.4		.4																6																		8.9																																																																																
B40C0494	24-10-2011	L2011-10-0032	Slangenpomp	nee	400.0	600.0	25-10-2011																																									15																																																																																																																																																															
B40C0494	24-10-2011	L2011-10-0032	Slangenpomp	nee	400.0	600.0	25-10-2011																																																																						.0086																																																																12.7																																																						6.98												
B40C0494	24-10-2011	L2011-10-0032	Slangenpomp	nee	400.0	600.0	25-10-2011																																																																																																																																																																																										7.18														
B40C0494	24-10-2011	L2011-10-0032	Slangenpomp	nee	400.0	600.0	25-10-2011																																																										807																																																																																																																																														
B40C0494	24-10-2011	L2011-10-0032	Slangenpomp	nee	400.0	600.0	25-10-2011																										1.7	109																																																																																																																																																																													
B40C0494	24-10-2011	L2011-10-0032	Slangenpomp	nee	400.0	600.0	25-10-2011																																																																																													.19							.01																																																																																																				
B40C0494	24-10-2011	L2011-10-0032	Slangenpomp	nee	400.0	600.0	25-10-2011																.276				389																			.416			.171		18		.3																																										.61																5.41				219							.07																																73.6																																																					
B40C0494	02-11-2009	L2009-11-0003	Slangenpomp	nee	400.0	600.0	03-11-2009																																																																																													.21							-.01																																																																																																				
B40C0494	02-11-2009	L2009-11-0003	Slangenpomp	nee	400.0	600.0	03-11-2009																																																																																																																																																																																										7.17														
B40C0494	02-11-2009	L2009-11-0003	Slangenpomp	nee	400.0	600.0	03-11-2009																.3				220																			0			.03		.06		.1																																										.39																.09				218							.04																																1.84																																																					
B40C0494	02-11-2009	L2009-11-0003	Slangenpomp	nee	400.0	600.0	03-11-2009																																																										719																																																																																																																																														
B40C0494	02-11-2009	L2009-11-0003	Slangenpomp	nee	400.0	600.0	03-11-2009																											93.1																																																																																																																																																																													
B40C0494	02-11-2009	L2009-11-0003	Slangenpomp	nee	400.0	600.0	03-11-2009																																									10.6																																																																																																																																																															
B40C0494	02-11-2009	L2009-11-0003	Slangenpomp	nee	400.0	600.0	03-11-2009												.01																									121																													2.99												11.3						14.9		.429																5.35																		10.2																																																																																
B40C0494	02-11-2009	L2009-11-0003	Slangenpomp	nee	400.0	600.0	03-11-2009																										1.25																																																																																																																																																																														
B40C0494	02-11-2009	L2009-11-0003	Slangenpomp	nee	400.0	600.0	02-11-2009																																																								745														.00739																																																																18.2																																																						7.23												
B40C0494	01-01-2008	L2008-01-0160		nee	1300.0	1500.0	01-01-2008							<.05	<.05								26	<.01	<.07			<.01	<.01		<.05	<.05														0		33.6							<.03	<.02			<.01																				<.02	<.02	<.01		<.05			<.05	<.05																			.01					.96					.101						.06	<.01	<.01	<.03																						<.01				<.02				<.01	<.05	<.05	<.05	<.2	<.02	<.05	<.02	<.05	<.02	<.02	<.05	<.05	<.01	<.01	<.01		<.05	<.01	<.05	<.05	<.05	<.01	<.01	<.2		<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	<.05				<.01	<.2	<.01	<.05	<.01	<.01	<.01	<.01		<.02	<.01	
B40C0494	01-01-2008	L2008-01-0159		nee	400.0	600.0	01-01-2008							<.05	<.05								.55	<.01	<.07			<.01	<.01		<.05	<.05														0		8.6							<.03	<.02			<.01																				<.02	<.02	<.01		<.05			<.05	<.05																			.15					.58					.19						.04	<.01	<.01	<.03																						<.01				<.02				<.01	<.05	<.05	<.05	<.2	<.02	<.05	<.02	<.05	<.02	<.02	<.05	<.05	<.01	<.01	<.01		<.05	<.01	<.05	<.05	<.05	<.01	<.01	<.2		<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	<.05				<.01	<.2	<.01	<.05	<.01	<.01	<.01	<.01		<.02	<.01	
B40C0494	07-11-2007	L2007-11-0236	Slangenpomp	nee	400.0	600.0	08-11-2007												-.01																									141																													3.29												15.3						18.3		.436																5.83					.19													12.4																																																																																
B40C0494	07-11-2007	L2007-11-0236	Slangenpomp	nee	400.0	600.0	08-11-2007																											103																																																																																																																																																																													
