LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40D0124	192192	436788	Rijksdriehoeksmeting	40D	GPS (Global Positioning System)	10.0		40DA3124	239	42			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	111CL3EA (ug/l)	112CL3EA (ug/l)	11DCEa (ug/l)	12CL2PA (ug/l)	12DCEa (ug/l)	2,4-D (ug/l)	24D (ug/l)	24DNP (ug/l)	Abamectine (ug/l)	Al (mg/m3)	Al (ug/l)	As (mg/m3)	As (ug/l)	Atrazine (ug/l)	B (mg/m3)	BAM (2,6-dichloorbenzamide) (ug/l)	Ba (mg/m3)	Bentazon (ug/l)	Broompropylaat (ug/l)	Bupirimaat (ug/l)	Butocarboxim (ug/l)	Butocarboxim-SO (ug/l)	C12DCEe (ug/l)	CH4Cl2 (ug/l)	CL3MA (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DCBN (ug/l)	DMST (ug/l)	DNOC (ug/l)	DOC_C (g/m3)	Diazinon (ug/l)	Dichloormethaan (ug/l)	EC(5)_veld (mS/m)	EC-veld (uS/cm)	EC25C (mS/m)	EOX (umol/m3)	Etridiazool (ug/l)	F- (g/m3)	Fe (g/m3)	H+ (-)	H+(5)_veld (-)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	HTI (4-hydroxy-2,5,6-trichloorisoftalonitril (ug/l)	Haloxyfop-p-methyl (ug/l)	Hexythiazox (ug/l)	Hg (ug/l)	Imazalil (ug/l)	K (mg/l)	K+ (g/m3)	KMnO4_O (gO/m3)	MCPA (ug/l)	MCPP (ug/l)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (ug/l)	NH4 (mgN/l)	NH4+_N (g/m3)	NO2 (mgN/l)	NO3 (mgN/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	P-totaal (mg/l)	P-totaal (mgP/l)	PO4---_P (g/m3)	Pb (mg/m3)	Pb (ug/l)	Pencycuron (ug/l)	Pirimifos-methyl (ug/l)	Propiconazool (ug/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	T12CL2EE (ug/l)	T4CEe (ug/l)	T4CMa (ug/l)	TCEe (ug/l)	TEMP-Veld (C)	TOC_C (g/m3)	Terbutylazin (ug/l)	Terbutylazine (ug/l)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Vinczln (ug/l)	Zn (mg/m3)	Zn (ug/l)	abamectine (ug/l)	aldicarb (ug/l)	aldicarbsulfon (ug/l)	aldicarbsulfoxide (ug/l)	aminomethylfosfonzuur (AMPA) (ug/l)	bupirimaat (ug/l)	carbaryl (ug/l)	carbendazim (ug/l)	carbofuran (ug/l)	chloorprofam (ug/l)	chloridazon (ug/l)	cycloxydim (ug/l)	dichlobenil (ug/l)	diethyltoluamide (ug/l)	dimethoaat (ug/l)	diuron (ug/l)	ethiofencarb (ug/l)	ethofumesaat (ug/l)	etridiazool (ug/l)	fenamifos (ug/l)	fluroxypyr (ug/l)	flutolanil (ug/l)	furalaxyl (ug/l)	glyfosaat (ug/l)	imidacloprid (ug/l)	isoproturon (ug/l)	linuron (ug/l)	metalaxyl (ug/l)	metamitron (ug/l)	metazachloor (ug/l)	methabenzthiazuron (ug/l)	methiocarb (ug/l)	methiocarbsulfon (ug/l)	methomyl (ug/l)	metolachloor (ug/l)	metoxuron (ug/l)	oxamyl (ug/l)	pH-veld (-)	pirimicarb (ug/l)	prochloraz (ug/l)	procymidon (ug/l)	propoxur (ug/l)	propyzamide (ug/l)	prosulfocarb (ug/l)	pyrimethanil (ug/l)	simazine (ug/l)	tebuconazool (ug/l)	tolclofos-methyl (ug/l)	
B40D0124	01-01-2008	L2008-01-0064		nee	2040.0	2240.0	01-01-2008							<.05	<.05					11	<.01		<.07		<.01	<.01		<.05	<.05							<.1		36							<.03	<.02		<.01														<.01	<.02	<.01		<.05				<.05	<.05								.105					<1		.05				<1	<.01	<.01	<.03													<.01				<.02			<.01	<.05	<.05	<.05	<.2	<.02	<.05	<.02	<.05	<.02	<.02	<.05	<.05	<.01	<.01	<.01	<.05	<.01	<.05	<.05	<.05	<.01	<.01	<.2		<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	<.05		<.01	<.2	<.01	<.05	<.01	<.01	<.01	<.01	<.02	<.01	
B40D0124	01-01-2008	L2008-01-0063		nee	800.0	1000.0	01-01-2008							<.05	<.05					<2	.01		<.07		<.01	<.01		<.05	<.05							<.1		22							<.03	<.02		<.01														<.01	<.02	<.01		<.05				<.05	<.05								.395					<1		<.05				<1	<.01	<.01	<.03													<.01				<.02			<.01	<.05	<.05	<.05	<.2	<.02	<.05	<.02	<.05	<.02	<.02	<.05	<.05	<.01	<.01	<.01	<.05	<.01	<.05	<.05	<.05	<.01	<.01	<.2		<.01	<.01	<.02	<.02	<.01	<.01	<.05	<.05	<.05	<.01	<.01	<.05		<.01	<.2	<.01	<.05	<.01	<.01	<.01	<.01	<.02	<.01	
B40D0124	23-07-2007	L2007-07-0020		nee	800.0	1000.0	23-07-2007										8.9124		<0.3					41.1075										111.843	0.0124		17.24			<0.4		0.6444					1			60.7		62.4				<0.002	7.43	7.33		307.18	308.68							0.617					11.699	0.42983			<0.24			<0.01		9.545	1.7414		<0.03				<0.04						61.48		390	13.3													3.0559																																																		
B40D0124	30-05-2006	L2006-05-0081		nee	2040.0	2240.0	30-05-2006										2.9308		7.8692					172.9639										189.767	<0.01		27.42			<0.2		0.1809					1.38			103.4		104.2				10.722	6.8	7.1		398	409							2.675					20.104	0.49179			0.42124			<0.014		26.035	0.8136		0.09626				0.0254						221.33		436.423	12.6													0.46																																																		
B40D0124	02-05-2006	L2006-05-0168	Slangenpomp	nee	800.0	1000.0	04-05-2006																																																				280																																																																																																						
B40D0124	02-05-2006	L2006-05-0168	Slangenpomp	nee	800.0	1000.0	04-05-2006																																																																																																														<.2																			<.2																									
B40D0124	02-05-2006	L2006-05-0168	Slangenpomp	nee	800.0	1000.0	04-05-2006											<50		<2													88			<.1					<.8		<1																								<1					9.7			210						6.5			1						<1																						<5																																																	
B40D0124	02-05-2006	L2006-05-0168	Slangenpomp	nee	800.0	1000.0	04-05-2006																																																																																							36																																																																			
B40D0124	02-05-2006	L2006-05-0168	Slangenpomp	nee	800.0	1000.0	04-05-2006						<.05		<.05	<.01							<.07		<.01			<.05	<.05																<.03	<.02																<.01		<.02		<.01				<.05	<.05																																											<.05	<.05	<.05			<.05	<.02	<.05		<.02	<.05					<.05	<.01			<.05	<.01			<.05				<.02			<.05	<.05	<.05			<.05					<.05							
B40D0124	02-05-2006	L2006-05-0168	Slangenpomp	nee	800.0	1000.0	02-05-2006																																												536																																																				10.3																																															7.21											
B40D0124	02-05-2006	L2006-05-0168	Slangenpomp	nee	800.0	1000.0	04-05-2006																																																										<.02																																																																																																
B40D0124	02-05-2006	L2006-05-0168	Slangenpomp	nee	800.0	1000.0	04-05-2006	<.1	<.1	<.5	<.5	<.5									<.01					<.01	<.02			<.5	<1	<.1												<.05				<.01	<1					<.05																																					<.01	<.01	<.03						<.5	<.1	<.1	<.1			<.01					<.02												<.02				<.01	<.01	<.01				<.05			<.01			<.01	<.01	<.02		<.01	<.01				<.01	<.01			<.01	<.2	<.01		<.01	<.01	<.01	<.01	<.02	<.01	
B40D0124	02-05-2006	L2006-05-0168	Slangenpomp	nee	800.0	1000.0	04-05-2006																															14																																						.11		<.01	.17								<.05																																																																										
B40D0124	28-02-2006	L2006-02-0033	Slangenpomp	nee	800.0	1000.0	01-03-2006																															22																																						.08		<.01	.39								<.05																																																																										
B40D0124	28-02-2006	L2006-02-0033	Slangenpomp	nee	800.0	1000.0	01-03-2006											<50		<2													98			<.1					<.8		<1																								<1					10			340						7.2			<1						<1																						<5																																																	
B40D0124	28-02-2006	L2006-02-0033	Slangenpomp	nee	800.0	1000.0	01-03-2006						<.05		<.05	<.01							<.07		<.01			<.05	<.05																<.03	<.02																<.01		<.02		<.01				<.05	<.05																																											<.05	<.05	<.05			<.05	<.02	<.05		<.02	<.05					<.05	<.01			<.05	<.01			<.05				<.02			<.05	<.05	<.05			<.05					<.05							
B40D0124	28-02-2006	L2006-02-0033	Slangenpomp	nee	800.0	1000.0	01-03-2006	<.1	<.1	<.5	<.5	<.5									.01					<.01	<.02			<.5	<1	<.1												<.05				<.01	<1					<.05																																					<.01	<.01	<.03						<.5	<.1	<.1	<.1			<.01					<.02												<.02				<.01	<.01	<.01				<.05			<.01			<.01	<.01	<.02		<.01	<.01				<.01	<.01			<.01	<.2	<.01		<.01	<.01	<.01	<.01	<.02	<.01	
B40D0124	28-02-2006	L2006-02-0033	Slangenpomp	nee	800.0	1000.0	01-03-2006																																																																																							36																																																																			
B40D0124	28-02-2006	L2006-02-0033	Slangenpomp	nee	800.0	1000.0	01-03-2006																																																										<.02																																																																																																
B40D0124	28-02-2006	L2006-02-0033	Slangenpomp	nee	800.0	1000.0	28-02-2006																																												542																																																				11.2																																															7.31											
B40D0124	28-02-2006	L2006-02-0033	Slangenpomp	nee	800.0	1000.0	01-03-2006																																																				230																																																																																																						
B40D0124	28-02-2006	L2006-02-0033	Slangenpomp	nee	800.0	1000.0	01-03-2006																																																																																																														<.2																			<.2																									
B40D0124	28-02-2006	L2006-02-0034	Slangenpomp	nee	2040.0	2240.0	28-02-2006																																												1000																																																				10.3																																															7.4											
B40D0124	28-02-2006	L2006-02-0034	Slangenpomp	nee	2040.0	2240.0	01-03-2006																																																																																																														<.2																			<.2																									
B40D0124	28-02-2006	L2006-02-0034	Slangenpomp	nee	2040.0	2240.0	01-03-2006																																																																																							220																																																																			
B40D0124	28-02-2006	L2006-02-0034	Slangenpomp	nee	2040.0	2240.0	01-03-2006						<.05		<.05	<.01							<.07		<.01			<.05	<.05																<.03	<.02																<.01		<.02		<.01				<.05	<.05																																											<.05	<.05	<.05			<.05	<.02	<.05		<.02	<.05					<.05	<.01			<.05	<.01			<.05				<.02			<.05	<.05	<.05			<.05					<.05							
B40D0124	28-02-2006	L2006-02-0034	Slangenpomp	nee	2040.0	2240.0	01-03-2006																																																										<.02																																																																																																
B40D0124	28-02-2006	L2006-02-0034	Slangenpomp	nee	2040.0	2240.0	01-03-2006																																																				400																																																																																																						
B40D0124	28-02-2006	L2006-02-0034	Slangenpomp	nee	2040.0	2240.0	01-03-2006	<.1	<.1	<.5	<.5	<.5									<.01					<.01	<.02			<.5	<1	<.1												<.05				<.01	<1					<.05																																					<.01	<.01	<.03						<.5	<.1	<.1	<.1			<.01					<.02												<.02				<.01	<.01	<.01				<.05			<.01			<.01	<.01	<.02		<.01	<.01				<.01	<.01			<.01	<.2	<.01		<.01	<.01	<.01	<.01	<.02	<.01	
B40D0124	28-02-2006	L2006-02-0034	Slangenpomp	nee	2040.0	2240.0	01-03-2006											<50		11													170			<.1					<.8		<1																								2.9					21			560						26			<1						<1																						5																																																	
B40D0124	28-02-2006	L2006-02-0034	Slangenpomp	nee	2040.0	2240.0	01-03-2006																															36																																						.37		<.01	.1								<.05																																																																										
