LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40D0125	196775	432488	Rijksdriehoeksmeting	40D		10.9		40DA3125	240	32			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/m3)	As (mg/m3)	Ba (mg/m3)	Ca++ (g/m3)	Cd (mg/m3)	Cl- (g/m3)	Cr (mg/m3)	Cu (mg/m3)	DOC_C (g/m3)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOX (umol/m3)	F- (g/m3)	Fe (g/m3)	H+ (-)	H+(5)_veld (-)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K+ (g/m3)	KMnO4_O (gO/m3)	Mg++ (g/m3)	Mn (g/m3)	NH4+_N (g/m3)	NO3-_N (g/m3)	Na+ (g/m3)	Ni (mg/m3)	P-tot_P (g/m3)	PO4---_P (g/m3)	Pb (mg/m3)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	TOC_C (g/m3)	Tg (TU)	VOX (umol/m3)	Zn (mg/m3)	
B40D0125	25-07-2001	C2001-07-8113		nee	805.0	1005.0	25-07-2001	<53.96	39.408	96.131	79.559	<0.02	65.547	<1.04	<1.271		33.5				5.216		7.37		238.52	3.793		8.265	2.055	1.177	<0.028	45.221	<1.174	0.207			50.143		434.595	11.3				<13.078	
B40D0125	17-05-1995	C1995-05-1231		nee	805.0	1005.0	17-05-1995	<13.49	44.128	93.659	72.176	<0.045	85.105	<0.26	1.271		63.4				5.11		7.37	168.415		3.949		8.217	1.599	1.149	0.071	44.762	1.761	0.217			55.225		394.29	11				<6.539	
B40D0125	17-05-1995	C1995-05-1232		nee	2105.0	2305.0	17-05-1995	<13.49	1.723	111.924	78.38	<0.045	79.312	<0.26	12.075		63.2				1.312		7.27	180.009		4.614		10.38	1.12	0.168	<0.028	39.888	<0.88	0.062			60.566		484.539	11.1				<6.539	
B40D0125	02-05-1994	C1994-05-1001		nee	805.0	1005.0	02-05-1994	<13.49		161.637	120.324	<0.045	87.912		1.906	2.75	97.6				9.249		7.16			4.927		14.1	2.706	1.597	0.416	49.865		0.279		<0.207	84.245		669.417	11				13.078	
B40D0125	02-05-1994	C1994-05-1002		nee	2105.0	2305.0	02-05-1994	<13.49		129.777	87.046	<0.045	86.998		2.542	1.429	76.9				1.614		7.43			5.083		11.426	1.304	0.196	0.015	51.13		0.155		<0.207	69.72		547.625	11				<6.539	
B40D0125	01-07-1993	C1993-07-1007		nee	805.0	1005.0	01-07-1993	<13.49	14.759	215.333	141.346		92.035			2.234	105				10.293		7.13			5.826		15.753	2.81		0.039	54.831		0.217			87.539		754.408	10.6				<6.539	
B40D0125	01-07-1993	C1993-07-1008		nee	2105.0	2305.0	01-07-1993	<13.49	0.225	134.583	88.26		123.738			1.261	92				1.458		7.47			5.435		11.474	1.269		0.036	69.2		<0.062			70.902		565.149	10.4				<6.539	
B40D0125	19-08-1992	C1992-08-1102		nee	805.0	1005.0	19-08-1992	<13.49	41.77	232.83	160.68	<0.04	90.43		1.91	1.71		113.22			13.48	6.87		404.56		5.31		17.1	3.78	1.43	0.03	51.74	1.53			0.15	128.62		876.93					<6.54	
B40D0125	19-08-1992	C1992-08-1103		nee	2105.0	2305.0	19-08-1992	<13.49	0.26	126.06	82.39	<0.04	127.19		<0.64	1.06		85.76			1.35	7.38		183.67		5.28		10.77	1.24	0.16	0.03	69.18	0.94			<0.08	66.47		535.45					<6.54	
B40D0125	24-06-1991	C1991-06-1267		nee	805.0	1005.0	24-06-1991	626.34	133.64	202.23	120.09	0.17	98.25	2.44	2.86	2		94.01			15.46	7.59		321.47		6.12		14.97	3.18	1.77	0.73	56.88	4.58	0.34		14.63	62.6		674.34					21.77	
B40D0125	24-06-1991	C1991-06-1268		nee	2105.0	2305.0	24-06-1991	<18.83	0.33	87.47	74.33	<0.11	101.38	<0.52	1.52	1.18		73.45			0.19	7.85		170.8		4.99		9.63	0.11	<0.01	0.14	58.11	1.47	<0.06		<2.07	60.67		469.63					13.32	
B40D0125	22-06-1990	C1990-06-1220		nee	805.0	1005.0	22-06-1990	<18.83	51.52	145.3	98.02	<0.11	102.77	<0.52	<0.63	3.6		90.06		0.31	5.82	7.23		271.45		5.81		12.5	2.1	3.03	<0.28	59.29	0.82	0.19		<2.07	65.4		565.31				12.11	<6.54	
B40D0125	22-06-1990	C1990-06-1221		nee	2105.0	2305.0	22-06-1990	<18.83	0.31	105.56	73.37	<0.11	97.84	<0.52	<0.63	1.64		75.71			1.25	7.52		170.8		4.89		9.61	1.12	0.14	<0.28	59.43	0.59	<0.06		<2.07	67.67		471.75					<6.54	
B40D0125	28-07-1989	C1989-07-1176		nee	2105.0	2305.0	28-07-1989				74.4		105					75.71			1.13	7.53		167		4.63		9.46		0.17	<0.28	59.48		<0.06	0.01		71.8								
B40D0125	28-07-1989	C1989-07-1175		nee	805.0	1005.0	28-07-1989				80.3		98.3					78.42			4.98	7.33		217		5.54		9.67		2.87	<0.28	57.55		0.13	0.1		58.1								
B40D0125	22-06-1988	C1988-06-1273		nee	2105.0	2305.0	22-06-1988				62.5		108					76.84				7.48		165		5.02		9.02		<0.01	<0.28	60.42		0.06			73.6								
B40D0125	22-06-1988	C1988-06-1272		nee	805.0	1005.0	22-06-1988				73.8		110					72.88				7.4		141		4.16		9.47		2.62	<0.28	61.79		0.15			66.5								
B40D0125	27-08-1987	C1987-08-1148		nee	2105.0	2305.0	27-08-1987				85.2		119			1.08		80.23				7.78		176		4.96		11		0.04	<0.3	58.7		0.09			70.2								
B40D0125	27-08-1987	C1987-08-1147		nee	805.0	1005.0	27-08-1987				69		110			2.08		76.27				7.45		173		4.77		9.17		3.27	<0.3	61.3		0.19			54.1								
B40D0125	14-08-1986	C1986-08-1099		nee	805.0	1005.0	14-08-1986				85.7		104			2.45		80.79				7.24		206		5.55		11		<0.01	3.4	60.1		<0.06			57								
B40D0125	14-08-1986	C1986-08-1100		nee	2105.0	2305.0	14-08-1986				75.2		89.7			1.69		59.89				7.97		178		5.13		9.8		<0.01	<0.3	52		<0.06			67.4								
B40D0125	07-08-1985	C1985-08-1026		nee	2105.0	2305.0	07-08-1985				76.1		97.8			1.7		74.01				7.54		181		4.82		10		0.19	<0.3	52.3		<0.06			69.5								
B40D0125	07-08-1985	C1985-08-1025		nee	805.0	1005.0	07-08-1985				108		103			2.4		95.48				7.33		338		6.1		14.2		4.17	<0.3	58.4		<0.06			60.4								
B40D0125	18-06-1984	C1984-06-1090		nee	2105.0	2305.0	18-06-1984				75		93					71.19	220			7.5		180		4.4	0.9	10		2.5	<0.1	54		0.05	<0.01		68	2.8			0.3				
B40D0125	18-06-1984	C1984-06-1089		nee	805.0	1005.0	18-06-1984				71		97					73.45	210			7.35		196		4.7	4.1	9.8		5	0.2	56		0.16	<0.01		56	4.8			0.7				
B40D0125	26-08-1983	C1983-08-1159		nee	2105.0	2305.0	26-08-1983				83		103					73.45	100			7.55		162		5.1	6.8	13.2		0.27	<0.1	55		0.07	<0.01		76	2.6			1	82	25		
B40D0125	26-08-1983	C1983-08-1158		nee	805.0	1005.0	26-08-1983				72		101					72.32	115			7.45		174		4.8	5.6	12.2		4.8	<0.1	53		0.27	<0.01		63	5			1	70	10		
B40D0125	09-11-1981	C1981-11-1048		nee	805.0	1005.0	09-11-1981				70		105					80.23	70			7.4		205		6	1.4	9		6.2	<0.1	60		0.05			54				4		4		
B40D0125	09-11-1981	C1981-11-1049		nee	2105.0	2305.0	09-11-1981				84		137					88.14	55			7.6		175		7	0.6	11		0.52	<0.1	71		<0.01			84				12		10		
B40D0125	10-12-1980	C1980-12-1026		nee	2105.0	2305.0	10-12-1980				88		132					90.4				7.4		165		6	1.3	6		1.9	0.2	71		0.04			83				3		10		
B40D0125	10-12-1980	C1980-12-1024		nee	805.0	1005.0	10-12-1980				86		116					91.53	35			7.2		249		6	1.6	10		9.1	0.2	65		0.15			56				3		25		
B40D0125	10-12-1980	C1980-12-1025		nee	1210.0	1410.0	10-12-1980				75		126					89.27				7.4		202		8	1.9	10		11	0.1	64		0.04			61				3		35		
