LOCATIE gegevens
NITG-nr	X-coord	Y-coord	Coordinaat systeem	Kaartblad	Bepaling locatie	Maaiveldhoogte (m tov NAP)	Bepaling maaiveldhoogte	OLGA-nr	RIVM-nr	Aantal analyses	Meetnet	Indeling	
B40D0126	193288	435513	Rijksdriehoeksmeting	40D		9.6		40DA3126	272	41			

KWALITEIT gegevens VLOEIBAAR
NITG-nr	Monster datum	Monster-nr	Monster apparatuur	Mengmonster	Bovenkant monster (cm tov MV)	Onderkant monster (cm tov MV)	Analyse datum	Al (mg/l)	Al (mg/m3)	As (mg/m3)	As (ug/l)	B (mg/m3)	Ba (mg/m3)	Ba (ug/l)	Ca (mg/l)	Ca++ (g/m3)	Cd (mg/m3)	Cd (ug/l)	Cl- (g/m3)	Cl- (mg/l)	Co (mg/m3)	Cr (mg/m3)	Cr (ug/l)	Cu (mg/m3)	Cu (ug/l)	DOC_C (g/m3)	EC (mS/m)	EC(5)_veld (mS/m)	EC25C (mS/m)	EOX (umol/m3)	F- (g/m3)	Fe (g/m3)	Fe (mg/l)	H+ (-)	H+(5)_veld (-)	HCO3 (mg/l)	HCO3- (g/m3)	HCO3-_veld (g/m3)	K (mg/l)	K+ (g/m3)	KMnO4_O (gO/m3)	Mg (mg/l)	Mg++ (g/m3)	Mn (g/m3)	Mn (mg/l)	NH4 (mg/l)	NH4+_N (g/m3)	NO3 (mg/l)	NO3-_N (g/m3)	Na (mg/l)	Na+ (g/m3)	Ni (mg/m3)	Ni (ug/l)	P-tot_P (g/m3)	PO4---_P (g/m3)	Pb (mg/m3)	Pb (ug/l)	SO4 (mg/l)	SO4-- (g/m3)	SiO2_Si (g/m3)	Sr (mg/m3)	T(5)_veld (C)	T-PO4 (mg/l)	TEMP-V (C)	TOC_C (g/m3)	TOTH (mmol/l)	Tg (TU)	V (mg/m3)	VOX (umol/m3)	Zn (mg/m3)	Zn (ug/l)	pH (-)	
B40D0126	23-07-2007	L2007-07-0024		nee	1110.0	1310.0	23-07-2007		1.8314	5.392			319.2457			159.016	<0.01		35.02			<0.4		0.3867		2.8		90.8	89.3			7.441		7.24	7.29		454.94	477.36		4.994			17.105	0.54326			2.52		<0.01		16.445	1.7991		0.744		<0.04			69.82		626	11.6								0.2883			
B40D0126	30-05-2006	L2006-05-0090		nee	2260.0	2460.0	30-05-2006		<1	22.6142			203.9865			157.706	<0.01		26.32			<0.2		0.1762		43.08		86.4	86.3			8.897		6.8	7.2		450	472		3.292			18.707	0.30558			1.57749		<0.014		13.467	0.5723		0.32511		0.0288			67.69		555.444	11.3								0.4893			
B40D0126	09-08-2005	L2005-08-0291		nee	1110.0	1310.0	09-08-2005		2.5	4.2			276			157	0.001		36.9		0.1	0.56		0.21		2.6		91.1	95.2			6.8		7	7.09			472.385		3.6			16.8	0.556			2.72		<0.01		16	0.56		0.62		0.02			93.8		656	11.4						0.69		0.48			
B40D0126	25-04-2003	L2003-04-0241		nee	1110.0	1310.0	25-04-2003		<10	9.15			355			171.62	<0.05		37.12			<0.4		<0.5				102.3				9.715			7.1			488.805		5.9			19.47	0.656			1.94		<0.03		15.47	<0.5		0.64					97.61		806	10.9								<4			
B40D0126	03-06-2002	C2002-06-8006		nee	2260.0	2460.0	03-06-2002		<53.96	28.395			140.077			101.483	<0.02		16.981			<1.04		<1.271				71				5.686			7.26			408.42		2.111			12.398	0.27			1.093		0.028		10.483	<1.174		0.499					37.752		431.967	11.1								<13.078			
B40D0126	25-07-2001	C2001-07-8118		nee	1110.0	1310.0	25-07-2001		<53.96	8.691			336.459			168.496	<0.02		37.258			<1.04		<1.271				118				9.707			7.2			488		5.748			17.819	0.636			1.681		<0.028		14.714	<1.174		0.622					88.663		774.561	11.1								<13.078			
B40D0126	18-05-1999	C1999-05-8106		nee	1110.0	1310.0	18-05-1999		18.886	5.394			328.081			172.889	<0.101		40.023			<0.702		<0.699				107.5				9.288			7.18			489.07		5.709			18.5	0.586			2.017		0.084		15.403	<0.698		0.635					84.821		781.57	10.9								6.539			
B40D0126	06-05-1998	C1998-05-1012		nee	2260.0	2460.0	06-05-1998		<13.49	25.098			167.405			123.855	<0.045		17.229			<0.728		<0.699				74.5				6.847			7.08			399.1		2.581			14.975	0.34			1.079		<0.028		12.667	<0.704		0.461					37.175		524.844	11.2								6.539			
B40D0126	22-07-1997	C1997-07-1155		nee	1110.0	1310.0	22-07-1997		13.49	9.065		37.835	316.683			172.031	<0.045		37.187			<0.702		<0.699				97.4				9.623			7.05			467.3		5.709			18.184	0.658			1.303		0.196		15.242	0.751		0.595					83.092		783.323	10.7								<6.539			
B40D0126	21-05-1996	C1996-05-1240		nee	1110.0	1310.0	21-05-1996		48.564	8.391			310.778			177.065	<0.056		40.484			<0.702		<0.699				103				9.193			7.17			484.34		5.161			18.646	0.662			1.373		<0.028		16.277	0.951		0.601					86.55		801.723	10.9								<6.539			
