Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39E0068,001,39EB0068,169020,438490,685,,646,-2595,-995,1962/01/01,1990/03/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39E0068,001,1963/09/27 00:00:00,149,
B39E0068,001,1963/10/14 00:00:00,139,
B39E0068,001,1963/10/28 00:00:00,149,
B39E0068,001,1963/11/14 00:00:00,169,
B39E0068,001,1963/11/27 00:00:00,119,
B39E0068,001,1963/12/13 00:00:00,149,
B39E0068,001,1963/12/24 00:00:00,229,
B39E0068,001,1964/01/14 00:00:00,199,
B39E0068,001,1964/02/28 00:00:00,199,
B39E0068,001,1964/03/26 00:00:00,209,
B39E0068,001,1964/04/14 00:00:00,159,
B39E0068,001,1964/04/28 00:00:00,149,
B39E0068,001,1964/05/14 00:00:00,144,
B39E0068,001,1964/05/28 00:00:00,149,
B39E0068,001,1964/06/15 00:00:00,149,
B39E0068,001,1964/06/29 00:00:00,154,
B39E0068,001,1964/07/14 00:00:00,169,
B39E0068,001,1964/07/28 00:00:00,184,
B39E0068,001,1964/08/14 00:00:00,214,
B39E0068,001,1964/08/28 00:00:00,199,
B39E0068,001,1964/09/14 00:00:00,224,
B39E0068,001,1964/09/28 00:00:00,219,
B39E0068,001,1964/10/14 00:00:00,234,
B39E0068,001,1964/10/28 00:00:00,199,
B39E0068,001,1964/11/13 00:00:00,219,
B39E0068,001,1964/11/27 00:00:00,194,
B39E0068,001,1964/12/14 00:00:00,169,
B39E0068,001,1965/01/14 00:00:00,144,
B39E0068,001,1965/01/28 00:00:00,139,
B39E0068,001,1965/02/15 00:00:00,144,
B39E0068,001,1965/03/15 00:00:00,199,
B39E0068,001,1965/03/29 00:00:00,134,
B39E0068,001,1965/04/28 00:00:00,109,
B39E0068,001,1965/05/14 00:00:00,94,
B39E0068,001,1965/05/28 00:00:00,114,
B39E0068,001,1965/06/28 00:00:00,99,
B39E0068,001,1965/07/14 00:00:00,109,
B39E0068,001,1965/07/28 00:00:00,99,
B39E0068,001,1965/08/13 00:00:00,119,
B39E0068,001,1965/08/27 00:00:00,129,
B39E0068,001,1965/09/14 00:00:00,119,
B39E0068,001,1965/09/28 00:00:00,134,
B39E0068,001,1965/10/15 00:00:00,144,
B39E0068,001,1965/10/28 00:00:00,154,
B39E0068,001,1965/11/15 00:00:00,179,
B39E0068,001,1965/11/29 00:00:00,129,
B39E0068,001,1965/12/28 00:00:00,79,
B39E0068,001,1966/01/14 00:00:00,99,
B39E0068,001,1966/02/14 00:00:00,89,
B39E0068,001,1966/02/28 00:00:00,104,
B39E0068,001,1966/03/14 00:00:00,114,
B39E0068,001,1966/03/29 00:00:00,104,
B39E0068,001,1966/04/14 00:00:00,94,
B39E0068,001,1966/05/13 00:00:00,99,
B39E0068,001,1966/05/27 00:00:00,119,
B39E0068,001,1966/06/14 00:00:00,139,
B39E0068,001,1966/06/28 00:00:00,99,
B39E0068,001,1966/07/14 00:00:00,104,
B39E0068,001,1966/07/28 00:00:00,94,
B39E0068,001,1966/08/15 00:00:00,119,
B39E0068,001,1966/08/29 00:00:00,114,
B39E0068,001,1966/09/14 00:00:00,139,
B39E0068,001,1966/09/28 00:00:00,144,
B39E0068,001,1966/10/14 00:00:00,164,
B39E0068,001,1966/10/28 00:00:00,159,
B39E0068,001,1966/11/14 00:00:00,164,
B39E0068,001,1966/11/28 00:00:00,139,
B39E0068,001,1966/12/28 00:00:00,89,
B39E0068,001,1967/01/13 00:00:00,104,
B39E0068,001,1967/01/26 00:00:00,124,
B39E0068,001,1967/02/14 00:00:00,139,
B39E0068,001,1967/02/28 00:00:00,134,
B39E0068,001,1967/03/14 00:00:00,134,
B39E0068,001,1967/03/28 00:00:00,119,
B39E0068,001,1967/04/14 00:00:00,119,
B39E0068,001,1967/04/28 00:00:00,139,
B39E0068,001,1967/05/16 00:00:00,144,
B39E0068,001,1967/05/29 00:00:00,139,
B39E0068,001,1967/06/14 00:00:00,139,
B39E0068,001,1967/06/28 00:00:00,129,
B39E0068,001,1967/07/14 00:00:00,139,
B39E0068,001,1967/07/28 00:00:00,144,
B39E0068,001,1967/08/14 00:00:00,139,
B39E0068,001,1967/09/14 00:00:00,144,
B39E0068,001,1967/10/13 00:00:00,129,
B39E0068,001,1967/10/27 00:00:00,139,
B39E0068,001,1967/11/14 00:00:00,134,
B39E0068,001,1967/12/14 00:00:00,129,
B39E0068,001,1968/01/14 00:00:00,89,
B39E0068,001,1968/01/29 00:00:00,99,
B39E0068,001,1968/02/28 00:00:00,129,
B39E0068,001,1968/03/14 00:00:00,139,
B39E0068,001,1968/03/28 00:00:00,139,
B39E0068,001,1968/04/16 00:00:00,139,
B39E0068,001,1968/05/14 00:00:00,114,
B39E0068,001,1968/05/28 00:00:00,129,
B39E0068,001,1968/06/14 00:00:00,139,
B39E0068,001,1968/06/28 00:00:00,129,
B39E0068,001,1968/07/15 00:00:00,134,
B39E0068,001,1968/07/29 00:00:00,139,
B39E0068,001,1968/09/13 00:00:00,109,
B39E0068,001,1968/09/27 00:00:00,89,
B39E0068,001,1968/10/14 00:00:00,89,
B39E0068,001,1968/10/28 00:00:00,114,
B39E0068,001,1968/12/13 00:00:00,164,
B39E0068,001,1968/12/27 00:00:00,149,
B39E0068,001,1969/01/14 00:00:00,209,
B39E0068,001,1969/01/28 00:00:00,144,
B39E0068,001,1969/02/14 00:00:00,129,
B39E0068,001,1969/03/14 00:00:00,129,
B39E0068,001,1969/03/28 00:00:00,134,
B39E0068,001,1969/04/14 00:00:00,129,
B39E0068,001,1969/04/29 00:00:00,94,
B39E0068,001,1969/05/28 00:00:00,129,
B39E0068,001,1969/06/30 00:00:00,129,
B39E0068,001,1969/07/28 00:00:00,139,
B39E0068,001,1969/08/14 00:00:00,139,
B39E0068,001,1969/08/28 00:00:00,129,
B39E0068,001,1969/09/15 00:00:00,139,
B39E0068,001,1969/09/29 00:00:00,144,
B39E0068,001,1969/10/14 00:00:00,149,
B39E0068,001,1969/10/28 00:00:00,154,
B39E0068,001,1969/11/14 00:00:00,144,
B39E0068,001,1969/11/28 00:00:00,159,
B39E0068,001,1969/12/15 00:00:00,179,
B39E0068,001,1970/01/16 00:00:00,149,
B39E0068,001,1970/01/28 00:00:00,139,
B39E0068,001,1970/02/27 00:00:00,69,
B39E0068,001,1970/03/13 00:00:00,99,
B39E0068,001,1970/03/27 00:00:00,99,
B39E0068,001,1970/04/14 00:00:00,99,
B39E0068,001,1970/04/28 00:00:00,99,
B39E0068,001,1970/06/30 00:00:00,104,
B39E0068,001,1970/07/14 00:00:00,114,
B39E0068,001,1970/07/28 00:00:00,114,
B39E0068,001,1970/08/13 00:00:00,129,
B39E0068,001,1970/09/04 00:00:00,139,
B39E0068,001,1970/09/14 00:00:00,139,
B39E0068,001,1970/09/28 00:00:00,149,
B39E0068,001,1970/10/14 00:00:00,134,
B39E0068,001,1970/10/28 00:00:00,139,
B39E0068,001,1970/11/13 00:00:00,149,
B39E0068,001,1970/11/27 00:00:00,144,
B39E0068,001,1970/12/14 00:00:00,129,
B39E0068,001,1970/12/28 00:00:00,139,
B39E0068,001,1971/01/14 00:00:00,159,
B39E0068,001,1971/01/28 00:00:00,119,
B39E0068,001,1971/02/15 00:00:00,139,
B39E0068,001,1971/03/01 00:00:00,159,
B39E0068,001,1971/03/15 00:00:00,149,
B39E0068,001,1971/04/14 00:00:00,144,
B39E0068,001,1971/04/28 00:00:00,154,
B39E0068,001,1971/05/14 00:00:00,154,
B39E0068,001,1971/06/01 00:00:00,149,
B39E0068,001,1971/06/14 00:00:00,154,
B39E0068,001,1971/07/28 00:00:00,159,
B39E0068,001,1971/08/13 00:00:00,139,
B39E0068,001,1971/08/30 00:00:00,144,
B39E0068,001,1971/09/14 00:00:00,144,
B39E0068,001,1971/09/28 00:00:00,154,
B39E0068,001,1971/10/14 00:00:00,144,
B39E0068,001,1971/10/28 00:00:00,149,
B39E0068,001,1971/11/15 00:00:00,154,
B39E0068,001,1971/11/29 00:00:00,139,
B39E0068,001,1971/12/14 00:00:00,149,
B39E0068,001,1971/12/28 00:00:00,149,
B39E0068,001,1972/01/14 00:00:00,159,
B39E0068,001,1972/01/28 00:00:00,159,
B39E0068,001,1972/02/14 00:00:00,154,
B39E0068,001,1972/02/28 00:00:00,159,
