Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39E0261,001,39EB0017,168120,439680,758,,791,,-842,1953/04/14,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39E0261,001,1953/04/14 00:00:00,234,
B39E0261,001,1953/04/28 00:00:00,244,
B39E0261,001,1953/05/15 00:00:00,259,
B39E0261,001,1953/05/28 00:00:00,274,
B39E0261,001,1953/06/15 00:00:00,265,
B39E0261,001,1953/06/29 00:00:00,252,
B39E0261,001,1953/07/14 00:00:00,204,
B39E0261,001,1953/07/28 00:00:00,209,
B39E0261,001,1953/08/14 00:00:00,231,
B39E0261,001,1953/08/28 00:00:00,253,
B39E0261,001,1953/09/14 00:00:00,280,
B39E0261,001,1953/09/28 00:00:00,302,
B39E0261,001,1953/10/14 00:00:00,319,
B39E0261,001,1953/10/28 00:00:00,318,
B39E0261,001,1953/11/14 00:00:00,339,
B39E0261,001,1953/11/28 00:00:00,350,
B39E0261,001,1953/12/14 00:00:00,361,
B39E0261,001,1953/12/28 00:00:00,370,
B39E0261,001,1954/01/14 00:00:00,376,
B39E0261,001,1954/01/28 00:00:00,343,
B39E0261,001,1954/02/15 00:00:00,315,
B39E0261,001,1954/03/01 00:00:00,320,
B39E0261,001,1954/03/15 00:00:00,303,
B39E0261,001,1954/03/29 00:00:00,307,
B39E0261,001,1954/04/14 00:00:00,292,
B39E0261,001,1954/04/28 00:00:00,296,
B39E0261,001,1954/05/14 00:00:00,309,
B39E0261,001,1954/05/28 00:00:00,313,
B39E0261,001,1954/06/14 00:00:00,306,
B39E0261,001,1954/06/28 00:00:00,302,
B39E0261,001,1954/07/14 00:00:00,291,
B39E0261,001,1954/07/28 00:00:00,252,
B39E0261,001,1954/08/14 00:00:00,263,
B39E0261,001,1954/08/28 00:00:00,241,
B39E0261,001,1954/09/14 00:00:00,237,
B39E0261,001,1954/09/28 00:00:00,326,
B39E0261,001,1954/10/14 00:00:00,178,
B39E0261,001,1954/10/28 00:00:00,190,
B39E0261,001,1954/11/15 00:00:00,199,
B39E0261,001,1954/11/29 00:00:00,225,
B39E0261,001,1954/12/14 00:00:00,216,
B39E0261,001,1954/12/28 00:00:00,156,
B39E0261,001,1955/01/14 00:00:00,177,
B39E0261,001,1955/01/28 00:00:00,102,
B39E0261,001,1955/02/14 00:00:00,122,
B39E0261,001,1955/02/28 00:00:00,162,
B39E0261,001,1955/03/14 00:00:00,197,
B39E0261,001,1955/03/28 00:00:00,173,
B39E0261,001,1955/04/14 00:00:00,185,
B39E0261,001,1955/04/28 00:00:00,206,
B39E0261,001,1955/05/14 00:00:00,232,
B39E0261,001,1955/05/28 00:00:00,232,
B39E0261,001,1955/06/14 00:00:00,236,
B39E0261,001,1955/06/28 00:00:00,216,
B39E0261,001,1955/07/14 00:00:00,220,
B39E0261,001,1955/07/28 00:00:00,218,
B39E0261,001,1955/08/15 00:00:00,215,
B39E0261,001,1955/08/29 00:00:00,240,
B39E0261,001,1955/09/14 00:00:00,256,
