Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39E0273,001,39EP0029,169440,438510,690,,716,-97,-197,1954/03/15,1989/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39E0273,001,1954/03/15 00:00:00,196,
B39E0273,001,1954/03/29 00:00:00,220,
B39E0273,001,1954/04/14 00:00:00,206,
B39E0273,001,1954/04/28 00:00:00,210,
B39E0273,001,1954/05/14 00:00:00,218,
B39E0273,001,1954/05/28 00:00:00,218,
B39E0273,001,1954/06/14 00:00:00,197,
B39E0273,001,1954/06/28 00:00:00,201,
B39E0273,001,1954/07/14 00:00:00,196,
B39E0273,001,1954/07/28 00:00:00,145,
B39E0273,001,1954/08/14 00:00:00,166,
B39E0273,001,1954/08/28 00:00:00,142,
B39E0273,001,1954/09/14 00:00:00,143,
B39E0273,001,1954/09/28 00:00:00,142,
B39E0273,001,1954/10/14 00:00:00,108,
B39E0273,001,1954/10/28 00:00:00,114,
B39E0273,001,1954/11/13 00:00:00,122,
B39E0273,001,1954/11/29 00:00:00,152,
B39E0273,001,1954/12/14 00:00:00,139,
B39E0273,001,1954/12/28 00:00:00,91,
B39E0273,001,1955/01/14 00:00:00,111,
B39E0273,001,1955/01/28 00:00:00,74,
B39E0273,001,1955/02/14 00:00:00,85,
B39E0273,001,1955/02/28 00:00:00,114,
B39E0273,001,1955/03/14 00:00:00,138,
B39E0273,001,1955/03/28 00:00:00,119,
B39E0273,001,1955/04/28 00:00:00,142,
B39E0273,001,1955/05/14 00:00:00,158,
B39E0273,001,1955/05/28 00:00:00,154,
B39E0273,001,1955/06/14 00:00:00,151,
B39E0273,001,1955/06/28 00:00:00,140,
B39E0273,001,1955/07/14 00:00:00,146,
B39E0273,001,1955/07/28 00:00:00,147,
B39E0273,001,1955/08/15 00:00:00,142,
B39E0273,001,1955/08/29 00:00:00,162,
B39E0273,001,1955/09/14 00:00:00,167,
B39E0273,001,1955/09/28 00:00:00,173,
B39E0273,001,1955/10/14 00:00:00,184,
B39E0273,001,1955/10/28 00:00:00,181,
B39E0273,001,1955/11/14 00:00:00,205,
B39E0273,001,1955/11/28 00:00:00,222,
B39E0273,001,1955/12/14 00:00:00,222,
B39E0273,001,1955/12/28 00:00:00,176,
B39E0273,001,1956/01/14 00:00:00,124,
B39E0273,001,1956/01/28 00:00:00,106,
B39E0273,001,1956/02/28 00:00:00,162,
B39E0273,001,1956/03/14 00:00:00,95,
B39E0273,001,1956/03/28 00:00:00,142,
B39E0273,001,1956/04/14 00:00:00,153,
B39E0273,001,1956/04/28 00:00:00,139,
B39E0273,001,1956/05/14 00:00:00,155,
B39E0273,001,1956/05/28 00:00:00,161,
B39E0273,001,1956/06/14 00:00:00,146,
B39E0273,001,1956/06/28 00:00:00,142,
B39E0273,001,1956/07/14 00:00:00,136,
B39E0273,001,1956/07/28 00:00:00,100,
B39E0273,001,1956/08/14 00:00:00,122,
B39E0273,001,1956/08/28 00:00:00,117,
B39E0273,001,1956/09/14 00:00:00,112,
B39E0273,001,1956/09/28 00:00:00,128,
B39E0273,001,1956/10/15 00:00:00,124,
B39E0273,001,1956/10/27 00:00:00,135,
B39E0273,001,1956/11/14 00:00:00,126,
B39E0273,001,1956/11/28 00:00:00,149,
B39E0273,001,1956/12/14 00:00:00,109,
B39E0273,001,1956/12/28 00:00:00,131,
B39E0273,001,1957/01/14 00:00:00,127,
B39E0273,001,1957/01/28 00:00:00,159,
B39E0273,001,1957/02/15 00:00:00,113,
B39E0273,001,1957/02/20 00:00:00,92,
B39E0273,001,1957/02/21 00:00:00,84,
B39E0273,001,1957/02/22 00:00:00,81,
B39E0273,001,1957/02/25 00:00:00,80,
B39E0273,001,1957/02/27 00:00:00,87,
B39E0273,001,1957/02/28 00:00:00,88,
B39E0273,001,1957/03/01 00:00:00,86,
B39E0273,001,1957/03/02 00:00:00,83,
B39E0273,001,1957/03/04 00:00:00,76,
B39E0273,001,1957/03/05 00:00:00,77,
B39E0273,001,1957/03/06 00:00:00,77,
B39E0273,001,1957/03/07 00:00:00,78,
B39E0273,001,1957/03/08 00:00:00,81,
B39E0273,001,1957/03/09 00:00:00,82,
B39E0273,001,1957/03/11 00:00:00,87,
B39E0273,001,1957/03/14 00:00:00,96,
B39E0273,001,1957/03/28 00:00:00,103,
B39E0273,001,1957/04/15 00:00:00,130,
B39E0273,001,1957/04/29 00:00:00,148,
B39E0273,001,1957/05/14 00:00:00,160,
B39E0273,001,1957/05/28 00:00:00,168,
B39E0273,001,1957/06/14 00:00:00,177,
B39E0273,001,1957/06/27 00:00:00,171,
B39E0273,001,1957/07/15 00:00:00,169,
B39E0273,001,1957/07/29 00:00:00,159,
B39E0273,001,1957/08/14 00:00:00,158,
B39E0273,001,1957/08/28 00:00:00,149,
B39E0273,001,1957/09/13 00:00:00,124,
B39E0273,001,1957/09/27 00:00:00,107,
B39E0273,001,1957/10/14 00:00:00,124,
B39E0273,001,1957/10/28 00:00:00,147,
B39E0273,001,1957/11/14 00:00:00,171,
B39E0273,001,1957/11/28 00:00:00,186,
B39E0273,001,1957/12/14 00:00:00,179,
B39E0273,001,1958/01/14 00:00:00,124,
B39E0273,001,1958/01/28 00:00:00,100,
B39E0273,001,1958/02/12 00:00:00,120,
B39E0273,001,1958/02/13 00:00:00,104,
B39E0273,001,1958/02/14 00:00:00,95,
B39E0273,001,1958/02/15 00:00:00,90,
B39E0273,001,1958/02/17 00:00:00,81,
B39E0273,001,1958/02/18 00:00:00,81,
B39E0273,001,1958/02/19 00:00:00,81,
B39E0273,001,1958/02/20 00:00:00,78,
B39E0273,001,1958/02/21 00:00:00,77,
B39E0273,001,1958/02/22 00:00:00,78,
B39E0273,001,1958/02/24 00:00:00,77,
B39E0273,001,1958/02/25 00:00:00,63,
B39E0273,001,1958/02/26 00:00:00,64,
B39E0273,001,1958/02/27 00:00:00,68,
B39E0273,001,1958/02/28 00:00:00,68,
B39E0273,001,1958/03/01 00:00:00,65,
B39E0273,001,1958/03/03 00:00:00,64,
B39E0273,001,1958/03/04 00:00:00,65,
B39E0273,001,1958/03/05 00:00:00,66,
B39E0273,001,1958/03/06 00:00:00,66,
B39E0273,001,1958/03/07 00:00:00,68,
B39E0273,001,1958/03/08 00:00:00,68,
B39E0273,001,1958/03/10 00:00:00,74,
B39E0273,001,1958/03/11 00:00:00,77,
B39E0273,001,1958/03/12 00:00:00,81,
B39E0273,001,1958/03/13 00:00:00,82,
B39E0273,001,1958/03/14 00:00:00,86,
B39E0273,001,1958/03/15 00:00:00,88,
B39E0273,001,1958/03/17 00:00:00,93,
B39E0273,001,1958/03/18 00:00:00,95,
B39E0273,001,1958/03/19 00:00:00,96,
B39E0273,001,1958/03/27 00:00:00,113,
B39E0273,001,1958/04/14 00:00:00,134,
B39E0273,001,1958/04/28 00:00:00,127,
B39E0273,001,1958/05/14 00:00:00,124,
B39E0273,001,1958/05/28 00:00:00,100,
B39E0273,001,1958/06/13 00:00:00,119,
B39E0273,001,1958/06/27 00:00:00,126,
B39E0273,001,1958/07/14 00:00:00,120,
B39E0273,001,1958/07/28 00:00:00,122,
B39E0273,001,1958/08/14 00:00:00,141,
B39E0273,001,1958/08/28 00:00:00,166,
B39E0273,001,1958/09/15 00:00:00,147,
B39E0273,001,1958/09/29 00:00:00,127,
B39E0273,001,1958/10/14 00:00:00,148,
B39E0273,001,1958/10/28 00:00:00,139,
B39E0273,001,1958/11/13 00:00:00,127,
B39E0273,001,1958/11/27 00:00:00,151,
