Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39E0345,001,39EL0027,167410,438790,741,,730,,,1952/10/14,1957/08/28
B39E0345,001,39EL0027,167410,438790,741,,728,,,1957/08/28,1963/10/14
B39E0345,001,39EL0027,167410,438790,741,,732,482,432,1963/10/14,1981/08/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39E0345,001,1952/10/14 00:00:00,,D
B39E0345,001,1952/12/15 00:00:00,192,
B39E0345,001,1953/04/28 00:00:00,186,
B39E0345,001,1953/08/28 00:00:00,210,D
B39E0345,001,1953/10/12 00:00:00,,D
B39E0345,001,1953/12/14 00:00:00,211,D
B39E0345,001,1954/04/27 00:00:00,211,D
B39E0345,001,1954/08/30 00:00:00,211,D
B39E0345,001,1954/10/15 00:00:00,196,
B39E0345,001,1954/12/15 00:00:00,211,D
B39E0345,001,1955/04/26 00:00:00,177,
B39E0345,001,1955/08/29 00:00:00,186,D
B39E0345,001,1955/10/19 00:00:00,204,D
B39E0345,001,1957/08/28 00:00:00,,D
B39E0345,001,1957/10/14 00:00:00,,D
B39E0345,001,1957/12/14 00:00:00,,D
B39E0345,001,1958/04/28 00:00:00,174,
B39E0345,001,1958/08/28 00:00:00,,D
B39E0345,001,1958/10/14 00:00:00,,D
B39E0345,001,1958/12/15 00:00:00,181,
B39E0345,001,1959/04/28 00:00:00,184,
B39E0345,001,1959/08/28 00:00:00,,D
B39E0345,001,1959/10/14 00:00:00,,D
B39E0345,001,1959/12/14 00:00:00,,D
B39E0345,001,1960/04/28 00:00:00,,D
B39E0345,001,1960/08/29 00:00:00,,D
B39E0345,001,1960/10/13 00:00:00,190,
B39E0345,001,1960/12/14 00:00:00,94,
B39E0345,001,1961/04/28 00:00:00,170,
B39E0345,001,1961/08/28 00:00:00,203,
B39E0345,001,1961/10/16 00:00:00,,D
B39E0345,001,1962/04/27 00:00:00,160,
B39E0345,001,1962/08/28 00:00:00,,D
B39E0345,001,1962/10/15 00:00:00,,D
B39E0345,001,1962/12/14 00:00:00,,D
B39E0345,001,1963/04/29 00:00:00,,D
B39E0345,001,1963/08/28 00:00:00,213,
B39E0345,001,1963/10/14 00:00:00,202,
B39E0345,001,1963/12/30 00:00:00,233,
B39E0345,001,1964/04/28 00:00:00,224,
B39E0345,001,1964/08/28 00:00:00,269,
B39E0345,001,1964/10/14 00:00:00,299,
B39E0345,001,1964/12/14 00:00:00,280,
B39E0345,001,1965/04/28 00:00:00,182,
