Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39E0346,001,39EL0027,167420,438830,,,,,,1981/08/28,1989/03/01

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39E0346,001,1981/08/28 00:00:00,167,
B39E0346,001,1981/10/14 00:00:00,182,
B39E0346,001,1981/12/14 00:00:00,178,
B39E0346,001,1982/04/28 00:00:00,188,
B39E0346,001,1982/08/27 00:00:00,188,
B39E0346,001,1982/10/14 00:00:00,193,
B39E0346,001,1982/12/14 00:00:00,189,
B39E0346,001,1983/04/28 00:00:00,185,
B39E0346,001,1983/08/29 00:00:00,184,
B39E0346,001,1983/10/14 00:00:00,187,
B39E0346,001,1983/12/14 00:00:00,186,
B39E0346,001,1984/04/27 00:00:00,193,
B39E0346,001,1984/08/28 00:00:00,195,
B39E0346,001,1984/10/15 00:00:00,188,
B39E0346,001,1984/12/14 00:00:00,194,
B39E0346,001,1985/04/26 00:00:00,187,
B39E0346,001,1985/08/28 00:00:00,186,
B39E0346,001,1985/10/14 00:00:00,193,
B39E0346,001,1985/12/13 00:00:00,196,
B39E0346,001,1986/04/28 00:00:00,186,
B39E0346,001,1986/08/28 00:00:00,195,
B39E0346,001,1986/10/14 00:00:00,190,
B39E0346,001,1986/12/15 00:00:00,184,
B39E0346,001,1987/04/28 00:00:00,188,
B39E0346,001,1987/08/28 00:00:00,187,
B39E0346,001,1987/10/14 00:00:00,185,
B39E0346,001,1987/12/14 00:00:00,191,
B39E0346,001,1988/04/28 00:00:00,176,
B39E0346,001,1988/08/31 00:00:00,183,
B39E0346,001,1988/10/14 00:00:00,185,
B39E0346,001,1988/12/14 00:00:00,170,
