Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,28-08-1981,tot:,14-12-1988,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39E0346,001,39EL0027,167420,438830,,,28-08-1981,01-03-1989,,-7,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39E0346,001,28-08-1981,160,167,,,,,,,
B39E0346,001,14-10-1981,175,182,,,,,,,
B39E0346,001,14-12-1981,171,178,,,,,,,
B39E0346,001,28-04-1982,181,188,,,,,,,
B39E0346,001,27-08-1982,181,188,,,,,,,
B39E0346,001,14-10-1982,186,193,,,,,,,
B39E0346,001,14-12-1982,182,189,,,,,,,
B39E0346,001,28-04-1983,178,185,,,,,,,
B39E0346,001,29-08-1983,177,184,,,,,,,
B39E0346,001,14-10-1983,180,187,,,,,,,
B39E0346,001,14-12-1983,179,186,,,,,,,
B39E0346,001,27-04-1984,186,193,,,,,,,
B39E0346,001,28-08-1984,188,195,,,,,,,
B39E0346,001,15-10-1984,181,188,,,,,,,
B39E0346,001,14-12-1984,187,194,,,,,,,
B39E0346,001,26-04-1985,180,187,,,,,,,
B39E0346,001,28-08-1985,179,186,,,,,,,
B39E0346,001,14-10-1985,186,193,,,,,,,
B39E0346,001,13-12-1985,189,196,,,,,,,
B39E0346,001,28-04-1986,179,186,,,,,,,
B39E0346,001,28-08-1986,188,195,,,,,,,
B39E0346,001,14-10-1986,183,190,,,,,,,
B39E0346,001,15-12-1986,177,184,,,,,,,
B39E0346,001,28-04-1987,181,188,,,,,,,
B39E0346,001,28-08-1987,180,187,,,,,,,
B39E0346,001,14-10-1987,178,185,,,,,,,
B39E0346,001,14-12-1987,184,191,,,,,,,
B39E0346,001,28-04-1988,169,176,,,,,,,
B39E0346,001,31-08-1988,176,183,,,,,,,
B39E0346,001,14-10-1988,178,185,,,,,,,
B39E0346,001,14-12-1988,163,170,,,,,,,
