Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,14-10-1955,tot:,28-03-1999,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39F0007,001,39FB0007,171570,438390,741,01-01-1953,01-01-1953,27-09-1963,692,-49,-159,-1459
B39F0007,001,39FB0007,171570,438390,758,27-09-1963,27-09-1963,14-04-1999,692,-66,-159,-1459


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39F0007,001,14-10-1955,195,244,497,,,,,,
B39F0007,001,28-10-1955,198,247,494,,,,,,
B39F0007,001,14-11-1955,207,256,485,,,,,,
B39F0007,001,28-11-1955,217,266,475,,,,,,
B39F0007,001,14-12-1955,222,271,470,,,,,,
B39F0007,001,28-12-1955,212,261,480,,,,,,
B39F0007,001,14-01-1956,187,236,505,,,,,,
B39F0007,001,28-01-1956,158,207,534,,,,,,
B39F0007,001,17-02-1956,157,206,535,,,,,,
B39F0007,001,28-02-1956,164,213,528,,,,,,
B39F0007,001,14-03-1956,112,161,580,,,,,,
B39F0007,001,28-03-1956,138,187,554,,,,,,
B39F0007,001,14-04-1956,152,201,540,,,,,,
B39F0007,001,28-04-1956,155,204,537,,,,,,
B39F0007,001,14-05-1956,162,211,530,,,,,,
B39F0007,001,28-05-1956,168,217,524,,,,,,
B39F0007,001,14-06-1956,170,219,522,,,,,,
B39F0007,001,28-06-1956,167,216,525,,,,,,
B39F0007,001,14-07-1956,154,203,538,,,,,,
B39F0007,001,14-08-1956,138,187,554,,,,,,
B39F0007,001,14-09-1956,132,181,560,,,,,,
B39F0007,001,28-09-1956,154,203,538,,,,,,
B39F0007,001,15-10-1956,148,197,544,,,,,,
B39F0007,001,29-10-1956,143,192,549,,,,,,
B39F0007,001,14-11-1956,138,187,554,,,,,,
B39F0007,001,28-11-1956,145,194,547,,,,,,
B39F0007,001,14-12-1956,129,178,563,,,,,,
B39F0007,001,14-01-1957,153,202,539,,,,,,
B39F0007,001,28-01-1957,149,198,543,,,,,,
B39F0007,001,14-02-1957,141,190,551,,,,,,
B39F0007,001,28-02-1957,105,154,587,,,,,,
B39F0007,001,14-03-1957,95,144,597,,,,,,
B39F0007,001,28-03-1957,113,162,579,,,,,,
B39F0007,001,15-04-1957,148,197,544,,,,,,
B39F0007,001,29-04-1957,158,207,534,,,,,,
B39F0007,001,14-05-1957,163,212,529,,,,,,
B39F0007,001,28-05-1957,168,217,524,,,,,,
B39F0007,001,14-06-1957,179,228,513,,,,,,
B39F0007,001,28-06-1957,187,236,505,,,,,,
B39F0007,001,14-08-1957,182,231,510,,,,,,
B39F0007,001,28-08-1957,174,223,518,,,,,,
B39F0007,001,14-09-1957,162,211,530,,,,,,
B39F0007,001,28-09-1957,139,188,553,,,,,,
B39F0007,001,14-10-1957,200,249,492,,,,,,
B39F0007,001,28-10-1957,215,264,477,,,,,,
B39F0007,001,14-11-1957,222,271,470,,,,,,
B39F0007,001,28-11-1957,238,287,454,,,,,,
B39F0007,001,14-12-1957,223,272,469,,,,,,
B39F0007,001,30-12-1957,185,234,507,,,,,,
B39F0007,001,14-01-1958,164,213,528,,,,,,
B39F0007,001,28-01-1958,135,184,557,,,,,,
B39F0007,001,14-02-1958,185,234,507,,,,,,
B39F0007,001,28-02-1958,83,132,609,,,,,,
B39F0007,001,14-03-1958,60,109,632,,,,,,
B39F0007,001,28-03-1958,119,168,573,,,,,,
B39F0007,001,14-04-1958,135,184,557,,,,,,
B39F0007,001,28-04-1958,140,189,552,,,,,,
B39F0007,001,14-05-1958,140,189,552,,,,,,
B39F0007,001,28-05-1958,128,177,564,,,,,,
B39F0007,001,14-06-1958,139,188,553,,,,,,
B39F0007,001,28-06-1958,146,195,546,,,,,,
B39F0007,001,14-07-1958,135,184,557,,,,,,
B39F0007,001,28-07-1958,145,194,547,,,,,,
B39F0007,001,28-08-1958,151,200,541,,,,,,
B39F0007,001,15-09-1958,158,207,534,,,,,,
B39F0007,001,29-09-1958,160,209,532,,,,,,
B39F0007,001,14-10-1958,162,211,530,,,,,,
B39F0007,001,28-10-1958,158,207,534,,,,,,
B39F0007,001,14-11-1958,149,198,543,,,,,,
B39F0007,001,28-11-1958,168,217,524,,,,,,
B39F0007,001,15-12-1958,175,224,517,,,,,,
B39F0007,001,29-12-1958,143,192,549,,,,,,
B39F0007,001,14-01-1959,109,158,583,,,,,,
B39F0007,001,28-01-1959,98,147,594,,,,,,
B39F0007,001,14-02-1959,128,177,564,,,,,,
B39F0007,001,28-02-1959,149,198,543,,,,,,
B39F0007,001,14-03-1959,157,206,535,,,,,,
B39F0007,001,26-03-1959,151,200,541,,,,,,
B39F0007,001,14-04-1959,156,205,536,,,,,,
B39F0007,001,28-04-1959,157,206,535,,,,,,
B39F0007,001,14-05-1959,162,211,530,,,,,,
B39F0007,001,28-05-1959,170,219,522,,,,,,
B39F0007,001,15-06-1959,182,231,510,,,,,,
B39F0007,001,29-06-1959,191,240,501,,,,,,
B39F0007,001,15-07-1959,196,245,496,,,,,,
B39F0007,001,14-08-1959,206,255,486,,,,,,
B39F0007,001,28-08-1959,214,263,478,,,,,,
B39F0007,001,14-09-1959,225,274,467,,,,,,
B39F0007,001,28-09-1959,235,284,457,,,,,,
B39F0007,001,14-10-1959,250,299,442,,,,,,
B39F0007,001,28-10-1959,257,306,435,,,,,,
B39F0007,001,14-11-1959,265,314,427,,,,,,
B39F0007,001,28-11-1959,270,319,422,,,,,,
B39F0007,001,14-12-1959,281,330,411,,,,,,
B39F0007,001,28-12-1959,290,339,402,,,,,,
B39F0007,001,14-01-1960,275,324,417,,,,,,
B39F0007,001,28-01-1960,283,332,409,,,,,,
B39F0007,001,15-02-1960,280,329,412,,,,,,
B39F0007,001,29-02-1960,230,279,462,,,,,,
B39F0007,001,14-03-1960,225,274,467,,,,,,
B39F0007,001,28-03-1960,235,284,457,,,,,,
