Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0091,001,39FB0091,178160,440510,726,,727,-274,-1274,1949/01/01,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0091,001,1950/05/30 00:00:00,86,
B39F0091,001,1950/06/14 00:00:00,98,
B39F0091,001,1950/06/28 00:00:00,104,
B39F0091,001,1950/07/14 00:00:00,109,
B39F0091,001,1950/07/28 00:00:00,120,
B39F0091,001,1950/08/14 00:00:00,126,
B39F0091,001,1950/08/28 00:00:00,132,
B39F0091,001,1950/09/14 00:00:00,109,
B39F0091,001,1950/09/28 00:00:00,97,
B39F0091,001,1950/10/14 00:00:00,115,
B39F0091,001,1950/10/28 00:00:00,125,
B39F0091,001,1950/11/14 00:00:00,91,
B39F0091,001,1950/11/28 00:00:00,44,
B39F0091,001,1950/12/14 00:00:00,-1,
B39F0091,001,1950/12/28 00:00:00,52,
B39F0091,001,1951/01/15 00:00:00,16,
B39F0091,001,1951/01/29 00:00:00,-1,
B39F0091,001,1951/02/14 00:00:00,47,
B39F0091,001,1951/02/28 00:00:00,48,
B39F0091,001,1951/03/14 00:00:00,61,
B39F0091,001,1951/03/28 00:00:00,39,
B39F0091,001,1951/04/14 00:00:00,32,
B39F0091,001,1951/04/28 00:00:00,57,
B39F0091,001,1951/05/15 00:00:00,67,
B39F0091,001,1951/05/28 00:00:00,52,
B39F0091,001,1951/06/14 00:00:00,76,
B39F0091,001,1951/06/28 00:00:00,72,
B39F0091,001,1951/07/14 00:00:00,77,
B39F0091,001,1951/07/28 00:00:00,81,
B39F0091,001,1951/08/14 00:00:00,68,
B39F0091,001,1951/08/28 00:00:00,76,
B39F0091,001,1951/09/14 00:00:00,95,
B39F0091,001,1951/09/28 00:00:00,106,
B39F0091,001,1951/10/15 00:00:00,124,
B39F0091,001,1951/10/29 00:00:00,136,
B39F0091,001,1951/11/14 00:00:00,139,
B39F0091,001,1951/11/28 00:00:00,84,
B39F0091,001,1951/12/14 00:00:00,77,
B39F0091,001,1951/12/28 00:00:00,66,
B39F0091,001,1952/01/14 00:00:00,47,
B39F0091,001,1952/01/28 00:00:00,42,
B39F0091,001,1952/02/14 00:00:00,47,
B39F0091,001,1952/02/28 00:00:00,62,
B39F0091,001,1952/03/14 00:00:00,56,
B39F0091,001,1952/03/28 00:00:00,37,
B39F0091,001,1952/04/15 00:00:00,27,
B39F0091,001,1952/04/28 00:00:00,57,
B39F0091,001,1952/05/14 00:00:00,71,
B39F0091,001,1952/05/28 00:00:00,84,
B39F0091,001,1952/06/14 00:00:00,94,
B39F0091,001,1952/06/28 00:00:00,104,
B39F0091,001,1952/07/14 00:00:00,105,
B39F0091,001,1952/07/28 00:00:00,119,
B39F0091,001,1952/08/14 00:00:00,136,
B39F0091,001,1952/08/28 00:00:00,144,
B39F0091,001,1952/09/15 00:00:00,157,
B39F0091,001,1952/09/29 00:00:00,162,
B39F0091,001,1952/10/14 00:00:00,154,
B39F0091,001,1952/10/28 00:00:00,146,
B39F0091,001,1952/11/14 00:00:00,52,
B39F0091,001,1952/12/15 00:00:00,17,
B39F0091,001,1953/01/14 00:00:00,39,
B39F0091,001,1953/01/28 00:00:00,53,
B39F0091,001,1953/02/14 00:00:00,30,
B39F0091,001,1953/02/28 00:00:00,51,
B39F0091,001,1953/03/14 00:00:00,63,
B39F0091,001,1953/03/28 00:00:00,79,
B39F0091,001,1953/04/14 00:00:00,81,
B39F0091,001,1953/04/28 00:00:00,90,
B39F0091,001,1953/05/15 00:00:00,101,
B39F0091,001,1953/05/28 00:00:00,113,
B39F0091,001,1953/12/14 00:00:00,171,
B39F0091,001,1954/04/28 00:00:00,108,
B39F0091,001,1954/10/14 00:00:00,46,
B39F0091,001,1955/04/28 00:00:00,77,
B39F0091,001,1955/10/14 00:00:00,104,
B39F0091,001,1956/04/28 00:00:00,71,
B39F0091,001,1956/10/14 00:00:00,58,
B39F0091,001,1957/04/28 00:00:00,76,
B39F0091,001,1957/10/14 00:00:00,62,
B39F0091,001,1958/04/28 00:00:00,60,
B39F0091,001,1958/10/14 00:00:00,75,
B39F0091,001,1959/04/28 00:00:00,110,
B39F0091,001,1959/10/14 00:00:00,168,
B39F0091,001,1960/04/28 00:00:00,123,
B39F0091,001,1960/10/14 00:00:00,26,
B39F0091,001,1961/04/28 00:00:00,60,
B39F0091,001,1961/10/13 00:00:00,103,
B39F0091,001,1962/04/27 00:00:00,46,
B39F0091,001,1962/08/28 00:00:00,58,
B39F0091,001,1962/10/15 00:00:00,88,
B39F0091,001,1962/12/14 00:00:00,102,
B39F0091,001,1963/04/29 00:00:00,98,
B39F0091,001,1963/08/28 00:00:00,101,
B39F0091,001,1963/10/14 00:00:00,108,
B39F0091,001,1963/12/13 00:00:00,97,
B39F0091,001,1964/04/28 00:00:00,101,
B39F0091,001,1964/08/28 00:00:00,157,
B39F0091,001,1964/10/14 00:00:00,174,
B39F0091,001,1964/12/14 00:00:00,85,
B39F0091,001,1965/04/28 00:00:00,37,
B39F0091,001,1965/08/27 00:00:00,67,
B39F0091,001,1965/10/14 00:00:00,84,
B39F0091,001,1965/12/14 00:00:00,-9,
B39F0091,001,1966/04/28 00:00:00,24,
B39F0091,001,1966/08/29 00:00:00,64,
B39F0091,001,1966/10/14 00:00:00,93,
B39F0091,001,1966/12/14 00:00:00,,O
B39F0091,001,1967/04/28 00:00:00,71,
B39F0091,001,1967/08/28 00:00:00,99,
B39F0091,001,1967/10/13 00:00:00,103,
B39F0091,001,1967/12/14 00:00:00,57,
B39F0091,001,1968/04/29 00:00:00,62,
B39F0091,001,1968/08/28 00:00:00,65,
B39F0091,001,1968/10/15 00:00:00,22,
B39F0091,001,1969/04/28 00:00:00,49,
B39F0091,001,1969/08/28 00:00:00,75,
B39F0091,001,1969/10/14 00:00:00,122,
B39F0091,001,1969/12/15 00:00:00,120,
B39F0091,001,1970/04/28 00:00:00,33,
B39F0091,001,1970/08/28 00:00:00,85,
B39F0091,001,1970/10/14 00:00:00,86,
B39F0091,001,1970/12/14 00:00:00,82,
B39F0091,001,1971/04/28 00:00:00,111,
B39F0091,001,1971/08/27 00:00:00,129,
B39F0091,001,1971/10/14 00:00:00,138,
B39F0091,001,1971/12/14 00:00:00,136,
B39F0091,001,1972/04/28 00:00:00,96,
B39F0091,001,1972/08/28 00:00:00,97,
B39F0091,001,1972/10/13 00:00:00,120,
B39F0091,001,1973/04/30 00:00:00,77,
B39F0091,001,1973/08/28 00:00:00,127,
B39F0091,001,1973/10/15 00:00:00,95,
B39F0091,001,1973/12/14 00:00:00,41,
B39F0091,001,1974/01/28 00:00:00,64,
B39F0091,001,1974/04/28 00:00:00,115,
B39F0091,001,1974/08/28 00:00:00,94,
B39F0091,001,1974/10/14 00:00:00,87,
B39F0091,001,1974/12/13 00:00:00,19,
B39F0091,001,1975/04/29 00:00:00,56,
B39F0091,001,1975/08/28 00:00:00,79,
B39F0091,001,1975/10/28 00:00:00,116,
B39F0091,001,1975/12/28 00:00:00,115,
B39F0091,001,1976/04/27 00:00:00,128,
B39F0091,001,1976/09/14 00:00:00,114,
B39F0091,001,1976/10/28 00:00:00,127,
B39F0091,001,1977/04/28 00:00:00,87,
B39F0091,001,1977/08/29 00:00:00,78,
B39F0091,001,1977/10/28 00:00:00,118,
B39F0091,001,1977/12/21 00:00:00,73,
