Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0290,001,39FP0290,174320,439700,753,,798,48,-52,1973/06/08,1997/03/17
B39F0290,001,39FP0290,174320,439700,758,,748,48,-52,1997/03/17,2000/09/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0290,001,1973/08/28 00:00:00,155,
B39F0290,001,1973/10/15 00:00:00,155,
B39F0290,001,1973/12/14 00:00:00,81,
B39F0290,001,1974/04/29 00:00:00,140,
B39F0290,001,1974/08/28 00:00:00,149,
B39F0290,001,1974/10/14 00:00:00,126,
B39F0290,001,1974/12/13 00:00:00,46,
B39F0290,001,1975/04/28 00:00:00,109,
B39F0290,001,1975/08/28 00:00:00,135,
B39F0290,001,1975/10/14 00:00:00,144,
B39F0290,001,1975/12/15 00:00:00,147,
B39F0290,001,1976/04/28 00:00:00,157,
B39F0290,001,1976/08/27 00:00:00,155,
B39F0290,001,1976/10/14 00:00:00,159,
B39F0290,001,1976/12/14 00:00:00,153,
B39F0290,001,1977/04/28 00:00:00,117,
B39F0290,001,1977/08/29 00:00:00,103,
B39F0290,001,1977/10/14 00:00:00,145,
B39F0290,001,1977/12/14 00:00:00,101,
B39F0290,001,1978/04/28 00:00:00,108,
B39F0290,001,1978/08/28 00:00:00,133,
B39F0290,001,1978/10/13 00:00:00,136,
B39F0290,001,1978/12/14 00:00:00,155,
B39F0290,001,1979/04/27 00:00:00,109,
B39F0290,001,1979/08/28 00:00:00,149,
B39F0290,001,1979/10/15 00:00:00,135,
B39F0290,001,1979/12/14 00:00:00,72,
B39F0290,001,1980/04/28 00:00:00,119,
B39F0290,001,1980/08/28 00:00:00,122,
B39F0290,001,1980/10/14 00:00:00,152,
B39F0290,001,1980/12/15 00:00:00,119,
B39F0290,001,1981/04/28 00:00:00,121,
B39F0290,001,1981/08/28 00:00:00,139,
B39F0290,001,1981/10/14 00:00:00,103,
B39F0290,001,1981/12/17 00:00:00,5,
B39F0290,001,1982/04/28 00:00:00,130,
B39F0290,001,1982/08/27 00:00:00,167,
B39F0290,001,1982/10/14 00:00:00,150,
B39F0290,001,1982/12/14 00:00:00,75,
B39F0290,001,1983/04/28 00:00:00,54,
B39F0290,001,1983/08/29 00:00:00,155,
B39F0290,001,1983/10/14 00:00:00,155,
B39F0290,001,1983/12/14 00:00:00,126,
B39F0290,001,1984/04/27 00:00:00,126,
B39F0290,001,1984/08/28 00:00:00,143,
B39F0290,001,1984/10/15 00:00:00,93,
B39F0290,001,1984/12/14 00:00:00,120,
B39F0290,001,1985/04/26 00:00:00,107,
B39F0290,001,1985/10/14 00:00:00,144,
B39F0290,001,1985/12/13 00:00:00,130,
B39F0290,001,1986/04/28 00:00:00,87,
B39F0290,001,1986/08/28 00:00:00,145,
B39F0290,001,1986/10/14 00:00:00,152,
B39F0290,001,1986/12/15 00:00:00,133,
B39F0290,001,1987/04/28 00:00:00,114,
B39F0290,001,1987/09/04 00:00:00,129,
B39F0290,001,1987/10/14 17:30:00,114,
B39F0290,001,1987/12/14 12:00:00,91,
B39F0290,001,1988/04/28 11:00:00,106,
B39F0290,001,1988/08/29 15:30:00,148,
B39F0290,001,1988/10/14 10:00:00,127,
B39F0290,001,1988/12/14 16:15:00,84,
B39F0290,001,1989/04/28 14:30:00,96,
B39F0290,001,1989/08/28 12:00:00,59,
B39F0290,001,1989/10/16 09:30:00,169,
B39F0290,001,1989/12/14 15:30:00,148,
B39F0290,001,1990/04/27 16:30:00,135,
B39F0290,001,1990/08/28 16:00:00,154,
B39F0290,001,1990/10/15 15:30:00,153,
B39F0290,001,1990/12/14 16:00:00,120,
B39F0290,001,1991/04/29 08:30:00,137,
B39F0290,001,1991/08/28 15:00:00,160,
B39F0290,001,1991/10/14 15:00:00,147,
B39F0290,001,1991/12/13 10:00:00,156,
B39F0290,001,1992/04/28 14:00:00,112,
B39F0290,001,1992/08/28 19:00:00,136,
B39F0290,001,1992/10/14 10:30:00,152,
B39F0290,001,1992/12/14 16:15:00,72,
B39F0290,001,1993/04/28 11:00:00,147,
B39F0290,001,1993/08/27 15:30:00,148,
B39F0290,001,1993/10/14 13:00:00,88,
B39F0290,001,1993/12/14 13:30:00,91,
B39F0290,001,1994/04/28 17:30:00,91,
B39F0290,001,1994/08/29 12:00:00,145,
B39F0290,001,1994/10/15 11:00:00,135,
