Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0291,001,39FL0291,176960,439900,755,,,,,1973/06/12,1973/08/28
B39F0291,001,39FL0291,176960,439900,755,,811,461,361,1973/08/28,1976/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0291,001,1973/08/28 00:00:00,171,
B39F0291,001,1973/10/15 00:00:00,159,
B39F0291,001,1973/12/14 00:00:00,84,
B39F0291,001,1974/04/29 00:00:00,142,
B39F0291,001,1974/08/28 00:00:00,148,
B39F0291,001,1974/10/14 00:00:00,125,
B39F0291,001,1974/12/13 00:00:00,65,
B39F0291,001,1975/04/28 00:00:00,109,
B39F0291,001,1975/08/28 00:00:00,139,
B39F0291,001,1975/10/14 00:00:00,141,
B39F0291,001,1975/12/15 00:00:00,151,
B39F0291,001,1976/04/28 00:00:00,150,
B39F0291,001,1976/08/27 00:00:00,174,
B39F0291,001,1976/10/14 00:00:00,148,
