Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0300,003,39FP0300,173030,438210,675,,649,-5601,-5701,1974/11/01,1976/01/14
B39F0300,003,39FP0300,173030,438210,675,,738,-5601,-5701,1976/01/14,1998/03/01
B39F0300,003,39FP0300,173030,438210,675,,742,-5601,-5701,1998/03/01,2019/10/18

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0300,003,1975/07/10 00:00:00,73,
B39F0300,003,1975/09/04 00:00:00,84,
B39F0300,003,1975/09/15 00:00:00,76,
B39F0300,003,1975/09/29 00:00:00,96,
B39F0300,003,1975/10/14 00:00:00,91,
B39F0300,003,1975/10/28 00:00:00,96,
B39F0300,003,1975/11/14 00:00:00,91,
B39F0300,003,1975/11/28 00:00:00,96,
B39F0300,003,1976/01/14 00:00:00,82,
B39F0300,003,1976/02/27 00:00:00,112,
B39F0300,003,1976/03/29 00:00:00,117,
B39F0300,003,1976/04/14 00:00:00,107,
B39F0300,003,1976/05/14 00:00:00,107,
B39F0300,003,1976/06/14 00:00:00,112,
B39F0300,003,1976/06/28 00:00:00,117,
B39F0300,003,1976/07/14 00:00:00,112,
B39F0300,003,1976/07/28 00:00:00,117,
B39F0300,003,1976/08/13 00:00:00,122,
B39F0300,003,1976/08/27 00:00:00,127,
B39F0300,003,1976/09/14 00:00:00,117,
B39F0300,003,1976/10/14 00:00:00,117,
B39F0300,003,1976/10/28 00:00:00,117,
B39F0300,003,1976/11/15 00:00:00,112,
B39F0300,003,1976/11/29 00:00:00,117,
B39F0300,003,1976/12/14 00:00:00,117,
B39F0300,003,1976/12/28 00:00:00,117,
B39F0300,003,1977/01/14 00:00:00,117,
B39F0300,003,1977/01/28 00:00:00,117,
B39F0300,003,1977/02/14 00:00:00,72,
B39F0300,003,1977/02/28 00:00:00,92,
B39F0300,003,1977/03/14 00:00:00,87,
B39F0300,003,1977/03/28 00:00:00,87,
B39F0300,003,1977/04/14 00:00:00,92,
B39F0300,003,1977/04/28 00:00:00,82,
B39F0300,003,1977/05/13 00:00:00,72,
B39F0300,003,1977/05/27 00:00:00,82,
B39F0300,003,1977/06/14 00:00:00,87,
B39F0300,003,1977/06/28 00:00:00,87,
B39F0300,003,1977/07/14 00:00:00,92,
B39F0300,003,1977/07/28 00:00:00,92,
B39F0300,003,1977/08/15 00:00:00,87,
B39F0300,003,1977/08/29 00:00:00,87,
B39F0300,003,1977/09/14 00:00:00,92,
B39F0300,003,1977/09/28 00:00:00,92,
B39F0300,003,1977/10/14 00:00:00,97,
B39F0300,003,1977/10/28 00:00:00,97,
B39F0300,003,1977/11/14 00:00:00,67,
B39F0300,003,1977/11/28 00:00:00,67,
B39F0300,003,1977/12/14 00:00:00,77,
B39F0300,003,1977/12/28 00:00:00,82,
B39F0300,003,1978/01/13 00:00:00,77,
B39F0300,003,1978/01/27 00:00:00,87,
B39F0300,003,1978/02/28 00:00:00,97,
B39F0300,003,1978/03/14 00:00:00,82,
B39F0300,003,1978/03/28 00:00:00,47,
B39F0300,003,1978/04/14 00:00:00,67,
B39F0300,003,1978/04/28 00:00:00,77,
B39F0300,003,1978/05/16 00:00:00,67,
B39F0300,003,1978/05/29 00:00:00,67,
B39F0300,003,1978/06/14 00:00:00,77,
B39F0300,003,1978/06/28 00:00:00,77,
B39F0300,003,1978/07/14 00:00:00,67,
B39F0300,003,1978/07/28 00:00:00,77,
B39F0300,003,1978/08/14 00:00:00,77,
B39F0300,003,1978/08/28 00:00:00,87,
B39F0300,003,1978/09/14 00:00:00,82,
B39F0300,003,1978/09/28 00:00:00,87,
B39F0300,003,1978/10/13 00:00:00,87,
B39F0300,003,1978/10/27 00:00:00,82,
B39F0300,003,1978/11/14 00:00:00,107,
B39F0300,003,1978/11/28 00:00:00,97,
B39F0300,003,1979/04/13 00:00:00,67,
B39F0300,003,1979/04/27 00:00:00,62,
B39F0300,003,1979/05/14 00:00:00,72,
B39F0300,003,1979/05/28 00:00:00,62,
B39F0300,003,1979/06/14 00:00:00,57,
B39F0300,003,1979/06/28 00:00:00,77,
B39F0300,003,1979/07/13 00:00:00,87,
B39F0300,003,1979/07/27 00:00:00,92,
B39F0300,003,1979/08/14 00:00:00,92,
B39F0300,003,1979/08/28 00:00:00,92,
B39F0300,003,1979/09/14 00:00:00,102,
B39F0300,003,1979/09/28 00:00:00,107,
B39F0300,003,1979/10/15 00:00:00,97,
B39F0300,003,1979/10/29 00:00:00,107,
B39F0300,003,1979/11/14 00:00:00,87,
B39F0300,003,1979/11/28 00:00:00,97,
B39F0300,003,1979/12/14 00:00:00,107,
B39F0300,003,1980/01/28 00:00:00,97,
B39F0300,003,1980/02/14 00:00:00,32,
B39F0300,003,1980/02/28 00:00:00,87,
B39F0300,003,1980/03/14 00:00:00,82,
B39F0300,003,1980/03/28 00:00:00,92,
B39F0300,003,1980/04/14 00:00:00,82,
B39F0300,003,1980/04/28 00:00:00,82,
B39F0300,003,1980/05/14 00:00:00,87,
B39F0300,003,1980/05/28 00:00:00,92,
B39F0300,003,1980/06/13 00:00:00,87,
B39F0300,003,1980/07/14 00:00:00,42,
B39F0300,003,1980/07/28 00:00:00,42,
B39F0300,003,1980/08/14 00:00:00,72,
B39F0300,003,1980/08/28 00:00:00,82,
B39F0300,003,1980/09/15 00:00:00,87,
B39F0300,003,1980/09/29 00:00:00,97,
B39F0300,003,1980/10/14 00:00:00,97,
B39F0300,003,1980/10/28 00:00:00,87,
B39F0300,003,1980/11/14 00:00:00,92,
B39F0300,003,1980/11/28 00:00:00,87,
B39F0300,003,1980/12/15 00:00:00,92,
B39F0300,003,1980/12/29 00:00:00,77,
B39F0300,003,1981/01/28 00:00:00,67,
B39F0300,003,1981/02/13 00:00:00,77,
B39F0300,003,1981/02/27 00:00:00,97,
B39F0300,003,1981/03/13 00:00:00,47,
B39F0300,003,1981/03/27 00:00:00,52,
B39F0300,003,1981/04/14 00:00:00,77,
B39F0300,003,1981/04/28 00:00:00,92,
B39F0300,003,1981/05/14 00:00:00,97,
B39F0300,003,1981/05/28 00:00:00,92,
B39F0300,003,1981/06/14 00:00:00,87,
B39F0300,003,1981/06/28 00:00:00,87,
B39F0300,003,1981/07/14 00:00:00,97,
B39F0300,003,1981/07/28 00:00:00,92,
B39F0300,003,1981/08/14 00:00:00,97,
