Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0315,001,39FP0315,178610,442015,1041,,1084,-759,-959,1977/03/29,1981/05/14
B39F0315,001,39FP0315,178610,442015,1041,,1068,-759,-959,1981/05/14,1989/09/01
B39F0315,001,39FP0315,178610,442015,1041,,1118,-759,-959,1989/09/01,2000/05/17
B39F0315,001,39FP0315,178610,442015,1041,,1045,-759,-959,2000/05/17,2002/06/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0315,001,1977/05/27 00:00:00,279,
B39F0315,001,1977/06/14 00:00:00,327,
B39F0315,001,1977/06/28 00:00:00,316,
B39F0315,001,1977/07/14 00:00:00,398,
B39F0315,001,1977/07/28 00:00:00,398,
B39F0315,001,1977/08/15 00:00:00,375,
B39F0315,001,1977/08/29 00:00:00,349,
B39F0315,001,1977/09/28 00:00:00,431,
B39F0315,001,1977/10/14 00:00:00,435,
B39F0315,001,1977/11/14 00:00:00,396,
B39F0315,001,1977/11/28 00:00:00,270,
B39F0315,001,1977/12/14 00:00:00,350,
B39F0315,001,1977/12/28 00:00:00,375,
B39F0315,001,1978/01/12 00:00:00,340,
B39F0315,001,1978/01/27 00:00:00,387,
B39F0315,001,1978/02/14 00:00:00,259,
B39F0315,001,1978/02/28 00:00:00,245,
B39F0315,001,1978/03/14 00:00:00,300,
B39F0315,001,1978/03/28 00:00:00,130,
B39F0315,001,1978/04/14 00:00:00,292,
B39F0315,001,1978/04/28 00:00:00,369,
B39F0315,001,1978/05/16 00:00:00,325,
B39F0315,001,1978/05/29 00:00:00,137,
B39F0315,001,1978/06/14 00:00:00,322,
B39F0315,001,1978/06/28 00:00:00,334,
B39F0315,001,1978/07/14 00:00:00,257,
B39F0315,001,1978/07/28 00:00:00,341,
B39F0315,001,1978/08/14 00:00:00,180,
B39F0315,001,1978/08/28 00:00:00,378,
B39F0315,001,1978/09/14 00:00:00,415,
B39F0315,001,1978/09/28 00:00:00,432,
B39F0315,001,1978/10/13 00:00:00,416,
B39F0315,001,1978/10/27 00:00:00,428,
B39F0315,001,1978/11/14 00:00:00,433,
B39F0315,001,1978/11/28 00:00:00,433,
B39F0315,001,1978/12/14 00:00:00,427,
B39F0315,001,1978/12/28 00:00:00,407,
B39F0315,001,1979/01/15 00:00:00,346,
B39F0315,001,1979/01/29 00:00:00,397,
B39F0315,001,1979/02/14 00:00:00,150,
B39F0315,001,1979/02/28 00:00:00,290,
B39F0315,001,1979/03/14 00:00:00,186,
B39F0315,001,1979/03/28 00:00:00,225,
B39F0315,001,1979/04/13 00:00:00,275,
B39F0315,001,1979/04/27 00:00:00,315,
B39F0315,001,1979/05/14 00:00:00,339,
B39F0315,001,1979/05/28 00:00:00,330,
B39F0315,001,1979/06/14 00:00:00,331,
B39F0315,001,1979/06/28 00:00:00,340,
B39F0315,001,1979/07/13 00:00:00,401,
B39F0315,001,1979/07/27 00:00:00,425,
B39F0315,001,1979/08/14 00:00:00,425,
B39F0315,001,1979/08/28 00:00:00,420,
B39F0315,001,1979/09/14 00:00:00,438,
B39F0315,001,1979/09/28 00:00:00,436,
B39F0315,001,1979/10/15 00:00:00,450,
B39F0315,001,1979/10/29 00:00:00,442,
B39F0315,001,1979/11/14 00:00:00,355,
B39F0315,001,1979/11/28 00:00:00,390,
B39F0315,001,1979/12/14 00:00:00,214,
B39F0315,001,1979/12/28 00:00:00,257,
B39F0315,001,1980/01/14 00:00:00,310,
B39F0315,001,1980/01/28 00:00:00,346,
B39F0315,001,1980/02/14 00:00:00,-43,
B39F0315,001,1980/02/28 00:00:00,317,
B39F0315,001,1980/03/14 00:00:00,371,
B39F0315,001,1980/03/28 00:00:00,417,
B39F0315,001,1980/04/14 00:00:00,351,
B39F0315,001,1980/04/28 00:00:00,368,
B39F0315,001,1980/05/14 00:00:00,355,
B39F0315,001,1980/05/28 00:00:00,407,
B39F0315,001,1980/06/13 00:00:00,369,
B39F0315,001,1980/06/27 00:00:00,356,
B39F0315,001,1980/07/14 00:00:00,203,
B39F0315,001,1980/07/28 00:00:00,196,
B39F0315,001,1980/08/13 00:00:00,333,
B39F0315,001,1980/08/28 00:00:00,365,
B39F0315,001,1980/09/15 00:00:00,393,
B39F0315,001,1980/09/30 00:00:00,427,
B39F0315,001,1980/10/14 00:00:00,427,
B39F0315,001,1980/10/28 00:00:00,379,
B39F0315,001,1980/11/14 00:00:00,437,
B39F0315,001,1980/11/28 00:00:00,408,
B39F0315,001,1980/12/15 00:00:00,391,
B39F0315,001,1980/12/29 00:00:00,307,
B39F0315,001,1981/01/14 00:00:00,287,
B39F0315,001,1981/05/14 00:00:00,371,
B39F0315,001,1981/05/27 00:00:00,407,
B39F0315,001,1981/06/15 00:00:00,342,
B39F0315,001,1981/06/29 00:00:00,393,
B39F0315,001,1981/07/14 00:00:00,395,
B39F0315,001,1981/07/28 00:00:00,337,
B39F0315,001,1981/08/14 00:00:00,300,
B39F0315,001,1981/08/28 00:00:00,391,
B39F0315,001,1981/09/14 00:00:00,421,
B39F0315,001,1981/09/28 00:00:00,402,
B39F0315,001,1981/10/14 00:00:00,316,
B39F0315,001,1981/10/28 00:00:00,211,
B39F0315,001,1981/11/13 00:00:00,313,
B39F0315,001,1981/11/27 00:00:00,347,
B39F0315,001,1981/12/14 00:00:00,95,
B39F0315,001,1981/12/28 00:00:00,192,
B39F0315,001,1982/01/28 00:00:00,280,
B39F0315,001,1982/02/15 00:00:00,273,
B39F0315,001,1982/03/01 00:00:00,360,
B39F0315,001,1982/03/15 00:00:00,298,
B39F0315,001,1982/03/29 00:00:00,346,
B39F0315,001,1982/04/14 00:00:00,301,
B39F0315,001,1982/04/28 00:00:00,383,
B39F0315,001,1982/05/14 00:00:00,365,
B39F0315,001,1982/05/28 00:00:00,360,
B39F0315,001,1982/06/14 00:00:00,356,
B39F0315,001,1982/06/28 00:00:00,330,
B39F0315,001,1982/07/14 00:00:00,363,
B39F0315,001,1982/07/28 00:00:00,387,
B39F0315,001,1982/08/13 00:00:00,352,
B39F0315,001,1982/08/26 00:00:00,366,
B39F0315,001,1982/09/14 00:00:00,420,
B39F0315,001,1982/09/28 00:00:00,436,
B39F0315,001,1982/10/14 00:00:00,353,
B39F0315,001,1982/10/28 00:00:00,332,
B39F0315,001,1982/11/15 00:00:00,420,
B39F0315,001,1982/11/29 00:00:00,368,
B39F0315,001,1982/12/14 00:00:00,276,
B39F0315,001,1982/12/28 00:00:00,,O
B39F0315,001,1983/01/14 00:00:00,254,
B39F0315,001,1983/01/28 00:00:00,295,
B39F0315,001,1983/02/14 00:00:00,275,
B39F0315,001,1983/02/28 00:00:00,371,
B39F0315,001,1983/03/14 00:00:00,351,
B39F0315,001,1983/03/28 00:00:00,261,
B39F0315,001,1983/04/28 00:00:00,226,
B39F0315,001,1983/05/13 00:00:00,287,
B39F0315,001,1983/05/27 00:00:00,208,
B39F0315,001,1983/06/14 00:00:00,273,
B39F0315,001,1983/06/28 00:00:00,336,
B39F0315,001,1983/07/14 00:00:00,371,
B39F0315,001,1983/07/28 00:00:00,420,
B39F0315,001,1983/08/15 00:00:00,431,
B39F0315,001,1983/08/29 00:00:00,446,
B39F0315,001,1983/09/14 00:00:00,428,
B39F0315,001,1983/09/28 00:00:00,423,
B39F0315,001,1983/10/14 00:00:00,436,
B39F0315,001,1983/10/28 00:00:00,435,
B39F0315,001,1983/11/14 00:00:00,443,
B39F0315,001,1983/11/28 00:00:00,433,
B39F0315,001,1983/12/14 00:00:00,428,
B39F0315,001,1983/12/28 00:00:00,381,
B39F0315,001,1984/01/13 00:00:00,312,
B39F0315,001,1984/01/27 00:00:00,288,
B39F0315,001,1984/02/14 00:00:00,,O
B39F0315,001,1984/02/28 00:00:00,364,
B39F0315,001,1984/03/14 00:00:00,416,
B39F0315,001,1984/03/28 00:00:00,419,
B39F0315,001,1984/04/13 00:00:00,332,
B39F0315,001,1984/04/27 00:00:00,402,
B39F0315,001,1984/05/14 00:00:00,393,
B39F0315,001,1984/05/28 00:00:00,334,
B39F0315,001,1984/06/14 00:00:00,278,
B39F0315,001,1984/06/28 00:00:00,366,
B39F0315,001,1984/07/13 00:00:00,384,
B39F0315,001,1984/07/27 00:00:00,403,
B39F0315,001,1984/08/14 00:00:00,411,
B39F0315,001,1984/08/28 00:00:00,438,
B39F0315,001,1984/09/14 00:00:00,323,
B39F0315,001,1984/09/28 00:00:00,310,
B39F0315,001,1984/10/15 00:00:00,318,
B39F0315,001,1984/10/29 00:00:00,336,
B39F0315,001,1984/11/14 00:00:00,423,
B39F0315,001,1984/11/28 00:00:00,229,
B39F0315,001,1984/12/14 00:00:00,414,
B39F0315,001,1984/12/28 00:00:00,368,
B39F0315,001,1985/01/14 00:00:00,503,
B39F0315,001,1985/01/28 00:00:00,328,
B39F0315,001,1985/02/14 00:00:00,300,
B39F0315,001,1985/02/28 00:00:00,398,
B39F0315,001,1985/03/14 00:00:00,393,
B39F0315,001,1985/03/28 00:00:00,384,
B39F0315,001,1985/04/15 00:00:00,323,
B39F0315,001,1985/04/29 00:00:00,368,
B39F0315,001,1985/05/14 00:00:00,294,
B39F0315,001,1985/05/28 00:00:00,319,
B39F0315,001,1985/06/14 00:00:00,321,
B39F0315,001,1985/06/28 00:00:00,305,
B39F0315,001,1985/07/15 00:00:00,368,
B39F0315,001,1985/07/29 00:00:00,409,
B39F0315,001,1985/08/14 00:00:00,410,
B39F0315,001,1985/08/28 00:00:00,428,
B39F0315,001,1985/09/13 00:00:00,413,
B39F0315,001,1985/09/27 00:00:00,429,
B39F0315,001,1985/10/14 00:00:00,431,
B39F0315,001,1985/10/28 00:00:00,426,
B39F0315,001,1985/11/14 00:00:00,446,
B39F0315,001,1985/11/28 00:00:00,433,
B39F0315,001,1985/12/13 00:00:00,418,
B39F0315,001,1985/12/24 00:00:00,432,
B39F0315,001,1986/01/14 00:00:00,405,
B39F0315,001,1986/01/28 00:00:00,108,
B39F0315,001,1986/02/14 00:00:00,397,
B39F0315,001,1986/02/28 00:00:00,412,
B39F0315,001,1986/03/14 00:00:00,390,
B39F0315,001,1986/03/28 00:00:00,283,
B39F0315,001,1986/04/14 00:00:00,258,
B39F0315,001,1986/04/28 00:00:00,233,
B39F0315,001,1986/05/14 00:00:00,311,
B39F0315,001,1986/05/28 00:00:00,323,
B39F0315,001,1986/06/13 00:00:00,226,
B39F0315,001,1986/06/27 00:00:00,319,
B39F0315,001,1986/07/14 00:00:00,360,
B39F0315,001,1986/07/28 00:00:00,396,
B39F0315,001,1986/08/14 00:00:00,431,
B39F0315,001,1986/08/28 00:00:00,403,
B39F0315,001,1986/09/15 00:00:00,433,
B39F0315,001,1986/09/29 00:00:00,431,
B39F0315,001,1986/10/14 00:00:00,434,
B39F0315,001,1986/10/28 00:00:00,292,
B39F0315,001,1986/11/14 00:00:00,401,
B39F0315,001,1986/11/28 00:00:00,374,
B39F0315,001,1986/12/15 00:00:00,428,
B39F0315,001,1986/12/29 00:00:00,348,
B39F0315,001,1987/01/14 00:00:00,254,
B39F0315,001,1987/01/28 00:00:00,263,
B39F0315,001,1987/02/13 00:00:00,326,
B39F0315,001,1987/02/27 00:00:00,381,
B39F0315,001,1987/03/13 00:00:00,272,
B39F0315,001,1987/03/27 00:00:00,238,
B39F0315,001,1987/04/14 00:00:00,311,
B39F0315,001,1987/04/28 00:00:00,359,
B39F0315,001,1987/05/14 00:00:00,338,
B39F0315,001,1987/05/27 00:00:00,323,
B39F0315,001,1987/06/15 00:00:00,287,
B39F0315,001,1987/06/29 00:00:00,169,
B39F0315,001,1987/07/14 00:00:00,267,
B39F0315,001,1987/07/28 00:00:00,300,
B39F0315,001,1987/08/14 00:00:00,304,
B39F0315,001,1987/08/28 00:00:00,353,
B39F0315,001,1987/09/14 00:00:00,466,
B39F0315,001,1987/09/28 00:00:00,388,
B39F0315,001,1987/10/14 00:00:00,363,
B39F0315,001,1987/10/28 00:00:00,382,
B39F0315,001,1987/11/13 00:00:00,423,
B39F0315,001,1987/11/27 00:00:00,296,
B39F0315,001,1987/12/14 00:00:00,403,
B39F0315,001,1987/12/28 00:00:00,308,
B39F0315,001,1988/01/14 00:00:00,316,
B39F0315,001,1988/01/28 00:00:00,227,
B39F0315,001,1988/02/15 00:00:00,158,
B39F0315,001,1988/02/29 00:00:00,323,
B39F0315,001,1988/03/14 00:00:00,303,
B39F0315,001,1988/03/28 00:00:00,-27,
B39F0315,001,1988/04/14 00:00:00,198,
B39F0315,001,1988/04/28 00:00:00,299,
B39F0315,001,1988/05/16 00:00:00,341,
B39F0315,001,1988/05/27 00:00:00,343,
B39F0315,001,1988/06/14 00:00:00,323,
B39F0315,001,1988/06/28 00:00:00,377,
B39F0315,001,1988/07/14 00:00:00,380,
B39F0315,001,1988/07/28 00:00:00,391,
B39F0315,001,1988/09/14 00:00:00,475,
B39F0315,001,1988/09/28 00:00:00,472,
B39F0315,001,1988/10/14 00:00:00,435,
B39F0315,001,1988/10/28 00:00:00,441,
B39F0315,001,1988/11/14 00:00:00,480,
B39F0315,001,1988/11/28 00:00:00,497,
B39F0315,001,1988/12/14 00:00:00,253,
B39F0315,001,1988/12/27 00:00:00,295,
B39F0315,001,1989/01/12 00:00:00,411,
B39F0315,001,1989/01/27 00:00:00,435,
B39F0315,001,1989/02/14 00:00:00,475,
B39F0315,001,1989/02/27 00:00:00,405,
B39F0315,001,1989/03/14 00:00:00,393,
B39F0315,001,1989/03/28 00:00:00,396,
B39F0315,001,1989/04/14 00:00:00,394,
B39F0315,001,1989/04/28 00:00:00,274,
B39F0315,001,1989/05/16 00:00:00,418,
B39F0315,001,1989/05/29 00:00:00,468,
B39F0315,001,1989/06/14 00:00:00,474,
B39F0315,001,1989/06/28 00:00:00,484,
B39F0315,001,1989/07/14 00:00:00,470,
B39F0315,001,1989/07/28 00:00:00,489,
B39F0315,001,1989/08/14 00:00:00,471,
B39F0315,001,1989/08/28 00:00:00,486,
B39F0315,001,1989/09/14 00:00:00,473,
B39F0315,001,1989/09/29 00:00:00,438,
B39F0315,001,1989/10/12 00:00:00,461,
B39F0315,001,1989/10/27 00:00:00,463,
B39F0315,001,1989/11/14 00:00:00,460,
B39F0315,001,1989/11/28 00:00:00,465,
B39F0315,001,1989/12/14 00:00:00,462,
B39F0315,001,1989/12/28 00:00:00,452,
B39F0315,001,1990/01/15 00:00:00,424,
B39F0315,001,1990/01/29 00:00:00,334,
B39F0315,001,1990/02/14 00:00:00,396,
B39F0315,001,1990/02/28 00:00:00,273,
B39F0315,001,1990/03/14 00:00:00,324,
B39F0315,001,1990/03/28 00:00:00,407,
B39F0315,001,1990/04/13 00:00:00,426,
B39F0315,001,1990/04/27 00:00:00,416,
B39F0315,001,1990/05/14 00:00:00,427,
B39F0315,001,1990/05/28 00:00:00,433,
B39F0315,001,1990/06/14 00:00:00,405,
B39F0315,001,1990/06/28 00:00:00,394,
B39F0315,001,1990/07/13 00:00:00,345,
B39F0315,001,1990/07/27 00:00:00,428,
B39F0315,001,1990/08/15 00:00:00,432,
B39F0315,001,1990/08/29 00:00:00,435,
B39F0315,001,1990/09/14 00:00:00,433,
B39F0315,001,1990/09/28 00:00:00,433,
B39F0315,001,1990/10/15 00:00:00,425,
B39F0315,001,1990/10/29 00:00:00,435,
B39F0315,001,1990/11/14 00:00:00,421,
B39F0315,001,1990/11/28 00:00:00,307,
B39F0315,001,1990/12/14 00:00:00,403,
B39F0315,001,1990/12/28 00:00:00,363,
B39F0315,001,1991/01/14 00:00:00,154,
B39F0315,001,1991/01/28 00:00:00,363,
B39F0315,001,1991/02/14 00:00:00,472,
B39F0315,001,1991/02/28 00:00:00,415,
B39F0315,001,1991/03/14 00:00:00,420,
B39F0315,001,1991/03/28 00:00:00,369,
B39F0315,001,1991/04/15 00:00:00,431,
B39F0315,001,1991/04/26 00:00:00,434,
B39F0315,001,1991/05/14 00:00:00,433,
B39F0315,001,1991/05/28 00:00:00,429,
B39F0315,001,1991/06/14 00:00:00,437,
B39F0315,001,1991/06/28 00:00:00,365,
B39F0315,001,1991/07/15 00:00:00,414,
B39F0315,001,1991/07/29 00:00:00,421,
B39F0315,001,1991/08/14 00:00:00,428,
B39F0315,001,1991/08/28 00:00:00,434,
B39F0315,001,1991/09/13 00:00:00,438,
B39F0315,001,1991/09/27 00:00:00,433,
B39F0315,001,1991/10/14 00:00:00,436,
B39F0315,001,1991/10/28 00:00:00,438,
B39F0315,001,1991/11/14 00:00:00,397,
B39F0315,001,1991/11/28 00:00:00,414,
B39F0315,001,1991/12/13 00:00:00,436,
B39F0315,001,1991/12/30 00:00:00,241,
B39F0315,001,1992/01/15 00:00:00,374,
B39F0315,001,1992/01/28 00:00:00,427,
B39F0315,001,1992/02/14 00:00:00,402,
B39F0315,001,1992/02/28 00:00:00,413,
B39F0315,001,1992/03/13 00:00:00,426,
B39F0315,001,1992/03/27 00:00:00,278,
B39F0315,001,1992/04/14 00:00:00,350,
B39F0315,001,1992/04/28 00:00:00,391,
B39F0315,001,1992/05/14 00:00:00,386,
B39F0315,001,1992/05/27 00:00:00,394,
B39F0315,001,1992/06/15 00:00:00,378,
B39F0315,001,1992/06/29 00:00:00,393,
B39F0315,001,1992/07/15 00:00:00,402,
B39F0315,001,1992/07/29 00:00:00,422,
B39F0315,001,1992/08/14 00:00:00,430,
B39F0315,001,1992/08/28 00:00:00,431,
B39F0315,001,1992/09/14 00:00:00,430,
B39F0315,001,1992/09/28 00:00:00,435,
B39F0315,001,1992/10/14 00:00:00,441,
B39F0315,001,1992/10/28 00:00:00,430,
B39F0315,001,1992/11/12 00:00:00,407,
B39F0315,001,1992/11/27 00:00:00,208,
B39F0315,001,1992/12/14 00:00:00,226,
B39F0315,001,1992/12/28 00:00:00,343,
B39F0315,001,1993/01/14 00:00:00,265,
B39F0315,001,1993/01/28 00:00:00,311,
B39F0315,001,1993/02/15 00:00:00,416,
B39F0315,001,1993/03/01 00:00:00,425,
B39F0315,001,1993/03/15 00:00:00,444,
B39F0315,001,1993/03/29 00:00:00,445,
B39F0315,001,1993/04/14 00:00:00,426,
B39F0315,001,1993/04/28 00:00:00,442,
B39F0315,001,1993/05/14 00:00:00,433,
B39F0315,001,1993/05/28 00:00:00,435,
B39F0315,001,1993/06/14 00:00:00,435,
B39F0315,001,1993/06/28 00:00:00,416,
B39F0315,001,1993/07/15 00:00:00,422,
B39F0315,001,1993/07/29 00:00:00,371,
B39F0315,001,1993/08/17 00:00:00,426,
B39F0315,001,1993/08/27 00:00:00,435,
B39F0315,001,1993/09/14 00:00:00,431,
B39F0315,001,1993/09/28 00:00:00,395,
B39F0315,001,1993/10/14 00:00:00,337,
B39F0315,001,1993/10/28 00:00:00,343,
B39F0315,001,1993/11/16 00:00:00,403,
B39F0315,001,1993/11/29 00:00:00,431,
B39F0315,001,1993/12/16 00:00:00,268,
B39F0315,001,1994/01/14 00:00:00,114,
B39F0315,001,1994/01/28 00:00:00,261,
B39F0315,001,1994/02/14 00:00:00,300,
B39F0315,001,1994/02/28 00:00:00,348,
B39F0315,001,1994/03/14 00:00:00,352,
B39F0315,001,1994/03/28 00:00:00,263,
B39F0315,001,1994/04/14 00:00:00,267,
B39F0315,001,1994/04/28 00:00:00,318,
B39F0315,001,1994/05/16 00:00:00,363,
B39F0315,001,1994/05/27 00:00:00,297,
B39F0315,001,1994/06/15 00:00:00,308,
B39F0315,001,1994/06/28 00:00:00,340,
B39F0315,001,1994/07/14 00:00:00,396,
B39F0315,001,1994/07/28 00:00:00,421,
B39F0315,001,1994/08/15 00:00:00,428,
B39F0315,001,1994/08/29 00:00:00,428,
B39F0315,001,1994/09/14 00:00:00,401,
B39F0315,001,1994/09/28 00:00:00,395,
B39F0315,001,1994/10/14 00:00:00,427,
B39F0315,001,1994/10/28 00:00:00,426,
B39F0315,001,1994/11/15 00:00:00,425,
B39F0315,001,1994/11/29 00:00:00,418,
B39F0315,001,1994/12/13 00:00:00,411,
B39F0315,001,1994/12/28 00:00:00,408,
B39F0315,001,1995/01/12 00:00:00,328,
B39F0315,001,1995/01/26 00:00:00,153,
B39F0315,001,1995/02/14 00:00:00,223,
B39F0315,001,1995/02/28 00:00:00,184,
B39F0315,001,1995/03/14 00:00:00,304,
B39F0315,001,1995/03/28 00:00:00,236,
B39F0315,001,1995/04/13 00:00:00,309,
B39F0315,001,1995/04/28 00:00:00,328,
B39F0315,001,1995/05/15 00:00:00,355,
B39F0315,001,1995/05/29 00:00:00,331,
B39F0315,001,1995/06/14 00:00:00,333,
B39F0315,001,1995/06/28 00:00:00,328,
B39F0315,001,1995/07/14 00:00:00,366,
B39F0315,001,1995/07/28 00:00:00,363,
B39F0315,001,1995/08/14 00:00:00,416,
B39F0315,001,1995/08/30 00:00:00,432,
B39F0315,001,1995/09/14 00:00:00,399,
B39F0315,001,1995/09/29 00:00:00,366,
B39F0315,001,1995/10/13 00:00:00,418,
B39F0315,001,1995/10/27 00:00:00,428,
B39F0315,001,1995/11/14 00:00:00,433,
B39F0315,001,1995/11/29 00:00:00,422,
B39F0315,001,1995/12/15 00:00:00,441,
B39F0315,001,1995/12/28 00:00:00,409,
B39F0315,001,1996/01/16 00:00:00,405,
B39F0315,001,1996/01/30 00:00:00,427,
B39F0315,001,1996/02/14 00:00:00,433,
B39F0315,001,1996/02/28 00:00:00,416,
B39F0315,001,1996/03/14 00:00:00,433,
B39F0315,001,1996/03/29 00:00:00,418,
B39F0315,001,1996/04/15 00:00:00,438,
B39F0315,001,1996/04/26 00:00:00,436,
B39F0315,001,1996/05/14 00:00:00,438,
B39F0315,001,1996/05/29 00:00:00,403,
B39F0315,001,1996/06/13 00:00:00,408,
B39F0315,001,1996/06/28 00:00:00,426,
B39F0315,001,1996/07/16 00:00:00,438,
B39F0315,001,1996/07/30 00:00:00,430,
B39F0315,001,1996/08/14 00:00:00,428,
B39F0315,001,1996/08/28 00:00:00,438,
B39F0315,001,1996/09/13 00:00:00,431,
B39F0315,001,1996/09/26 00:00:00,435,
B39F0315,001,1996/10/14 00:00:00,436,
B39F0315,001,1996/10/28 00:00:00,413,
B39F0315,001,1996/11/15 00:00:00,405,
B39F0315,001,1996/11/28 00:00:00,385,
B39F0315,001,1996/12/13 00:00:00,338,
B39F0315,001,1996/12/27 00:00:00,378,
B39F0315,001,1997/01/14 00:00:00,473,
B39F0315,001,1997/01/28 00:00:00,464,
B39F0315,001,1997/02/17 00:00:00,310,
B39F0315,001,1997/02/28 00:00:00,253,
B39F0315,001,1997/03/14 00:00:00,347,
B39F0315,001,1997/03/28 00:00:00,376,
B39F0315,001,1997/04/14 00:00:00,420,
B39F0315,001,1997/04/28 00:00:00,415,
B39F0315,001,1997/05/14 00:00:00,396,
B39F0315,001,1997/05/28 00:00:00,415,
B39F0315,001,1997/06/16 00:00:00,414,
B39F0315,001,1997/06/27 00:00:00,368,
B39F0315,001,1997/07/15 00:00:00,355,
B39F0315,001,1997/07/28 00:00:00,358,
B39F0315,001,1997/08/14 00:00:00,401,
B39F0315,001,1997/08/28 00:00:00,429,
B39F0315,001,1997/09/15 00:00:00,431,
B39F0315,001,1997/09/29 00:00:00,435,
B39F0315,001,1997/10/14 00:00:00,422,
B39F0315,001,1997/10/28 00:00:00,475,
B39F0315,001,1997/11/18 00:00:00,433,
B39F0315,001,1997/11/28 00:00:00,439,
B39F0315,001,1997/12/15 00:00:00,410,
B39F0315,001,1997/12/29 00:00:00,407,
B39F0315,001,1998/01/14 00:00:00,338,
B39F0315,001,1998/01/28 00:00:00,357,
B39F0315,001,1998/02/13 00:00:00,422,
B39F0315,001,1998/02/27 00:00:00,430,
B39F0315,001,1998/03/13 00:00:00,368,
B39F0315,001,1998/03/30 00:00:00,422,
B39F0315,001,1998/04/14 00:00:00,340,
B39F0315,001,1998/04/28 00:00:00,380,
B39F0315,001,1998/05/14 00:00:00,394,
B39F0315,001,1998/05/28 00:00:00,432,
B39F0315,001,1998/06/15 00:00:00,410,
B39F0315,001,1998/06/26 00:00:00,426,
B39F0315,001,1998/07/14 00:00:00,434,
B39F0315,001,1998/07/28 00:00:00,425,
