Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0579,004,39FP0579,176120,438720,800,,829,-9600,-9800,1996/12/03,1999/04/01
B39F0579,004,39FP0579,176120,438720,800,,820,-9600,-9800,1999/04/01,2006/01/06

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0579,004,1997/01/15 00:00:00,162,
B39F0579,004,1997/01/28 00:00:00,168,
B39F0579,004,1997/02/17 00:00:00,141,
B39F0579,004,1997/02/28 00:00:00,125,
B39F0579,004,1997/03/14 00:00:00,131,
B39F0579,004,1997/03/28 00:00:00,126,
B39F0579,004,1997/04/14 00:00:00,146,
B39F0579,004,1997/04/28 00:00:00,152,
B39F0579,004,1997/05/14 00:00:00,149,
B39F0579,004,1997/05/28 00:00:00,147,
B39F0579,004,1997/06/16 00:00:00,163,
B39F0579,004,1997/06/27 00:00:00,148,
B39F0579,004,1997/07/15 00:00:00,138,
B39F0579,004,1997/07/28 00:00:00,133,
B39F0579,004,1997/08/14 00:00:00,157,
B39F0579,004,1997/08/28 00:00:00,162,
B39F0579,004,1997/09/15 00:00:00,165,
B39F0579,004,1997/09/29 00:00:00,168,
B39F0579,004,1997/10/14 00:00:00,159,
B39F0579,004,1997/10/28 00:00:00,160,
B39F0579,004,1997/11/18 00:00:00,173,
B39F0579,004,1997/11/28 00:00:00,178,
B39F0579,004,1997/12/15 00:00:00,162,
B39F0579,004,1997/12/29 00:00:00,127,
B39F0579,004,1998/01/14 00:00:00,117,
B39F0579,004,1998/01/28 00:00:00,131,
B39F0579,004,1998/02/13 00:00:00,147,
B39F0579,004,1998/02/27 00:00:00,152,
B39F0579,004,1998/03/13 00:00:00,132,
B39F0579,004,1998/03/30 00:00:00,144,
B39F0579,004,1998/04/14 00:00:00,135,
B39F0579,004,1998/04/28 00:00:00,136,
B39F0579,004,1998/05/14 00:00:00,147,
B39F0579,004,1998/05/28 00:00:00,157,
B39F0579,004,1998/06/15 00:00:00,150,
B39F0579,004,1998/06/26 00:00:00,146,
B39F0579,004,1998/07/14 00:00:00,152,
B39F0579,004,1998/07/28 00:00:00,151,
B39F0579,004,1998/08/14 00:00:00,180,
B39F0579,004,1998/08/28 00:00:00,177,
B39F0579,004,1998/09/14 00:00:00,141,
B39F0579,004,1998/09/28 00:00:00,128,
B39F0579,004,1998/10/14 00:00:00,128,
B39F0579,004,1998/10/28 00:00:00,113,
B39F0579,004,1998/11/13 00:00:00,85,
B39F0579,004,1998/11/27 00:00:00,112,
B39F0579,004,1998/12/14 00:00:00,125,
B39F0579,004,1998/12/28 00:00:00,93,
B39F0579,004,1999/01/14 00:00:00,99,
B39F0579,004,1999/01/28 00:00:00,109,
B39F0579,004,1999/02/14 00:00:00,105,
B39F0579,004,1999/03/01 00:00:00,70,
B39F0579,004,1999/03/15 00:00:00,85,
B39F0579,004,1999/03/29 00:00:00,106,
B39F0579,004,1999/04/14 00:00:00,116,
B39F0579,004,1999/04/28 00:00:00,114,
B39F0579,004,1999/05/17 00:00:00,113,
B39F0579,004,1999/05/28 00:00:00,116,
B39F0579,004,1999/06/14 00:00:00,120,
B39F0579,004,1999/06/29 00:00:00,128,
B39F0579,004,1999/07/14 00:00:00,133,
B39F0579,004,1999/07/28 00:00:00,140,
B39F0579,004,1999/08/13 00:00:00,155,
B39F0579,004,1999/08/27 00:00:00,149,
B39F0579,004,1999/09/13 00:00:00,164,
B39F0579,004,1999/09/27 00:00:00,167,
B39F0579,004,1999/10/14 00:00:00,157,
B39F0579,004,1999/10/29 00:00:00,160,
B39F0579,004,1999/11/15 00:00:00,157,
B39F0579,004,1999/11/29 00:00:00,157,
B39F0579,004,1999/12/13 00:00:00,149,
B39F0579,004,1999/12/28 00:00:00,97,
B39F0579,004,2000/01/14 00:00:00,110,
B39F0579,004,2000/01/28 00:00:00,130,
B39F0579,004,2000/02/14 00:00:00,117,
B39F0579,004,2000/02/28 00:00:00,102,
B39F0579,004,2000/03/14 00:00:00,104,
B39F0579,004,2000/03/27 00:00:00,124,
B39F0579,004,2000/04/13 00:00:00,131,
B39F0579,004,2000/04/28 00:00:00,135,
B39F0579,004,2000/05/12 00:00:00,147,
B39F0579,004,2000/05/29 00:00:00,134,
B39F0579,004,2000/06/14 00:00:00,130,
B39F0579,004,2000/06/28 00:00:00,144,
B39F0579,004,2000/07/14 00:00:00,144,
B39F0579,004,2000/07/28 00:00:00,134,
B39F0579,004,2000/08/14 00:00:00,136,
B39F0579,004,2000/08/28 00:00:00,144,
B39F0579,004,2000/09/14 00:00:00,151,
B39F0579,004,2000/09/27 00:00:00,152,
B39F0579,004,2000/10/13 00:00:00,143,
B39F0579,004,2000/10/27 00:00:00,140,
B39F0579,004,2000/11/14 00:00:00,135,
B39F0579,004,2000/11/29 00:00:00,121,
B39F0579,004,2000/12/14 00:00:00,122,
B39F0579,004,2000/12/28 00:00:00,115,
B39F0579,004,2001/01/15 00:00:00,111,
B39F0579,004,2001/01/29 00:00:00,117,
B39F0579,004,2001/02/14 00:00:00,106,
B39F0579,004,2001/02/28 00:00:00,121,
B39F0579,004,2001/03/15 00:00:00,122,
B39F0579,004,2001/05/14 00:00:00,123,
B39F0579,004,2001/05/28 00:00:00,138,
B39F0579,004,2001/06/14 00:00:00,144,
B39F0579,004,2001/06/28 00:00:00,151,
B39F0579,004,2001/07/12 00:00:00,161,
B39F0579,004,2001/07/27 00:00:00,134,
B39F0579,004,2001/08/14 00:00:00,142,
B39F0579,004,2001/08/28 00:00:00,158,
B39F0579,004,2001/09/14 00:00:00,156,
B39F0579,004,2001/09/28 00:00:00,125,
B39F0579,004,2001/10/15 00:00:00,125,
B39F0579,004,2001/10/29 00:00:00,133,
B39F0579,004,2001/11/13 00:00:00,140,
B39F0579,004,2001/11/28 00:00:00,130,
B39F0579,004,2001/12/14 00:00:00,118,
B39F0579,004,2001/12/28 00:00:00,94,
B39F0579,004,2002/01/14 00:00:00,117,
B39F0579,004,2002/01/28 00:00:00,112,
B39F0579,004,2002/02/14 00:00:00,99,
B39F0579,004,2002/02/28 00:00:00,112,
B39F0579,004,2002/03/14 00:00:00,104,
B39F0579,004,2002/03/28 00:00:00,94,
B39F0579,004,2002/04/15 00:00:00,121,
B39F0579,004,2002/05/01 00:00:00,125,
B39F0579,004,2002/05/14 00:00:00,116,
B39F0579,004,2002/05/28 00:00:00,125,
B39F0579,004,2002/06/14 00:00:00,141,
B39F0579,004,2002/06/28 00:00:00,139,
B39F0579,004,2002/07/15 00:00:00,146,
B39F0579,004,2002/07/26 00:00:00,140,
B39F0579,004,2002/08/14 00:00:00,142,
B39F0579,004,2002/08/28 00:00:00,128,
B39F0579,004,2002/10/14 00:00:00,141,
B39F0579,004,2002/10/28 00:00:00,139,
B39F0579,004,2002/11/14 00:00:00,94,
B39F0579,004,2002/11/28 00:00:00,109,
B39F0579,004,2002/12/13 00:00:00,119,
B39F0579,004,2002/12/28 00:00:00,94,
B39F0579,004,2003/01/14 00:00:00,96,
B39F0579,004,2003/01/29 00:00:00,108,
B39F0579,004,2003/02/14 00:00:00,110,
B39F0579,004,2003/02/27 00:00:00,126,
B39F0579,004,2003/03/17 00:00:00,127,
B39F0579,004,2003/03/27 00:00:00,133,
B39F0579,004,2003/04/28 00:00:00,143,
B39F0579,004,2003/05/14 00:00:00,140,
B39F0579,004,2003/05/28 00:00:00,133,
B39F0579,004,2003/06/12 00:00:00,148,
B39F0579,004,2003/06/25 00:00:00,159,
B39F0579,004,2003/07/14 00:00:00,163,
B39F0579,004,2003/07/28 00:00:00,175,
B39F0579,004,2003/08/14 00:00:00,198,
B39F0579,004,2003/08/28 00:00:00,192,
B39F0579,004,2003/09/16 00:00:00,181,
B39F0579,004,2003/09/26 00:00:00,175,
B39F0579,004,2003/10/13 00:00:00,174,
B39F0579,004,2003/10/27 00:00:00,172,
B39F0579,004,2003/11/26 00:00:00,164,
B39F0579,004,2003/12/15 00:00:00,162,
B39F0579,004,2003/12/29 00:00:00,135,
B39F0579,004,2004/01/16 00:00:00,124,
B39F0579,004,2004/03/15 00:00:00,144,
B39F0579,004,2004/04/15 00:00:00,,N
B39F0579,004,2004/04/19 00:00:00,131,
B39F0579,004,2004/07/12 00:00:00,146,
B39F0579,004,2004/11/01 11:10:00,150,
B39F0579,004,2005/01/05 13:15:00,125,
B39F0579,004,2005/04/13 12:55:00,130,
B39F0579,004,2005/08/17 09:30:00,142,
B39F0579,004,2005/11/04 10:05:00,157,
B39F0579,004,2006/01/06 10:15:00,140,
