Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0582,001,39FB0009,170430,438640,728,,711,,-622,1952/11/28,1965/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0582,001,1952/11/28 00:00:00,121,
B39F0582,001,1952/12/15 00:00:00,87,
B39F0582,001,1952/12/29 00:00:00,,O
B39F0582,001,1953/01/14 00:00:00,127,
B39F0582,001,1953/01/28 00:00:00,168,
B39F0582,001,1953/02/14 00:00:00,125,
B39F0582,001,1953/02/28 00:00:00,126,
B39F0582,001,1953/03/14 00:00:00,158,
B39F0582,001,1953/03/28 00:00:00,191,
B39F0582,001,1953/04/14 00:00:00,184,
B39F0582,001,1953/04/28 00:00:00,196,
B39F0582,001,1953/05/15 00:00:00,219,
B39F0582,001,1953/05/28 00:00:00,235,
B39F0582,001,1953/06/15 00:00:00,207,
B39F0582,001,1953/06/29 00:00:00,169,
B39F0582,001,1953/07/14 00:00:00,122,
B39F0582,001,1953/07/28 00:00:00,156,
B39F0582,001,1953/08/14 00:00:00,197,
B39F0582,001,1953/08/28 00:00:00,226,
B39F0582,001,1953/09/14 00:00:00,274,
B39F0582,001,1953/09/28 00:00:00,281,
B39F0582,001,1953/10/14 00:00:00,287,
B39F0582,001,1953/10/28 00:00:00,302,
B39F0582,001,1953/11/14 00:00:00,307,
B39F0582,001,1953/11/28 00:00:00,315,
B39F0582,001,1953/12/14 00:00:00,327,
B39F0582,001,1953/12/28 00:00:00,330,
B39F0582,001,1954/01/14 00:00:00,306,
B39F0582,001,1954/01/28 00:00:00,218,
B39F0582,001,1954/02/15 00:00:00,209,
B39F0582,001,1954/03/01 00:00:00,248,
B39F0582,001,1954/03/15 00:00:00,221,
B39F0582,001,1954/03/29 00:00:00,264,
B39F0582,001,1954/04/14 00:00:00,208,
B39F0582,001,1954/04/28 00:00:00,240,
B39F0582,001,1954/05/14 00:00:00,237,
B39F0582,001,1954/05/28 00:00:00,241,
B39F0582,001,1954/06/14 00:00:00,221,
B39F0582,001,1954/06/28 00:00:00,227,
B39F0582,001,1954/07/28 00:00:00,167,
B39F0582,001,1954/08/14 00:00:00,205,
B39F0582,001,1954/08/28 00:00:00,152,
B39F0582,001,1954/09/14 00:00:00,174,
B39F0582,001,1954/09/28 00:00:00,166,
B39F0582,001,1954/10/14 00:00:00,112,
B39F0582,001,1954/10/28 00:00:00,144,
B39F0582,001,1954/11/15 00:00:00,159,
B39F0582,001,1954/11/29 00:00:00,196,
B39F0582,001,1954/12/14 00:00:00,122,
B39F0582,001,1954/12/28 00:00:00,64,
B39F0582,001,1955/01/14 00:00:00,116,
B39F0582,001,1955/01/28 00:00:00,46,
B39F0582,001,1955/02/28 00:00:00,135,
B39F0582,001,1955/03/14 00:00:00,180,
B39F0582,001,1955/03/28 00:00:00,82,
B39F0582,001,1955/04/18 00:00:00,145,
B39F0582,001,1955/04/28 00:00:00,157,
B39F0582,001,1955/05/14 00:00:00,192,
