Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0583,001,39FB0012,176160,437910,760,,747,-340,-940,1955/12/28,1980/01/01
B39F0583,001,39FB0012,176160,437910,760,,,-340,-940,1980/01/01,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0583,001,1955/12/28 00:00:00,42,
B39F0583,001,1956/03/14 00:00:00,124,
B39F0583,001,1956/03/28 00:00:00,85,
B39F0583,001,1956/04/14 00:00:00,214,
B39F0583,001,1956/05/14 00:00:00,123,
B39F0583,001,1956/05/28 00:00:00,128,
B39F0583,001,1956/06/14 00:00:00,117,
B39F0583,001,1956/06/28 00:00:00,21,
B39F0583,001,1956/07/14 00:00:00,24,
B39F0583,001,1956/07/28 00:00:00,104,
B39F0583,001,1956/08/14 00:00:00,90,
B39F0583,001,1956/08/28 00:00:00,97,
B39F0583,001,1956/09/14 00:00:00,75,
B39F0583,001,1956/09/28 00:00:00,70,
B39F0583,001,1956/10/15 00:00:00,102,
B39F0583,001,1956/10/28 00:00:00,99,
B39F0583,001,1956/11/14 00:00:00,112,
B39F0583,001,1956/11/28 00:00:00,105,
B39F0583,001,1956/12/14 00:00:00,104,
B39F0583,001,1956/12/28 00:00:00,114,
B39F0583,001,1957/01/28 00:00:00,96,
B39F0583,001,1957/02/14 00:00:00,56,
B39F0583,001,1957/02/28 00:00:00,76,
B39F0583,001,1957/03/14 00:00:00,54,
B39F0583,001,1957/03/28 00:00:00,115,
B39F0583,001,1957/04/28 00:00:00,121,
B39F0583,001,1957/05/14 00:00:00,127,
B39F0583,001,1957/05/28 00:00:00,132,
B39F0583,001,1957/06/14 00:00:00,142,
B39F0583,001,1957/06/28 00:00:00,147,
B39F0583,001,1957/07/15 00:00:00,144,
B39F0583,001,1957/07/29 00:00:00,151,
B39F0583,001,1957/08/14 00:00:00,137,
B39F0583,001,1957/08/28 00:00:00,135,
B39F0583,001,1957/09/16 00:00:00,101,
B39F0583,001,1957/09/28 00:00:00,61,
B39F0583,001,1957/10/14 00:00:00,122,
B39F0583,001,1957/10/28 00:00:00,142,
B39F0583,001,1957/11/14 00:00:00,114,
B39F0583,001,1957/11/28 00:00:00,147,
B39F0583,001,1957/12/16 00:00:00,132,
B39F0583,001,1957/12/31 00:00:00,132,
B39F0583,001,1958/01/14 00:00:00,87,
B39F0583,001,1958/01/28 00:00:00,103,
B39F0583,001,1958/02/14 00:00:00,89,
B39F0583,001,1958/02/28 00:00:00,97,
B39F0583,001,1958/03/14 00:00:00,96,
B39F0583,001,1958/03/28 00:00:00,132,
