Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0774,001,39FL0010,177280,438600,674,,659,,,1952/11/28,1960/07/28
B39F0774,001,39FL0010,177280,438600,674,,663,,,1960/07/28,1972/01/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0774,001,1952/11/28 00:00:00,58,
B39F0774,001,1952/12/17 00:00:00,15,
B39F0774,001,1952/12/29 00:00:00,,O
B39F0774,001,1953/01/29 00:00:00,87,
B39F0774,001,1953/02/14 00:00:00,15,
B39F0774,001,1953/02/28 00:00:00,81,
B39F0774,001,1953/03/14 00:00:00,109,
B39F0774,001,1953/03/28 00:00:00,123,
B39F0774,001,1953/04/14 00:00:00,105,
B39F0774,001,1953/04/28 00:00:00,111,
B39F0774,001,1953/05/15 00:00:00,103,
B39F0774,001,1953/05/28 00:00:00,93,
B39F0774,001,1953/06/15 00:00:00,97,
B39F0774,001,1953/06/29 00:00:00,76,
B39F0774,001,1953/07/14 00:00:00,65,
B39F0774,001,1953/07/28 00:00:00,85,
B39F0774,001,1953/08/14 00:00:00,102,
B39F0774,001,1953/08/28 00:00:00,90,
B39F0774,001,1953/09/14 00:00:00,113,
B39F0774,001,1953/09/28 00:00:00,109,
B39F0774,001,1953/10/14 00:00:00,102,
B39F0774,001,1953/10/28 00:00:00,97,
B39F0774,001,1953/11/13 00:00:00,150,
B39F0774,001,1953/11/27 00:00:00,155,
B39F0774,001,1953/12/15 00:00:00,190,
B39F0774,001,1953/12/28 00:00:00,177,
B39F0774,001,1954/01/14 00:00:00,155,
B39F0774,001,1954/02/15 00:00:00,140,
B39F0774,001,1954/03/01 00:00:00,125,
B39F0774,001,1954/03/15 00:00:00,117,
B39F0774,001,1954/03/29 00:00:00,180,
B39F0774,001,1954/04/14 00:00:00,63,
B39F0774,001,1954/04/27 00:00:00,63,
B39F0774,001,1954/05/15 00:00:00,83,
B39F0774,001,1954/05/28 00:00:00,52,
B39F0774,001,1954/06/14 00:00:00,70,
B39F0774,001,1954/06/28 00:00:00,53,
B39F0774,001,1954/07/14 00:00:00,65,
B39F0774,001,1954/07/16 00:00:00,79,
B39F0774,001,1954/07/28 00:00:00,55,
B39F0774,001,1954/08/14 00:00:00,63,
B39F0774,001,1954/08/27 00:00:00,50,
B39F0774,001,1954/09/14 00:00:00,59,
B39F0774,001,1954/09/28 00:00:00,55,
B39F0774,001,1954/10/14 00:00:00,45,
B39F0774,001,1954/10/28 00:00:00,90,
B39F0774,001,1954/11/13 00:00:00,50,
B39F0774,001,1954/11/27 00:00:00,50,
B39F0774,001,1954/12/10 00:00:00,155,
B39F0774,001,1954/12/28 00:00:00,125,
B39F0774,001,1955/03/14 00:00:00,87,
B39F0774,001,1955/03/28 00:00:00,83,
B39F0774,001,1955/04/14 00:00:00,84,
B39F0774,001,1955/04/27 00:00:00,205,
B39F0774,001,1955/05/14 00:00:00,190,
B39F0774,001,1955/05/28 00:00:00,180,
B39F0774,001,1955/06/15 00:00:00,65,
B39F0774,001,1955/06/28 00:00:00,100,
B39F0774,001,1955/07/14 00:00:00,94,
B39F0774,001,1955/07/28 00:00:00,93,
