Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0776,001,39FL0010,177300,438520,688,,683,533,483,1972/04/14,1975/05/14
B39F0776,001,39FL0010,177300,438520,694,,682,532,482,1975/05/14,1979/06/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0776,001,1972/04/28 00:00:00,65,
B39F0776,001,1972/05/15 00:00:00,35,
B39F0776,001,1972/05/29 00:00:00,42,
B39F0776,001,1972/06/14 00:00:00,68,
B39F0776,001,1972/06/28 00:00:00,67,
B39F0776,001,1972/07/14 00:00:00,63,
B39F0776,001,1972/07/28 00:00:00,23,
B39F0776,001,1972/08/14 00:00:00,67,
B39F0776,001,1972/08/28 00:00:00,76,
B39F0776,001,1972/09/14 00:00:00,79,
B39F0776,001,1972/09/28 00:00:00,84,
B39F0776,001,1972/10/14 00:00:00,100,
B39F0776,001,1972/10/27 00:00:00,97,
B39F0776,001,1972/11/14 00:00:00,82,
B39F0776,001,1972/11/28 00:00:00,70,
B39F0776,001,1972/12/14 00:00:00,74,
B39F0776,001,1972/12/28 00:00:00,100,
B39F0776,001,1973/01/15 00:00:00,152,
B39F0776,001,1973/01/29 00:00:00,134,
B39F0776,001,1973/02/14 00:00:00,18,
B39F0776,001,1973/02/28 00:00:00,41,
B39F0776,001,1973/03/14 00:00:00,77,
B39F0776,001,1973/03/28 00:00:00,113,
B39F0776,001,1973/04/13 00:00:00,63,
B39F0776,001,1973/04/27 00:00:00,53,
B39F0776,001,1973/05/14 00:00:00,70,
B39F0776,001,1973/05/28 00:00:00,77,
B39F0776,001,1973/06/14 00:00:00,87,
B39F0776,001,1973/06/28 00:00:00,83,
B39F0776,001,1973/07/13 00:00:00,117,
B39F0776,001,1973/07/27 00:00:00,117,
B39F0776,001,1973/08/14 00:00:00,112,
B39F0776,001,1973/08/28 00:00:00,117,
B39F0776,001,1973/09/14 00:00:00,118,
B39F0776,001,1973/09/28 00:00:00,109,
B39F0776,001,1973/10/15 00:00:00,105,
B39F0776,001,1973/10/29 00:00:00,78,
B39F0776,001,1973/11/14 00:00:00,5,
B39F0776,001,1973/11/28 00:00:00,50,
B39F0776,001,1973/12/14 00:00:00,5,
B39F0776,001,1973/12/28 00:00:00,90,
B39F0776,001,1974/01/14 00:00:00,48,
B39F0776,001,1974/01/28 00:00:00,84,
B39F0776,001,1974/02/14 00:00:00,58,
B39F0776,001,1974/02/28 00:00:00,110,
B39F0776,001,1974/03/14 00:00:00,78,
B39F0776,001,1974/03/28 00:00:00,92,
B39F0776,001,1974/04/16 00:00:00,102,
B39F0776,001,1974/04/29 00:00:00,92,
B39F0776,001,1974/05/14 00:00:00,95,
B39F0776,001,1974/05/28 00:00:00,89,
B39F0776,001,1974/06/14 00:00:00,81,
B39F0776,001,1974/06/28 00:00:00,89,
B39F0776,001,1974/07/15 00:00:00,89,
B39F0776,001,1974/07/29 00:00:00,90,
B39F0776,001,1974/08/14 00:00:00,91,
B39F0776,001,1974/08/28 00:00:00,96,
B39F0776,001,1974/09/13 00:00:00,103,
B39F0776,001,1974/09/30 00:00:00,43,
B39F0776,001,1974/10/14 00:00:00,75,
B39F0776,001,1974/10/28 00:00:00,5,
B39F0776,001,1974/11/15 00:00:00,15,
B39F0776,001,1974/12/02 00:00:00,23,
B39F0776,001,1974/12/13 00:00:00,15,
B39F0776,001,1974/12/27 00:00:00,5,
B39F0776,001,1975/01/14 00:00:00,38,
B39F0776,001,1975/01/28 00:00:00,5,
B39F0776,001,1975/02/14 00:00:00,42,
B39F0776,001,1975/02/28 00:00:00,77,
B39F0776,001,1975/03/14 00:00:00,73,
B39F0776,001,1975/03/27 00:00:00,73,
B39F0776,001,1975/04/14 00:00:00,46,
B39F0776,001,1975/04/28 00:00:00,67,
B39F0776,001,1975/05/14 00:00:00,78,
B39F0776,001,1975/05/28 00:00:00,82,
B39F0776,001,1975/06/13 00:00:00,84,
B39F0776,001,1975/06/27 00:00:00,54,
B39F0776,001,1975/07/14 00:00:00,86,
B39F0776,001,1975/07/28 00:00:00,72,
B39F0776,001,1975/08/14 00:00:00,97,
B39F0776,001,1975/09/03 00:00:00,99,
B39F0776,001,1975/09/15 00:00:00,75,
B39F0776,001,1975/09/27 00:00:00,74,
B39F0776,001,1975/10/14 00:00:00,103,
B39F0776,001,1975/10/28 00:00:00,109,
B39F0776,001,1975/11/14 00:00:00,109,
B39F0776,001,1975/11/28 00:00:00,12,
B39F0776,001,1975/12/15 00:00:00,118,
B39F0776,001,1975/12/29 00:00:00,132,
B39F0776,001,1976/01/14 00:00:00,26,
B39F0776,001,1976/01/28 00:00:00,75,
B39F0776,001,1976/02/13 00:00:00,12,
B39F0776,001,1976/02/27 00:00:00,119,
B39F0776,001,1976/03/15 00:00:00,141,
B39F0776,001,1976/03/29 00:00:00,128,
B39F0776,001,1976/04/14 00:00:00,119,
B39F0776,001,1976/04/28 00:00:00,111,
B39F0776,001,1976/05/14 00:00:00,107,
B39F0776,001,1976/05/26 00:00:00,110,
B39F0776,001,1976/06/14 00:00:00,117,
B39F0776,001,1976/06/28 00:00:00,121,
B39F0776,001,1976/07/14 00:00:00,135,
B39F0776,001,1976/07/28 00:00:00,138,
B39F0776,001,1976/08/13 00:00:00,143,
B39F0776,001,1976/08/27 00:00:00,,D
B39F0776,001,1976/09/14 00:00:00,147,
B39F0776,001,1976/09/28 00:00:00,140,
B39F0776,001,1976/10/14 00:00:00,129,
B39F0776,001,1976/10/28 00:00:00,125,
B39F0776,001,1976/11/15 00:00:00,111,
B39F0776,001,1976/11/29 00:00:00,118,
B39F0776,001,1976/12/14 00:00:00,105,
B39F0776,001,1976/12/27 00:00:00,121,
B39F0776,001,1977/01/14 00:00:00,103,
B39F0776,001,1977/01/28 00:00:00,73,
B39F0776,001,1977/02/14 00:00:00,93,
B39F0776,001,1977/03/14 00:00:00,117,
B39F0776,001,1977/03/28 00:00:00,86,
B39F0776,001,1977/04/14 00:00:00,94,
B39F0776,001,1977/07/14 00:00:00,96,
B39F0776,001,1977/07/28 00:00:00,77,
B39F0776,001,1977/08/15 00:00:00,82,
B39F0776,001,1977/08/29 00:00:00,42,
B39F0776,001,1977/09/14 00:00:00,96,
B39F0776,001,1977/09/28 00:00:00,106,
B39F0776,001,1977/10/14 00:00:00,115,
B39F0776,001,1977/10/28 00:00:00,111,
B39F0776,001,1977/11/28 00:00:00,55,
B39F0776,001,1978/01/12 00:00:00,28,
B39F0776,001,1978/01/27 00:00:00,70,
B39F0776,001,1978/02/14 00:00:00,88,
B39F0776,001,1978/02/28 00:00:00,82,
B39F0776,001,1978/03/14 00:00:00,92,
B39F0776,001,1978/03/28 00:00:00,42,
B39F0776,001,1978/04/14 00:00:00,106,
B39F0776,001,1978/04/28 00:00:00,99,
B39F0776,001,1978/05/16 00:00:00,84,
B39F0776,001,1978/05/29 00:00:00,99,
B39F0776,001,1978/06/14 00:00:00,98,
B39F0776,001,1978/06/28 00:00:00,89,
B39F0776,001,1978/07/14 00:00:00,104,
B39F0776,001,1978/07/28 00:00:00,91,
B39F0776,001,1978/08/14 00:00:00,100,
B39F0776,001,1978/08/28 00:00:00,105,
B39F0776,001,1978/09/14 00:00:00,109,
B39F0776,001,1978/09/28 00:00:00,110,
B39F0776,001,1978/10/13 00:00:00,105,
B39F0776,001,1978/10/27 00:00:00,107,
B39F0776,001,1978/11/14 00:00:00,97,
B39F0776,001,1978/11/28 00:00:00,103,
B39F0776,001,1978/12/14 00:00:00,68,
B39F0776,001,1978/12/28 00:00:00,22,
