Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0779,001,39FL0011,177660,438140,754,,763,613,563,1961/04/14,1966/04/14
B39F0779,001,39FL0011,177660,438140,754,,,,,1966/04/14,1966/10/28
B39F0779,001,39FL0011,177660,438140,754,,,,,1966/10/28,1971/10/14
B39F0779,001,39FL0011,177660,438140,755,,761,611,561,1971/10/14,1975/09/04
B39F0779,001,39FL0011,177660,438140,755,,759,609,559,1975/09/04,1996/11/14
B39F0779,001,39FL0011,177660,438140,755,,762,609,559,1996/11/14,2000/03/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0779,001,1961/04/14 00:00:00,143,
B39F0779,001,1961/04/28 00:00:00,98,
B39F0779,001,1961/05/15 00:00:00,134,
B39F0779,001,1961/05/29 00:00:00,139,
B39F0779,001,1961/06/15 00:00:00,136,
B39F0779,001,1961/06/28 00:00:00,141,
B39F0779,001,1961/07/14 00:00:00,141,
B39F0779,001,1961/07/28 00:00:00,141,
B39F0779,001,1961/08/15 00:00:00,152,
B39F0779,001,1961/08/30 00:00:00,140,
B39F0779,001,1961/09/14 00:00:00,131,
B39F0779,001,1961/09/28 00:00:00,145,
B39F0779,001,1961/10/14 00:00:00,134,
B39F0779,001,1961/10/29 00:00:00,131,
B39F0779,001,1961/11/14 00:00:00,130,
B39F0779,001,1961/11/28 00:00:00,138,
B39F0779,001,1961/12/14 00:00:00,94,
B39F0779,001,1961/12/29 00:00:00,146,
B39F0779,001,1962/01/15 00:00:00,117,
B39F0779,001,1962/02/03 00:00:00,137,
B39F0779,001,1962/02/14 00:00:00,113,
B39F0779,001,1966/04/14 00:00:00,110,
B39F0779,001,1966/04/28 00:00:00,87,
B39F0779,001,1966/10/28 00:00:00,121,
B39F0779,001,1966/11/28 00:00:00,91,
B39F0779,001,1966/12/30 00:00:00,73,
B39F0779,001,1967/01/14 00:00:00,78,
B39F0779,001,1967/01/27 00:00:00,77,
B39F0779,001,1967/02/14 00:00:00,93,
B39F0779,001,1967/02/28 00:00:00,73,
B39F0779,001,1967/03/14 00:00:00,68,
B39F0779,001,1967/03/28 00:00:00,70,
B39F0779,001,1967/04/14 00:00:00,79,
B39F0779,001,1967/04/28 00:00:00,79,
