Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0780,001,39FL0014,176940,437510,,,,,,1967/04/28,1974/02/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0780,001,1967/04/28 00:00:00,143,
B39F0780,001,1967/05/14 00:00:00,147,
B39F0780,001,1967/05/28 00:00:00,152,
B39F0780,001,1967/06/14 00:00:00,148,
B39F0780,001,1967/06/28 00:00:00,165,
B39F0780,001,1967/07/14 00:00:00,147,
B39F0780,001,1967/07/28 00:00:00,173,
B39F0780,001,1967/08/14 00:00:00,165,
B39F0780,001,1967/08/28 00:00:00,168,
B39F0780,001,1967/09/14 00:00:00,182,
B39F0780,001,1967/09/28 00:00:00,183,
B39F0780,001,1967/10/14 00:00:00,165,
B39F0780,001,1967/10/28 00:00:00,159,
B39F0780,001,1967/11/14 00:00:00,144,
B39F0780,001,1967/11/28 00:00:00,95,
B39F0780,001,1967/12/14 00:00:00,80,
B39F0780,001,1967/12/28 00:00:00,22,
B39F0780,001,1968/01/15 00:00:00,12,
B39F0780,001,1968/01/29 00:00:00,45,
B39F0780,001,1968/02/14 00:00:00,67,
B39F0780,001,1968/02/28 00:00:00,97,
B39F0780,001,1968/03/14 00:00:00,87,
B39F0780,001,1968/03/28 00:00:00,105,
B39F0780,001,1968/04/15 00:00:00,173,
B39F0780,001,1968/04/29 00:00:00,113,
B39F0780,001,1968/05/14 00:00:00,89,
B39F0780,001,1968/05/28 00:00:00,92,
B39F0780,001,1968/06/14 00:00:00,112,
B39F0780,001,1968/06/28 00:00:00,52,
B39F0780,001,1968/07/15 00:00:00,92,
B39F0780,001,1968/07/29 00:00:00,108,
B39F0780,001,1968/08/14 00:00:00,83,
B39F0780,001,1968/08/29 00:00:00,99,
B39F0780,001,1968/09/15 00:00:00,75,
