Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0821,002,39FP7608,170420,439675,735,,766,440,400,1989/07/05,2008/08/31

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39F0821,002,1989/07/14 00:00:00,143,
B39F0821,002,1989/07/28 00:00:00,150,
B39F0821,002,1989/08/10 00:00:00,150,
B39F0821,002,1989/08/14 00:00:00,147,
B39F0821,002,1989/08/28 00:00:00,153,
B39F0821,002,1989/09/14 00:00:00,148,
B39F0821,002,1989/09/28 00:00:00,148,
B39F0821,002,1989/10/13 00:00:00,161,
B39F0821,002,1989/10/26 00:00:00,165,
B39F0821,002,1989/11/14 00:00:00,164,
B39F0821,002,1989/11/28 00:00:00,169,
B39F0821,002,1989/12/14 00:00:00,167,
B39F0821,002,1990/01/08 00:00:00,128,
B39F0821,002,1990/01/15 00:00:00,130,
B39F0821,002,1990/01/29 00:00:00,116,
B39F0821,002,1990/02/14 00:00:00,111,
B39F0821,002,1990/03/01 00:00:00,34,
B39F0821,002,1990/03/05 00:00:00,-4,
B39F0821,002,1990/03/06 00:00:00,-5,
B39F0821,002,1990/03/07 00:00:00,-1,
B39F0821,002,1990/03/08 00:00:00,7,
B39F0821,002,1990/03/09 00:00:00,17,
B39F0821,002,1990/03/12 00:00:00,60,
B39F0821,002,1990/03/13 00:00:00,67,
B39F0821,002,1990/03/15 00:00:00,81,
B39F0821,002,1990/03/16 00:00:00,86,
B39F0821,002,1990/03/19 00:00:00,96,
B39F0821,002,1990/03/28 00:00:00,115,
B39F0821,002,1990/04/12 00:00:00,129,
B39F0821,002,1990/04/25 00:00:00,130,
B39F0821,002,1990/04/27 00:00:00,136,
B39F0821,002,1990/05/14 00:00:00,136,
B39F0821,002,1990/05/28 00:00:00,142,
B39F0821,002,1990/06/14 00:00:00,137,
B39F0821,002,1990/06/28 00:00:00,127,
B39F0821,002,1990/07/13 00:00:00,120,
B39F0821,002,1990/07/27 00:00:00,138,
B39F0821,002,1990/08/14 00:00:00,147,
B39F0821,002,1990/08/28 00:00:00,147,
B39F0821,002,1990/09/14 00:00:00,146,
B39F0821,002,1990/09/27 00:00:00,146,
B39F0821,002,1990/10/15 00:00:00,144,
B39F0821,002,1990/10/29 00:00:00,143,
B39F0821,002,1990/11/14 00:00:00,131,
B39F0821,002,1990/11/23 00:00:00,97,
B39F0821,002,1990/11/26 00:00:00,90,
B39F0821,002,1990/11/27 00:00:00,96,
B39F0821,002,1990/11/28 00:00:00,100,
B39F0821,002,1990/12/14 00:00:00,110,
B39F0821,002,1990/12/20 00:00:00,119,
B39F0821,002,1991/01/02 00:00:00,72,
B39F0821,002,1991/01/03 00:00:00,47,
B39F0821,002,1991/01/04 00:00:00,30,
B39F0821,002,1991/01/05 00:00:00,23,
B39F0821,002,1991/01/07 00:00:00,1,
B39F0821,002,1991/01/08 00:00:00,-7,
B39F0821,002,1991/01/09 00:00:00,-9,
B39F0821,002,1991/01/10 00:00:00,-10,
B39F0821,002,1991/01/11 00:00:00,-5,
B39F0821,002,1991/01/14 00:00:00,0,
B39F0821,002,1991/01/15 00:00:00,1,
B39F0821,002,1991/01/16 00:00:00,1,
B39F0821,002,1991/01/17 00:00:00,16,
B39F0821,002,1991/01/18 00:00:00,26,
B39F0821,002,1991/01/21 00:00:00,43,
B39F0821,002,1991/01/22 00:00:00,49,
B39F0821,002,1991/01/23 00:00:00,57,
B39F0821,002,1991/01/24 00:00:00,66,
B39F0821,002,1991/01/25 00:00:00,73,
B39F0821,002,1991/01/28 00:00:00,87,
B39F0821,002,1991/02/14 00:00:00,199,
B39F0821,002,1991/02/28 00:00:00,130,
B39F0821,002,1991/03/14 00:00:00,131,
B39F0821,002,1991/03/28 00:00:00,126,
B39F0821,002,1991/04/15 00:00:00,140,
B39F0821,002,1991/04/29 00:00:00,142,
B39F0821,002,1991/05/14 00:00:00,144,
B39F0821,002,1991/05/28 00:00:00,143,
B39F0821,002,1991/06/14 00:00:00,144,
B39F0821,002,1991/06/28 00:00:00,123,
B39F0821,002,1991/07/15 00:00:00,135,
B39F0821,002,1991/07/29 00:00:00,142,
B39F0821,002,1991/08/14 00:00:00,154,
B39F0821,002,1991/08/28 00:00:00,171,
B39F0821,002,1991/09/13 00:00:00,182,
B39F0821,002,1991/09/30 00:00:00,181,
B39F0821,002,1991/10/14 00:00:00,183,
B39F0821,002,1991/10/28 00:00:00,164,
B39F0821,002,1991/11/14 00:00:00,136,
B39F0821,002,1991/11/28 00:00:00,131,
B39F0821,002,1991/12/13 00:00:00,139,
B39F0821,002,1991/12/27 00:00:00,65,
B39F0821,002,1992/01/14 00:00:00,103,
B39F0821,002,1992/01/28 00:00:00,124,
B39F0821,002,1992/02/14 00:00:00,123,
B39F0821,002,1992/02/27 00:00:00,123,
B39F0821,002,1992/03/16 00:00:00,111,
B39F0821,002,1992/03/26 00:00:00,95,
B39F0821,002,1992/04/14 00:00:00,102,
B39F0821,002,1992/04/28 00:00:00,110,
B39F0821,002,1992/05/14 00:00:00,111,
B39F0821,002,1992/05/27 00:00:00,124,
B39F0821,002,1992/06/15 00:00:00,119,
B39F0821,002,1992/06/29 00:00:00,130,
B39F0821,002,1992/07/14 00:00:00,135,
B39F0821,002,1992/07/28 00:00:00,141,
B39F0821,002,1992/08/14 00:00:00,141,
B39F0821,002,1992/08/27 00:00:00,141,
B39F0821,002,1992/09/14 00:00:00,134,
B39F0821,002,1992/09/28 00:00:00,140,
B39F0821,002,1992/10/14 00:00:00,145,
B39F0821,002,1992/10/28 00:00:00,140,
B39F0821,002,1992/11/13 00:00:00,132,
B39F0821,002,1992/11/30 00:00:00,20,
B39F0821,002,1992/12/14 00:00:00,30,
B39F0821,002,1992/12/23 00:00:00,74,
B39F0821,002,1993/01/14 00:00:00,83,
B39F0821,002,1993/01/28 00:00:00,68,
B39F0821,002,1993/02/15 00:00:00,117,
B39F0821,002,1993/02/26 00:00:00,120,
B39F0821,002,1993/03/15 00:00:00,138,
B39F0821,002,1993/03/29 00:00:00,145,
B39F0821,002,1993/04/14 00:00:00,142,
B39F0821,002,1993/04/28 00:00:00,142,
B39F0821,002,1993/05/14 00:00:00,143,
B39F0821,002,1993/05/28 00:00:00,146,
B39F0821,002,1993/06/14 00:00:00,146,
B39F0821,002,1993/06/28 00:00:00,141,
B39F0821,002,1993/07/14 00:00:00,144,
B39F0821,002,1993/07/28 00:00:00,120,
B39F0821,002,1993/08/16 00:00:00,137,
B39F0821,002,1993/08/27 00:00:00,141,
B39F0821,002,1993/09/14 00:00:00,140,
B39F0821,002,1993/09/28 00:00:00,123,
B39F0821,002,1993/10/15 00:00:00,85,
B39F0821,002,1993/10/29 00:00:00,102,
B39F0821,002,1993/11/15 00:00:00,108,
B39F0821,002,1993/11/29 00:00:00,132,
B39F0821,002,1993/12/14 00:00:00,98,
B39F0821,002,1994/01/03 00:00:00,,O
B39F0821,002,1994/01/14 00:00:00,,O
B39F0821,002,1994/01/28 00:00:00,47,
B39F0821,002,1994/02/14 00:00:00,64,
B39F0821,002,1994/02/28 00:00:00,93,
B39F0821,002,1994/03/14 00:00:00,93,
B39F0821,002,1994/03/28 00:00:00,53,
B39F0821,002,1994/04/14 00:00:00,74,
B39F0821,002,1994/04/28 00:00:00,68,
B39F0821,002,1994/05/13 00:00:00,99,
B39F0821,002,1994/05/27 00:00:00,97,
B39F0821,002,1994/06/14 00:00:00,92,
B39F0821,002,1994/06/28 00:00:00,117,
B39F0821,002,1994/07/14 00:00:00,129,
B39F0821,002,1994/08/16 00:00:00,143,
B39F0821,002,1994/08/29 00:00:00,142,
B39F0821,002,1994/09/15 00:00:00,131,
B39F0821,002,1994/09/28 00:00:00,125,
B39F0821,002,1994/10/14 00:00:00,134,
B39F0821,002,1994/10/28 00:00:00,138,
B39F0821,002,1994/11/14 00:00:00,127,
B39F0821,002,1994/11/28 00:00:00,127,
B39F0821,002,1994/12/14 00:00:00,112,
B39F0821,002,1995/01/02 00:00:00,54,
B39F0821,002,1995/01/13 00:00:00,80,
B39F0821,002,1995/01/26 00:00:00,,O
B39F0821,002,1995/02/14 00:00:00,18,
B39F0821,002,1995/02/27 00:00:00,-2,
B39F0821,002,1995/03/14 00:00:00,71,
B39F0821,002,1995/03/28 00:00:00,6,
B39F0821,002,1995/04/18 00:00:00,88,
B39F0821,002,1995/04/28 00:00:00,96,
B39F0821,002,1995/05/15 00:00:00,106,
B39F0821,002,1995/05/29 00:00:00,97,
B39F0821,002,1995/06/15 00:00:00,85,
B39F0821,002,1995/06/28 00:00:00,102,
B39F0821,002,1995/07/14 00:00:00,115,
B39F0821,002,1995/07/27 00:00:00,118,
B39F0821,002,1995/08/14 00:00:00,138,
B39F0821,002,1995/08/28 00:00:00,141,
B39F0821,002,1995/09/19 00:00:00,130,
B39F0821,002,1995/09/28 00:00:00,,D
B39F0821,002,1995/10/13 00:00:00,,D
B39F0821,002,1995/10/31 00:00:00,,D
B39F0821,002,1995/11/14 00:00:00,,D
B39F0821,002,1995/11/28 00:00:00,,D
B39F0821,002,1995/12/14 00:00:00,143,
B39F0821,002,1996/01/02 00:00:00,113,
B39F0821,002,1996/01/15 00:00:00,125,
B39F0821,002,1996/01/29 00:00:00,135,
B39F0821,002,1996/02/19 00:00:00,128,
B39F0821,002,1996/02/28 00:00:00,123,
B39F0821,002,1996/03/14 00:00:00,132,
B39F0821,002,1996/03/28 00:00:00,134,
B39F0821,002,1996/04/15 00:00:00,139,
B39F0821,002,1996/05/01 00:00:00,142,
B39F0821,002,1996/05/14 00:00:00,144,
B39F0821,002,1996/05/30 00:00:00,134,
B39F0821,002,1996/06/14 00:00:00,137,
B39F0821,002,1996/07/01 00:00:00,145,
B39F0821,002,1996/07/15 00:00:00,123,
B39F0821,002,1996/07/29 00:00:00,149,
B39F0821,002,1996/08/14 00:00:00,146,
B39F0821,002,1996/08/28 00:00:00,149,
B39F0821,002,1996/09/13 00:00:00,145,
B39F0821,002,1996/09/30 00:00:00,145,
B39F0821,002,1996/10/16 00:00:00,143,
B39F0821,002,1996/10/28 00:00:00,134,
B39F0821,002,1996/11/16 00:00:00,,N
B39F0821,002,1996/11/28 00:00:00,101,
B39F0821,002,1996/12/13 00:00:00,98,
B39F0821,002,1997/01/02 00:00:00,112,
B39F0821,002,1997/01/14 00:00:00,203,
B39F0821,002,1997/01/28 00:00:00,138,
B39F0821,002,1997/02/14 00:00:00,119,
B39F0821,002,1997/03/03 00:00:00,,O
B39F0821,002,1997/03/14 00:00:00,63,
B39F0821,002,1997/03/26 00:00:00,95,
B39F0821,002,1997/04/16 00:00:00,124,
B39F0821,002,1997/04/28 00:00:00,129,
B39F0821,002,1997/05/14 00:00:00,125,
B39F0821,002,1997/05/28 00:00:00,131,
B39F0821,002,1997/06/13 00:00:00,139,
B39F0821,002,1997/06/26 00:00:00,129,
B39F0821,002,1997/07/16 00:00:00,123,
B39F0821,002,1997/07/28 00:00:00,120,
B39F0821,002,1997/08/14 00:00:00,133,
B39F0821,002,1997/09/01 00:00:00,142,
B39F0821,002,1997/09/16 00:00:00,144,
B39F0821,002,1997/09/29 00:00:00,145,
B39F0821,002,1997/10/14 00:00:00,140,
B39F0821,002,1997/10/28 00:00:00,143,
B39F0821,002,1997/11/14 00:00:00,142,
B39F0821,002,1997/11/28 00:00:00,144,
B39F0821,002,1997/12/16 00:00:00,123,
B39F0821,002,1998/01/05 00:00:00,99,
B39F0821,002,1998/01/14 00:00:00,105,
B39F0821,002,1998/02/02 00:00:00,117,
B39F0821,002,1998/02/16 00:00:00,127,
B39F0821,002,1998/03/02 00:00:00,133,
B39F0821,002,1998/03/13 00:00:00,92,
B39F0821,002,1998/03/30 00:00:00,123,
B39F0821,002,1998/04/14 00:00:00,108,
