Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0065,001,39GP0065,166490,437190,555,,605,-195,-295,1973/06/04,1985/11/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0065,001,1973/08/28 00:00:00,75,
B39G0065,001,1973/10/15 00:00:00,54,
B39G0065,001,1973/12/14 00:00:00,72,
B39G0065,001,1974/04/29 00:00:00,80,
B39G0065,001,1974/08/28 00:00:00,73,
B39G0065,001,1974/10/14 00:00:00,69,
B39G0065,001,1974/12/13 00:00:00,56,
B39G0065,001,1975/04/28 00:00:00,63,
B39G0065,001,1975/08/28 00:00:00,67,
B39G0065,001,1975/10/28 00:00:00,75,
B39G0065,001,1975/12/15 00:00:00,122,
B39G0065,001,1976/04/28 00:00:00,86,
B39G0065,001,1976/08/27 00:00:00,85,
B39G0065,001,1976/10/14 00:00:00,88,
B39G0065,001,1976/12/14 00:00:00,114,
B39G0065,001,1977/04/28 00:00:00,56,
B39G0065,001,1977/08/29 00:00:00,64,
B39G0065,001,1977/10/14 00:00:00,75,
B39G0065,001,1977/12/14 00:00:00,90,
B39G0065,001,1978/05/16 00:00:00,56,
B39G0065,001,1978/08/28 00:00:00,60,
B39G0065,001,1978/10/13 00:00:00,69,
B39G0065,001,1978/12/30 00:00:00,45,
B39G0065,001,1979/04/27 00:00:00,41,
B39G0065,001,1979/08/28 00:00:00,70,
B39G0065,001,1979/10/29 00:00:00,80,
B39G0065,001,1979/12/14 00:00:00,54,
B39G0065,001,1980/04/28 00:00:00,60,
B39G0065,001,1980/08/28 00:00:00,62,
B39G0065,001,1980/10/28 00:00:00,70,
B39G0065,001,1980/12/15 00:00:00,41,
B39G0065,001,1981/05/14 00:00:00,60,
B39G0065,001,1981/08/28 00:00:00,69,
B39G0065,001,1981/10/14 00:00:00,33,
B39G0065,001,1981/12/14 00:00:00,31,
B39G0065,001,1982/05/14 00:00:00,61,
B39G0065,001,1982/08/27 00:00:00,141,
B39G0065,001,1982/10/14 00:00:00,47,
B39G0065,001,1982/12/14 00:00:00,39,
B39G0065,001,1983/04/28 00:00:00,37,
B39G0065,001,1983/09/20 00:00:00,61,
B39G0065,001,1983/10/14 00:00:00,74,
B39G0065,001,1983/12/14 00:00:00,60,
B39G0065,001,1984/05/14 00:00:00,64,
B39G0065,001,1984/09/14 00:00:00,50,
B39G0065,001,1984/10/29 00:00:00,35,
B39G0065,001,1984/12/14 00:00:00,71,
B39G0065,001,1985/09/13 00:00:00,57,
B39G0065,001,1985/10/28 00:00:00,81,
