Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0252,001,39GP0005,169620,436400,615,,644,-173,-273,1954/03/15,1962/07/13
B39G0252,001,39GP0005,169620,436400,615,,645,-173,-273,1962/07/13,1983/02/03
B39G0252,001,39GP0005,169620,436400,630,,645,-173,-273,1983/02/03,1989/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0252,001,1954/03/15 00:00:00,134,
B39G0252,001,1954/03/29 00:00:00,147,
B39G0252,001,1954/04/14 00:00:00,96,
B39G0252,001,1954/04/28 00:00:00,91,
B39G0252,001,1954/05/14 00:00:00,123,
B39G0252,001,1954/05/28 00:00:00,111,
B39G0252,001,1954/06/14 00:00:00,98,
B39G0252,001,1954/06/28 00:00:00,100,
B39G0252,001,1954/07/14 00:00:00,93,
B39G0252,001,1954/07/28 00:00:00,69,
B39G0252,001,1954/08/14 00:00:00,85,
B39G0252,001,1954/08/28 00:00:00,71,
B39G0252,001,1954/09/14 00:00:00,70,
B39G0252,001,1954/09/28 00:00:00,64,
B39G0252,001,1954/10/14 00:00:00,56,
B39G0252,001,1954/10/28 00:00:00,56,
B39G0252,001,1954/11/13 00:00:00,66,
B39G0252,001,1954/11/29 00:00:00,99,
B39G0252,001,1954/12/14 00:00:00,71,
B39G0252,001,1954/12/28 00:00:00,17,
B39G0252,001,1955/01/14 00:00:00,65,
B39G0252,001,1955/01/28 00:00:00,21,
B39G0252,001,1955/02/14 00:00:00,35,
B39G0252,001,1955/02/28 00:00:00,71,
B39G0252,001,1955/03/14 00:00:00,95,
B39G0252,001,1955/03/28 00:00:00,65,
B39G0252,001,1955/04/28 00:00:00,71,
B39G0252,001,1955/05/14 00:00:00,76,
B39G0252,001,1955/05/28 00:00:00,74,
B39G0252,001,1955/06/14 00:00:00,68,
B39G0252,001,1955/06/28 00:00:00,59,
B39G0252,001,1955/07/14 00:00:00,61,
B39G0252,001,1955/07/28 00:00:00,63,
B39G0252,001,1955/08/15 00:00:00,55,
B39G0252,001,1955/08/29 00:00:00,71,
B39G0252,001,1955/09/14 00:00:00,71,
B39G0252,001,1955/09/28 00:00:00,82,
B39G0252,001,1955/10/14 00:00:00,93,
B39G0252,001,1955/10/28 00:00:00,91,
B39G0252,001,1955/11/14 00:00:00,120,
B39G0252,001,1955/11/28 00:00:00,143,
B39G0252,001,1955/12/14 00:00:00,146,
B39G0252,001,1955/12/28 00:00:00,104,
B39G0252,001,1956/01/14 00:00:00,44,
B39G0252,001,1956/01/28 00:00:00,39,
B39G0252,001,1956/02/28 00:00:00,107,
B39G0252,001,1956/03/14 00:00:00,27,
B39G0252,001,1956/03/28 00:00:00,100,
B39G0252,001,1956/04/14 00:00:00,80,
B39G0252,001,1956/04/28 00:00:00,55,
B39G0252,001,1956/05/14 00:00:00,71,
B39G0252,001,1956/05/28 00:00:00,71,
B39G0252,001,1956/06/14 00:00:00,61,
B39G0252,001,1956/06/28 00:00:00,57,
B39G0252,001,1956/07/14 00:00:00,56,
B39G0252,001,1956/07/28 00:00:00,43,
B39G0252,001,1956/08/14 00:00:00,51,
B39G0252,001,1956/08/28 00:00:00,49,
B39G0252,001,1956/09/14 00:00:00,40,
B39G0252,001,1956/09/28 00:00:00,56,
B39G0252,001,1956/10/15 00:00:00,49,
B39G0252,001,1956/10/27 00:00:00,65,
B39G0252,001,1956/11/14 00:00:00,69,
B39G0252,001,1956/11/28 00:00:00,87,
B39G0252,001,1956/12/14 00:00:00,40,
B39G0252,001,1956/12/28 00:00:00,76,
B39G0252,001,1957/01/14 00:00:00,64,
B39G0252,001,1957/01/28 00:00:00,98,
B39G0252,001,1957/02/15 00:00:00,55,
B39G0252,001,1957/02/20 00:00:00,2,
B39G0252,001,1957/02/21 00:00:00,0,
B39G0252,001,1957/02/22 00:00:00,-3,
B39G0252,001,1957/02/25 00:00:00,-1,
B39G0252,001,1957/02/27 00:00:00,15,
B39G0252,001,1957/02/28 00:00:00,17,
B39G0252,001,1957/03/01 00:00:00,13,
B39G0252,001,1957/03/02 00:00:00,-9,
B39G0252,001,1957/03/04 00:00:00,-21,
B39G0252,001,1957/03/05 00:00:00,-16,
B39G0252,001,1957/03/06 00:00:00,-14,
B39G0252,001,1957/03/07 00:00:00,-10,
B39G0252,001,1957/03/08 00:00:00,-4,
B39G0252,001,1957/03/09 00:00:00,3,
B39G0252,001,1957/03/11 00:00:00,12,
B39G0252,001,1957/03/14 00:00:00,29,
B39G0252,001,1957/03/28 00:00:00,51,
B39G0252,001,1957/04/15 00:00:00,71,
B39G0252,001,1957/04/29 00:00:00,73,
B39G0252,001,1957/05/14 00:00:00,79,
B39G0252,001,1957/05/28 00:00:00,85,
B39G0252,001,1957/06/14 00:00:00,91,
B39G0252,001,1957/06/27 00:00:00,76,
B39G0252,001,1957/07/15 00:00:00,74,
B39G0252,001,1957/07/29 00:00:00,65,
B39G0252,001,1957/08/14 00:00:00,67,
B39G0252,001,1957/08/28 00:00:00,64,
B39G0252,001,1957/09/13 00:00:00,57,
B39G0252,001,1957/09/27 00:00:00,49,
B39G0252,001,1957/10/14 00:00:00,61,
B39G0252,001,1957/10/28 00:00:00,81,
B39G0252,001,1957/11/14 00:00:00,103,
B39G0252,001,1957/11/28 00:00:00,119,
B39G0252,001,1957/12/13 00:00:00,119,
B39G0252,001,1957/12/27 00:00:00,113,
B39G0252,001,1958/01/14 00:00:00,36,
B39G0252,001,1958/01/28 00:00:00,41,
B39G0252,001,1958/02/12 00:00:00,49,
B39G0252,001,1958/02/13 00:00:00,32,
B39G0252,001,1958/02/14 00:00:00,9,
B39G0252,001,1958/02/15 00:00:00,-5,
B39G0252,001,1958/02/17 00:00:00,-13,
B39G0252,001,1958/02/18 00:00:00,-13,
B39G0252,001,1958/02/19 00:00:00,-12,
B39G0252,001,1958/02/20 00:00:00,-9,
B39G0252,001,1958/02/21 00:00:00,-8,
B39G0252,001,1958/02/22 00:00:00,-7,
B39G0252,001,1958/02/24 00:00:00,-7,
B39G0252,001,1958/02/25 00:00:00,-14,
B39G0252,001,1958/02/26 00:00:00,-22,
B39G0252,001,1958/02/27 00:00:00,-20,
B39G0252,001,1958/02/28 00:00:00,-20,
