Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0257,001,39GP0015,169550,435390,910,,949,229,129,1954/03/15,1988/11/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0257,001,1954/03/15 00:00:00,376,
B39G0257,001,1954/03/29 00:00:00,400,
B39G0257,001,1954/04/14 00:00:00,338,
B39G0257,001,1954/04/28 00:00:00,372,
B39G0257,001,1954/05/14 00:00:00,401,
B39G0257,001,1954/05/28 00:00:00,399,
B39G0257,001,1954/06/14 00:00:00,384,
B39G0257,001,1954/06/28 00:00:00,377,
B39G0257,001,1954/07/14 00:00:00,348,
B39G0257,001,1954/07/28 00:00:00,292,
B39G0257,001,1954/08/14 00:00:00,349,
B39G0257,001,1954/08/28 00:00:00,286,
B39G0257,001,1954/09/14 00:00:00,296,
B39G0257,001,1954/09/28 00:00:00,285,
B39G0257,001,1954/10/14 00:00:00,207,
B39G0257,001,1954/10/28 00:00:00,261,
B39G0257,001,1954/11/13 00:00:00,277,
B39G0257,001,1954/11/29 00:00:00,337,
B39G0257,001,1954/12/14 00:00:00,224,
B39G0257,001,1954/12/28 00:00:00,86,
B39G0257,001,1955/01/14 00:00:00,249,
B39G0257,001,1955/02/14 00:00:00,54,
B39G0257,001,1955/02/28 00:00:00,225,
B39G0257,001,1955/03/14 00:00:00,294,
B39G0257,001,1955/03/28 00:00:00,217,
B39G0257,001,1955/04/28 00:00:00,298,
B39G0257,001,1955/05/14 00:00:00,319,
B39G0257,001,1955/05/28 00:00:00,306,
B39G0257,001,1955/06/14 00:00:00,296,
B39G0257,001,1955/06/28 00:00:00,261,
B39G0257,001,1955/07/14 00:00:00,261,
B39G0257,001,1955/07/28 00:00:00,277,
B39G0257,001,1955/08/15 00:00:00,268,
B39G0257,001,1955/08/29 00:00:00,326,
B39G0257,001,1955/09/14 00:00:00,339,
B39G0257,001,1955/09/28 00:00:00,345,
B39G0257,001,1955/10/14 00:00:00,379,
B39G0257,001,1955/10/28 00:00:00,399,
B39G0257,001,1955/11/14 00:00:00,424,
B39G0257,001,1955/11/28 00:00:00,446,
B39G0257,001,1955/12/14 00:00:00,454,
B39G0257,001,1955/12/28 00:00:00,351,
B39G0257,001,1956/01/14 00:00:00,252,
B39G0257,001,1956/01/28 00:00:00,207,
B39G0257,001,1956/02/28 00:00:00,298,
B39G0257,001,1956/03/14 00:00:00,111,
B39G0257,001,1956/03/28 00:00:00,314,
B39G0257,001,1956/04/14 00:00:00,349,
B39G0257,001,1956/04/28 00:00:00,265,
B39G0257,001,1956/05/14 00:00:00,333,
B39G0257,001,1956/05/28 00:00:00,332,
B39G0257,001,1956/06/14 00:00:00,276,
B39G0257,001,1956/06/28 00:00:00,273,
B39G0257,001,1956/07/14 00:00:00,283,
B39G0257,001,1956/07/28 00:00:00,214,
B39G0257,001,1956/08/14 00:00:00,261,
B39G0257,001,1956/08/28 00:00:00,274,
B39G0257,001,1956/09/14 00:00:00,246,
B39G0257,001,1956/09/28 00:00:00,283,
B39G0257,001,1956/10/15 00:00:00,252,
B39G0257,001,1956/10/27 00:00:00,293,
B39G0257,001,1956/11/14 00:00:00,275,
B39G0257,001,1956/11/28 00:00:00,328,
B39G0257,001,1956/12/14 00:00:00,250,
B39G0257,001,1956/12/28 00:00:00,289,
B39G0257,001,1957/01/14 00:00:00,282,
B39G0257,001,1957/01/28 00:00:00,344,
B39G0257,001,1957/02/15 00:00:00,206,
B39G0257,001,1957/02/25 00:00:00,84,
B39G0257,001,1957/02/27 00:00:00,119,
B39G0257,001,1957/02/28 00:00:00,102,
B39G0257,001,1957/03/08 00:00:00,51,
B39G0257,001,1957/03/09 00:00:00,73,
B39G0257,001,1957/03/11 00:00:00,130,
B39G0257,001,1957/03/14 00:00:00,161,
B39G0257,001,1957/03/28 00:00:00,211,
B39G0257,001,1957/04/15 00:00:00,284,
B39G0257,001,1957/04/29 00:00:00,284,
B39G0257,001,1957/05/14 00:00:00,361,
B39G0257,001,1957/05/28 00:00:00,369,
B39G0257,001,1957/06/14 00:00:00,382,
B39G0257,001,1957/06/27 00:00:00,344,
B39G0257,001,1957/07/15 00:00:00,341,
B39G0257,001,1957/07/29 00:00:00,319,
B39G0257,001,1957/08/14 00:00:00,324,
B39G0257,001,1957/08/28 00:00:00,311,
B39G0257,001,1957/09/13 00:00:00,325,
B39G0257,001,1957/09/27 00:00:00,266,
