Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0258,001,39GP0017,169460,434870,970,,1024,271,171,1954/03/15,1996/03/06
B39G0258,001,39GP0017,169460,434870,961,,957,271,171,1996/03/06,2001/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0258,001,1954/03/15 00:00:00,456,
B39G0258,001,1954/03/29 00:00:00,466,
B39G0258,001,1954/04/14 00:00:00,466,
B39G0258,001,1954/04/28 00:00:00,464,
B39G0258,001,1954/05/14 00:00:00,479,
B39G0258,001,1954/05/28 00:00:00,453,
B39G0258,001,1954/06/14 00:00:00,437,
B39G0258,001,1954/06/28 00:00:00,434,
B39G0258,001,1954/07/14 00:00:00,365,
B39G0258,001,1954/07/28 00:00:00,315,
B39G0258,001,1954/08/14 00:00:00,423,
B39G0258,001,1954/08/28 00:00:00,354,
B39G0258,001,1954/09/14 00:00:00,346,
B39G0258,001,1954/09/28 00:00:00,326,
B39G0258,001,1954/10/14 00:00:00,307,
B39G0258,001,1954/10/28 00:00:00,317,
B39G0258,001,1954/11/13 00:00:00,337,
B39G0258,001,1954/11/29 00:00:00,415,
B39G0258,001,1954/12/14 00:00:00,213,
B39G0258,001,1954/12/28 00:00:00,77,
B39G0258,001,1955/01/14 00:00:00,309,
B39G0258,001,1955/01/28 00:00:00,62,
B39G0258,001,1955/02/14 00:00:00,58,
B39G0258,001,1955/02/28 00:00:00,255,
B39G0258,001,1955/03/14 00:00:00,354,
B39G0258,001,1955/03/28 00:00:00,112,
B39G0258,001,1955/04/28 00:00:00,363,
B39G0258,001,1955/05/14 00:00:00,371,
B39G0258,001,1955/05/28 00:00:00,352,
B39G0258,001,1955/06/14 00:00:00,278,
B39G0258,001,1955/06/28 00:00:00,285,
B39G0258,001,1955/07/14 00:00:00,270,
B39G0258,001,1955/07/28 00:00:00,309,
B39G0258,001,1955/08/15 00:00:00,299,
B39G0258,001,1955/08/29 00:00:00,404,
B39G0258,001,1955/09/14 00:00:00,401,
B39G0258,001,1955/09/28 00:00:00,417,
B39G0258,001,1955/10/14 00:00:00,456,
B39G0258,001,1955/10/28 00:00:00,492,
B39G0258,001,1955/11/14 00:00:00,519,
B39G0258,001,1955/11/28 00:00:00,539,
B39G0258,001,1955/12/14 00:00:00,520,
B39G0258,001,1955/12/28 00:00:00,376,
B39G0258,001,1956/01/14 00:00:00,327,
B39G0258,001,1956/01/28 00:00:00,233,
B39G0258,001,1956/02/28 00:00:00,301,
B39G0258,001,1956/03/14 00:00:00,169,
B39G0258,001,1956/03/28 00:00:00,390,
B39G0258,001,1956/04/14 00:00:00,422,
B39G0258,001,1956/04/28 00:00:00,301,
B39G0258,001,1956/05/14 00:00:00,411,
B39G0258,001,1956/05/28 00:00:00,358,
B39G0258,001,1956/06/14 00:00:00,255,
B39G0258,001,1956/06/28 00:00:00,299,
B39G0258,001,1956/07/14 00:00:00,323,
B39G0258,001,1956/07/28 00:00:00,203,
B39G0258,001,1956/08/14 00:00:00,297,
B39G0258,001,1956/08/28 00:00:00,304,
B39G0258,001,1956/09/14 00:00:00,263,
B39G0258,001,1956/09/28 00:00:00,330,
B39G0258,001,1956/10/15 00:00:00,271,
B39G0258,001,1956/10/27 00:00:00,356,
B39G0258,001,1956/11/14 00:00:00,318,
B39G0258,001,1956/11/28 00:00:00,400,
B39G0258,001,1956/12/14 00:00:00,276,
B39G0258,001,1956/12/28 00:00:00,351,
B39G0258,001,1957/01/14 00:00:00,307,
B39G0258,001,1957/01/28 00:00:00,428,
B39G0258,001,1957/02/15 00:00:00,216,
B39G0258,001,1957/02/25 00:00:00,134,
