Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0263,001,39GP0028,169300,433660,701,,757,1,-99,1952/02/26,1973/03/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0263,001,1952/03/14 00:00:00,69,
B39G0263,001,1952/03/28 00:00:00,58,
B39G0263,001,1952/04/15 00:00:00,47,
B39G0263,001,1952/04/28 00:00:00,88,
B39G0263,001,1952/05/14 00:00:00,112,
B39G0263,001,1952/05/28 00:00:00,135,
B39G0263,001,1952/06/14 00:00:00,156,
B39G0263,001,1952/06/28 00:00:00,153,
B39G0263,001,1952/07/14 00:00:00,168,
B39G0263,001,1952/07/28 00:00:00,199,
B39G0263,001,1952/08/14 00:00:00,237,
B39G0263,001,1952/08/28 00:00:00,239,
B39G0263,001,1952/09/13 00:00:00,248,
B39G0263,001,1952/09/27 00:00:00,234,
B39G0263,001,1952/10/14 00:00:00,197,
B39G0263,001,1952/10/28 00:00:00,168,
B39G0263,001,1952/11/14 00:00:00,36,
B39G0263,001,1952/11/28 00:00:00,62,
B39G0263,001,1952/12/15 00:00:00,31,
B39G0263,001,1952/12/29 00:00:00,-17,
B39G0263,001,1953/01/14 00:00:00,77,
B39G0263,001,1953/01/28 00:00:00,120,
B39G0263,001,1953/02/14 00:00:00,94,
B39G0263,001,1953/02/28 00:00:00,63,
B39G0263,001,1953/03/14 00:00:00,97,
B39G0263,001,1953/03/28 00:00:00,139,
B39G0263,001,1953/04/14 00:00:00,138,
B39G0263,001,1953/04/28 00:00:00,148,
B39G0263,001,1953/05/15 00:00:00,173,
B39G0263,001,1953/05/28 00:00:00,199,
B39G0263,001,1953/06/13 00:00:00,161,
B39G0263,001,1953/06/27 00:00:00,138,
B39G0263,001,1953/07/14 00:00:00,68,
B39G0263,001,1953/07/28 00:00:00,88,
B39G0263,001,1953/08/14 00:00:00,119,
B39G0263,001,1953/08/28 00:00:00,150,
B39G0263,001,1953/09/14 00:00:00,208,
B39G0263,001,1953/09/28 00:00:00,234,
B39G0263,001,1953/10/14 00:00:00,248,
B39G0263,001,1953/10/28 00:00:00,263,
B39G0263,001,1953/11/14 00:00:00,269,
B39G0263,001,1953/11/28 00:00:00,283,
B39G0263,001,1953/12/14 00:00:00,299,
B39G0263,001,1953/12/28 00:00:00,309,
B39G0263,001,1954/01/14 00:00:00,306,
B39G0263,001,1954/01/28 00:00:00,185,
B39G0263,001,1954/02/15 00:00:00,139,
B39G0263,001,1954/03/01 00:00:00,207,
B39G0263,001,1954/03/15 00:00:00,177,
B39G0263,001,1954/03/29 00:00:00,205,
B39G0263,001,1954/04/14 00:00:00,157,
B39G0263,001,1954/04/28 00:00:00,186,
B39G0263,001,1954/05/14 00:00:00,215,
B39G0263,001,1954/05/28 00:00:00,213,
B39G0263,001,1954/06/14 00:00:00,198,
B39G0263,001,1954/06/28 00:00:00,196,
B39G0263,001,1954/07/14 00:00:00,167,
B39G0263,001,1954/07/28 00:00:00,111,
B39G0263,001,1954/08/14 00:00:00,153,
B39G0263,001,1954/08/28 00:00:00,108,
B39G0263,001,1954/09/15 00:00:00,109,
B39G0263,001,1954/09/29 00:00:00,106,
B39G0263,001,1954/10/14 00:00:00,55,
B39G0263,001,1954/10/29 00:00:00,86,
B39G0263,001,1954/11/15 00:00:00,104,
B39G0263,001,1954/11/27 00:00:00,147,
B39G0263,001,1954/12/14 00:00:00,102,
B39G0263,001,1954/12/28 00:00:00,40,
B39G0263,001,1955/01/14 00:00:00,76,
B39G0263,001,1955/01/28 00:00:00,-7,
