Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0279,001,39GP0059,169700,435920,678,,672,-98,-198,1976/01/14,1982/10/28
B39G0279,001,39GP0059,169700,435920,672,,670,-98,-198,1982/10/28,2001/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0279,001,1976/01/14 00:00:00,196,
B39G0279,001,1976/01/28 00:00:00,166,
B39G0279,001,1976/02/13 00:00:00,146,
B39G0279,001,1976/03/01 00:00:00,139,
B39G0279,001,1976/03/15 00:00:00,192,
B39G0279,001,1976/03/29 00:00:00,185,
B39G0279,001,1976/04/14 00:00:00,177,
B39G0279,001,1976/04/28 00:00:00,198,
B39G0279,001,1976/05/14 00:00:00,202,
B39G0279,001,1976/05/28 00:00:00,200,
B39G0279,001,1976/06/15 00:00:00,192,
B39G0279,001,1976/06/28 00:00:00,194,
B39G0279,001,1976/07/14 00:00:00,225,
B39G0279,001,1976/07/28 00:00:00,222,
B39G0279,001,1976/08/13 00:00:00,221,
B39G0279,001,1976/08/27 00:00:00,237,
B39G0279,001,1976/09/14 00:00:00,234,
B39G0279,001,1976/09/28 00:00:00,228,
B39G0279,001,1976/10/14 00:00:00,225,
B39G0279,001,1976/10/28 00:00:00,244,
B39G0279,001,1976/11/15 00:00:00,341,
B39G0279,001,1976/11/29 00:00:00,342,
B39G0279,001,1976/12/14 00:00:00,324,
B39G0279,001,1976/12/28 00:00:00,268,
B39G0279,001,1977/01/14 00:00:00,252,
B39G0279,001,1977/01/31 00:00:00,153,
B39G0279,001,1977/02/14 00:00:00,100,
B39G0279,001,1977/02/28 00:00:00,6,
B39G0279,001,1977/03/14 00:00:00,104,
B39G0279,001,1977/03/28 00:00:00,162,
B39G0279,001,1977/04/14 00:00:00,140,
B39G0279,001,1977/04/28 00:00:00,130,
B39G0279,001,1977/05/13 00:00:00,123,
B39G0279,001,1977/06/14 00:00:00,147,
B39G0279,001,1977/06/28 00:00:00,139,
B39G0279,001,1977/07/14 00:00:00,147,
B39G0279,001,1977/07/28 00:00:00,145,
B39G0279,001,1977/08/15 00:00:00,125,
B39G0279,001,1977/08/29 00:00:00,103,
B39G0279,001,1977/09/14 00:00:00,174,
B39G0279,001,1977/09/28 00:00:00,193,
B39G0279,001,1977/10/14 00:00:00,201,
B39G0279,001,1977/10/28 00:00:00,197,
B39G0279,001,1977/11/14 00:00:00,177,
B39G0279,001,1977/11/28 00:00:00,147,
B39G0279,001,1977/12/14 00:00:00,194,
B39G0279,001,1978/01/13 00:00:00,192,
B39G0279,001,1978/02/14 00:00:00,104,
B39G0279,001,1978/02/28 00:00:00,50,
B39G0279,001,1978/03/14 00:00:00,78,
B39G0279,001,1978/03/28 00:00:00,,O
B39G0279,001,1978/04/28 00:00:00,107,
B39G0279,001,1978/05/16 00:00:00,197,
B39G0279,001,1978/05/29 00:00:00,,O
B39G0279,001,1978/06/14 00:00:00,137,
B39G0279,001,1978/06/28 00:00:00,150,
B39G0279,001,1978/07/14 00:00:00,56,
B39G0279,001,1978/07/27 00:00:00,148,
B39G0279,001,1978/08/14 00:00:00,148,
B39G0279,001,1978/08/28 00:00:00,163,
B39G0279,001,1978/09/14 00:00:00,176,
