Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0311,001,39GL0004,166250,435930,604,,590,,,1952/10/15,1957/06/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0311,001,1952/10/15 00:00:00,,D
B39G0311,001,1952/10/28 00:00:00,188,
B39G0311,001,1952/11/14 00:00:00,98,
B39G0311,001,1952/11/28 00:00:00,94,
B39G0311,001,1952/12/16 00:00:00,66,
B39G0311,001,1952/12/29 00:00:00,46,
B39G0311,001,1953/01/14 00:00:00,95,
B39G0311,001,1953/01/28 00:00:00,124,
B39G0311,001,1953/02/28 00:00:00,99,
B39G0311,001,1953/03/14 00:00:00,126,
B39G0311,001,1953/03/28 00:00:00,151,
B39G0311,001,1953/04/14 00:00:00,145,
B39G0311,001,1953/04/28 00:00:00,,D
B39G0311,001,1953/05/14 00:00:00,,D
B39G0311,001,1953/05/28 00:00:00,,D
B39G0311,001,1953/06/15 00:00:00,,D
B39G0311,001,1953/06/28 00:00:00,156,
B39G0311,001,1953/07/14 00:00:00,123,
B39G0311,001,1953/07/28 00:00:00,126,
B39G0311,001,1953/08/14 00:00:00,149,
B39G0311,001,1953/08/28 00:00:00,164,D
B39G0311,001,1953/09/14 00:00:00,166,D
B39G0311,001,1953/09/28 00:00:00,,D
B39G0311,001,1953/10/13 00:00:00,164,D
B39G0311,001,1953/10/28 00:00:00,,D
B39G0311,001,1953/11/14 00:00:00,164,D
B39G0311,001,1953/11/28 00:00:00,,D
B39G0311,001,1953/12/14 00:00:00,168,D
B39G0311,001,1953/12/28 00:00:00,164,D
B39G0311,001,1954/01/14 00:00:00,169,D
B39G0311,001,1954/02/15 00:00:00,169,D
B39G0311,001,1954/03/01 00:00:00,164,D
B39G0311,001,1954/03/15 00:00:00,164,D
B39G0311,001,1954/03/29 00:00:00,194,D
B39G0311,001,1954/04/14 00:00:00,196,D
B39G0311,001,1954/04/28 00:00:00,184,D
B39G0311,001,1954/05/14 00:00:00,184,D
B39G0311,001,1954/07/16 00:00:00,174,
B39G0311,001,1954/07/28 00:00:00,140,
B39G0311,001,1954/08/14 00:00:00,144,
B39G0311,001,1954/08/28 00:00:00,120,
B39G0311,001,1954/09/14 00:00:00,120,
B39G0311,001,1954/09/28 00:00:00,110,
B39G0311,001,1954/10/14 00:00:00,96,
B39G0311,001,1954/10/29 00:00:00,97,
B39G0311,001,1954/11/15 00:00:00,108,
B39G0311,001,1954/11/29 00:00:00,142,
B39G0311,001,1954/12/16 00:00:00,121,
B39G0311,001,1954/12/28 00:00:00,36,
B39G0311,001,1955/01/28 00:00:00,67,
B39G0311,001,1955/03/14 00:00:00,137,
B39G0311,001,1955/03/28 00:00:00,107,
B39G0311,001,1955/04/14 00:00:00,141,
B39G0311,001,1955/04/26 00:00:00,130,
B39G0311,001,1955/05/14 00:00:00,141,
B39G0311,001,1955/05/28 00:00:00,136,
B39G0311,001,1955/06/14 00:00:00,135,
B39G0311,001,1955/06/28 00:00:00,126,
B39G0311,001,1955/07/14 00:00:00,142,
B39G0311,001,1955/07/28 00:00:00,138,
B39G0311,001,1955/08/15 00:00:00,136,
B39G0311,001,1955/08/25 00:00:00,134,D
B39G0311,001,1955/09/14 00:00:00,134,D
B39G0311,001,1955/10/21 00:00:00,166,
B39G0311,001,1955/10/28 00:00:00,165,
B39G0311,001,1955/11/14 00:00:00,164,D
B39G0311,001,1955/11/28 00:00:00,164,D
B39G0311,001,1955/12/14 00:00:00,184,D
B39G0311,001,1955/12/28 00:00:00,156,
B39G0311,001,1956/01/14 00:00:00,112,
B39G0311,001,1956/01/30 00:00:00,84,
