Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0312,001,39GL0004,166190,435970,633,,623,473,423,1957/06/28,1959/06/15
B39G0312,001,39GL0004,166190,435970,633,,621,471,421,1959/06/15,1961/07/28
B39G0312,001,39GL0004,166190,435970,633,,629,479,429,1961/07/28,1964/05/14
B39G0312,001,39GL0004,166190,435970,631,,637,387,337,1964/05/14,1973/06/14
B39G0312,001,39GL0004,166190,435970,636,,638,488,438,1973/06/14,1975/05/14
B39G0312,001,39GL0004,166190,435970,636,,640,490,440,1975/05/14,1979/09/29

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0312,001,1957/06/28 00:00:00,150,
B39G0312,001,1957/08/14 00:00:00,131,
B39G0312,001,1957/08/28 00:00:00,120,
B39G0312,001,1957/09/14 00:00:00,107,
B39G0312,001,1957/09/28 00:00:00,94,
B39G0312,001,1957/10/14 00:00:00,122,
B39G0312,001,1957/10/28 00:00:00,142,
B39G0312,001,1957/11/14 00:00:00,160,
B39G0312,001,1957/11/28 00:00:00,181,
B39G0312,001,1957/12/14 00:00:00,181,
B39G0312,001,1957/12/30 00:00:00,170,
B39G0312,001,1958/01/14 00:00:00,112,
B39G0312,001,1958/01/28 00:00:00,103,
B39G0312,001,1958/02/14 00:00:00,83,
B39G0312,001,1958/02/28 00:00:00,52,
B39G0312,001,1958/03/14 00:00:00,77,
B39G0312,001,1958/03/28 00:00:00,142,
B39G0312,001,1958/04/14 00:00:00,132,
B39G0312,001,1958/04/28 00:00:00,120,
B39G0312,001,1958/05/14 00:00:00,104,
B39G0312,001,1958/05/28 00:00:00,90,
B39G0312,001,1958/06/14 00:00:00,110,
B39G0312,001,1958/06/28 00:00:00,113,
B39G0312,001,1958/07/14 00:00:00,105,
B39G0312,001,1958/07/28 00:00:00,102,
B39G0312,001,1958/08/28 00:00:00,102,
B39G0312,001,1958/09/15 00:00:00,132,
B39G0312,001,1958/09/29 00:00:00,135,
B39G0312,001,1958/10/14 00:00:00,138,
B39G0312,001,1958/10/28 00:00:00,115,
B39G0312,001,1958/11/14 00:00:00,121,
B39G0312,001,1958/11/28 00:00:00,149,
B39G0312,001,1958/12/15 00:00:00,159,
B39G0312,001,1958/12/29 00:00:00,122,
B39G0312,001,1959/01/14 00:00:00,96,
B39G0312,001,1959/01/28 00:00:00,85,
B39G0312,001,1959/02/14 00:00:00,112,
B39G0312,001,1959/02/28 00:00:00,168,
B39G0312,001,1959/03/14 00:00:00,163,
B39G0312,001,1959/03/26 00:00:00,161,
B39G0312,001,1959/04/14 00:00:00,158,
B39G0312,001,1959/04/28 00:00:00,148,
B39G0312,001,1959/05/14 00:00:00,147,
