Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0313,001,39GL0004,166190,435740,,,,,,1979/09/29,1996/03/21
B39G0313,001,39GL0004,166190,435740,,,,,,1996/03/21,1999/02/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0313,001,1979/10/29 00:00:00,135,
B39G0313,001,1979/11/14 00:00:00,82,
B39G0313,001,1979/11/28 00:00:00,99,
B39G0313,001,1980/01/14 00:00:00,59,
B39G0313,001,1980/01/28 00:00:00,87,
B39G0313,001,1980/02/14 00:00:00,39,
B39G0313,001,1980/02/28 00:00:00,76,
B39G0313,001,1980/03/14 00:00:00,57,
B39G0313,001,1980/03/28 00:00:00,73,
B39G0313,001,1980/04/14 00:00:00,60,
B39G0313,001,1980/04/28 00:00:00,91,
B39G0313,001,1980/05/14 00:00:00,91,
B39G0313,001,1980/05/28 00:00:00,102,
B39G0313,001,1980/06/13 00:00:00,98,
B39G0313,001,1980/06/27 00:00:00,92,
B39G0313,001,1980/07/14 00:00:00,26,
B39G0313,001,1980/07/28 00:00:00,46,
B39G0313,001,1980/08/14 00:00:00,81,
B39G0313,001,1980/08/28 00:00:00,93,
B39G0313,001,1980/09/15 00:00:00,94,
B39G0313,001,1980/10/14 00:00:00,115,
B39G0313,001,1980/10/28 00:00:00,96,
B39G0313,001,1980/11/14 00:00:00,99,
B39G0313,001,1980/11/28 00:00:00,81,
B39G0313,001,1980/12/15 00:00:00,92,
B39G0313,001,1981/01/14 00:00:00,57,
B39G0313,001,1981/01/28 00:00:00,60,
B39G0313,001,1981/02/13 00:00:00,47,
B39G0313,001,1981/02/27 00:00:00,91,
B39G0313,001,1981/03/13 00:00:00,28,
B39G0313,001,1981/03/27 00:00:00,47,
B39G0313,001,1981/04/14 00:00:00,74,
B39G0313,001,1981/04/28 00:00:00,86,
B39G0313,001,1981/05/14 00:00:00,78,
B39G0313,001,1981/05/27 00:00:00,93,
B39G0313,001,1981/06/15 00:00:00,82,
B39G0313,001,1981/06/29 00:00:00,104,
B39G0313,001,1981/07/14 00:00:00,109,
B39G0313,001,1981/07/28 00:00:00,84,
B39G0313,001,1981/08/14 00:00:00,79,
B39G0313,001,1981/08/28 00:00:00,92,
B39G0313,001,1981/09/14 00:00:00,133,
B39G0313,001,1981/09/28 00:00:00,114,
B39G0313,001,1981/10/14 00:00:00,53,
B39G0313,001,1981/10/28 00:00:00,43,
B39G0313,001,1981/11/13 00:00:00,56,
B39G0313,001,1981/11/27 00:00:00,75,
B39G0313,001,1981/12/28 00:00:00,39,
B39G0313,001,1982/01/14 00:00:00,42,
B39G0313,001,1982/01/28 00:00:00,44,
B39G0313,001,1982/02/15 00:00:00,51,
B39G0313,001,1982/02/22 00:00:00,72,
B39G0313,001,1982/03/15 00:00:00,68,
B39G0313,001,1982/03/29 00:00:00,85,
B39G0313,001,1982/04/14 00:00:00,60,
B39G0313,001,1982/04/28 00:00:00,95,
B39G0313,001,1982/05/17 00:00:00,95,
B39G0313,001,1982/05/28 00:00:00,95,
B39G0313,001,1982/06/14 00:00:00,95,
B39G0313,001,1982/06/28 00:00:00,87,
B39G0313,001,1982/07/14 00:00:00,91,
B39G0313,001,1982/07/28 00:00:00,117,
B39G0313,001,1982/08/13 00:00:00,107,
B39G0313,001,1982/08/27 00:00:00,101,
B39G0313,001,1982/09/14 00:00:00,128,
B39G0313,001,1982/09/28 00:00:00,135,
B39G0313,001,1982/10/14 00:00:00,80,
B39G0313,001,1982/10/28 00:00:00,85,
B39G0313,001,1982/11/15 00:00:00,87,
B39G0313,001,1982/11/29 00:00:00,89,
B39G0313,001,1982/12/14 00:00:00,65,
B39G0313,001,1982/12/28 00:00:00,45,
B39G0313,001,1983/01/14 00:00:00,49,
B39G0313,001,1983/01/28 00:00:00,60,
B39G0313,001,1983/02/14 00:00:00,61,
B39G0313,001,1983/02/28 00:00:00,68,
B39G0313,001,1983/03/14 00:00:00,90,
