Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,29-10-1979,tot:,28-01-1999,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39G0313,001,39GL0004,166190,435740,,,29-09-1979,21-03-1996,,5,,
B39G0313,001,39GL0004,166190,435740,,,21-03-1996,14-02-1999,,8,,


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39G0313,001,29-10-1979,140,135,,,,,,,
B39G0313,001,14-11-1979,87,82,,,,,,,
B39G0313,001,28-11-1979,104,99,,,,,,,
B39G0313,001,14-01-1980,64,59,,,,,,,
B39G0313,001,28-01-1980,92,87,,,,,,,
B39G0313,001,14-02-1980,44,39,,,,,,,
B39G0313,001,28-02-1980,81,76,,,,,,,
B39G0313,001,14-03-1980,62,57,,,,,,,
B39G0313,001,28-03-1980,78,73,,,,,,,
B39G0313,001,14-04-1980,65,60,,,,,,,
B39G0313,001,28-04-1980,96,91,,,,,,,
B39G0313,001,14-05-1980,96,91,,,,,,,
B39G0313,001,28-05-1980,107,102,,,,,,,
B39G0313,001,13-06-1980,103,98,,,,,,,
B39G0313,001,27-06-1980,97,92,,,,,,,
B39G0313,001,14-07-1980,31,26,,,,,,,
B39G0313,001,28-07-1980,51,46,,,,,,,
B39G0313,001,14-08-1980,86,81,,,,,,,
B39G0313,001,28-08-1980,98,93,,,,,,,
B39G0313,001,15-09-1980,99,94,,,,,,,
B39G0313,001,14-10-1980,120,115,,,,,,,
B39G0313,001,28-10-1980,101,96,,,,,,,
B39G0313,001,14-11-1980,104,99,,,,,,,
B39G0313,001,28-11-1980,86,81,,,,,,,
B39G0313,001,15-12-1980,97,92,,,,,,,
B39G0313,001,14-01-1981,62,57,,,,,,,
B39G0313,001,28-01-1981,65,60,,,,,,,
B39G0313,001,13-02-1981,52,47,,,,,,,
B39G0313,001,27-02-1981,96,91,,,,,,,
B39G0313,001,13-03-1981,33,28,,,,,,,
B39G0313,001,27-03-1981,52,47,,,,,,,
B39G0313,001,14-04-1981,79,74,,,,,,,
B39G0313,001,28-04-1981,91,86,,,,,,,
B39G0313,001,14-05-1981,83,78,,,,,,,
B39G0313,001,27-05-1981,98,93,,,,,,,
B39G0313,001,15-06-1981,87,82,,,,,,,
B39G0313,001,29-06-1981,109,104,,,,,,,
B39G0313,001,14-07-1981,114,109,,,,,,,
B39G0313,001,28-07-1981,89,84,,,,,,,
B39G0313,001,14-08-1981,84,79,,,,,,,
B39G0313,001,28-08-1981,97,92,,,,,,,
B39G0313,001,14-09-1981,138,133,,,,,,,
B39G0313,001,28-09-1981,119,114,,,,,,,
B39G0313,001,14-10-1981,58,53,,,,,,,
B39G0313,001,28-10-1981,48,43,,,,,,,
B39G0313,001,13-11-1981,61,56,,,,,,,
B39G0313,001,27-11-1981,80,75,,,,,,,
B39G0313,001,28-12-1981,44,39,,,,,,,
B39G0313,001,14-01-1982,47,42,,,,,,,
B39G0313,001,28-01-1982,49,44,,,,,,,
B39G0313,001,15-02-1982,56,51,,,,,,,
B39G0313,001,22-02-1982,77,72,,,,,,,
B39G0313,001,15-03-1982,73,68,,,,,,,
B39G0313,001,29-03-1982,90,85,,,,,,,
B39G0313,001,14-04-1982,65,60,,,,,,,
B39G0313,001,28-04-1982,100,95,,,,,,,
B39G0313,001,17-05-1982,100,95,,,,,,,
B39G0313,001,28-05-1982,100,95,,,,,,,
B39G0313,001,14-06-1982,100,95,,,,,,,
B39G0313,001,28-06-1982,92,87,,,,,,,
B39G0313,001,14-07-1982,96,91,,,,,,,
B39G0313,001,28-07-1982,122,117,,,,,,,
B39G0313,001,13-08-1982,112,107,,,,,,,
B39G0313,001,27-08-1982,106,101,,,,,,,
B39G0313,001,14-09-1982,133,128,,,,,,,
B39G0313,001,28-09-1982,140,135,,,,,,,
B39G0313,001,14-10-1982,85,80,,,,,,,
B39G0313,001,28-10-1982,90,85,,,,,,,
B39G0313,001,15-11-1982,92,87,,,,,,,
B39G0313,001,29-11-1982,94,89,,,,,,,
B39G0313,001,14-12-1982,70,65,,,,,,,
B39G0313,001,28-12-1982,50,45,,,,,,,
B39G0313,001,14-01-1983,54,49,,,,,,,
B39G0313,001,28-01-1983,65,60,,,,,,,
B39G0313,001,14-02-1983,66,61,,,,,,,
B39G0313,001,28-02-1983,73,68,,,,,,,
B39G0313,001,14-03-1983,95,90,,,,,,,
B39G0313,001,28-03-1983,47,42,,,,,,,
B39G0313,001,14-04-1983,45,40,,,,,,,
B39G0313,001,28-04-1983,25,20,,,,,,,
B39G0313,001,13-05-1983,58,53,,,,,,,
B39G0313,001,27-05-1983,20,15,,,,,,,
B39G0313,001,14-06-1983,55,50,,,,,,,
B39G0313,001,29-06-1983,82,77,,,,,,,
B39G0313,001,14-07-1983,121,116,,,,,,,
B39G0313,001,29-07-1983,117,112,,,,,,,
B39G0313,001,15-08-1983,145,140,,,,,,,
B39G0313,001,30-08-1983,142,137,,,,,,,
B39G0313,001,14-09-1983,82,77,,,,,,,
B39G0313,001,03-10-1983,121,116,,,,,,,
B39G0313,001,17-10-1983,137,132,,,,,,,
B39G0313,001,31-10-1983,150,145,,,,,,,
B39G0313,001,14-11-1983,165,160,,,,,,,
B39G0313,001,28-11-1983,93,88,,,,,,,
B39G0313,001,15-12-1983,108,103,,,,,,,
B39G0313,001,28-12-1983,100,95,,,,,,,
B39G0313,001,13-01-1984,72,67,,,,,,,
B39G0313,001,27-01-1984,70,65,,,,,,,
B39G0313,001,14-02-1984,43,38,,,,,,,
B39G0313,001,28-02-1984,94,89,,,,,,,
B39G0313,001,14-03-1984,100,95,,,,,,,
B39G0313,001,28-03-1984,107,102,,,,,,,
B39G0313,001,13-04-1984,80,75,,,,,,,
B39G0313,001,27-04-1984,100,95,,,,,,,
B39G0313,001,18-05-1984,106,101,,,,,,,
B39G0313,001,29-05-1984,52,47,,,,,,,
B39G0313,001,14-06-1984,64,59,,,,,,,
B39G0313,001,28-06-1984,95,90,,,,,,,
B39G0313,001,13-07-1984,89,84,,,,,,,
B39G0313,001,27-07-1984,100,95,,,,,,,
B39G0313,001,14-08-1984,123,118,,,,,,,
B39G0313,001,29-08-1984,138,133,,,,,,,
B39G0313,001,14-09-1984,82,77,,,,,,,
B39G0313,001,28-09-1984,62,57,,,,,,,
B39G0313,001,15-10-1984,75,70,,,,,,,
B39G0313,001,29-10-1984,75,70,,,,,,,
B39G0313,001,15-11-1984,117,112,,,,,,,
B39G0313,001,28-11-1984,64,59,,,,,,,
B39G0313,001,17-12-1984,117,112,,,,,,,
B39G0313,001,28-12-1984,96,91,,,,,,,
B39G0313,001,18-01-1985,158,153,,,,,,,
B39G0313,001,29-01-1985,90,85,,,,,,,
B39G0313,001,14-02-1985,86,81,,,,,,,
B39G0313,001,28-02-1985,100,95,,,,,,,
B39G0313,001,15-03-1985,100,95,,,,,,,
B39G0313,001,29-03-1985,90,85,,,,,,,
B39G0313,001,29-04-1985,82,77,,,,,,,
B39G0313,001,14-05-1985,63,58,,,,,,,
B39G0313,001,28-05-1985,58,53,,,,,,,
B39G0313,001,14-06-1985,64,59,,,,,,,
B39G0313,001,28-06-1985,50,45,,,,,,,
B39G0313,001,16-07-1985,94,89,,,,,,,
B39G0313,001,29-07-1985,98,93,,,,,,,
B39G0313,001,15-08-1985,100,95,,,,,,,
B39G0313,001,28-08-1985,105,100,,,,,,,
B39G0313,001,18-09-1985,100,95,,,,,,,
B39G0313,001,27-09-1985,125,120,,,,,,,
B39G0313,001,15-10-1985,140,135,,,,,,,
B39G0313,001,28-10-1985,175,170,,,,,,,
B39G0313,001,14-11-1985,150,145,,,,,,,
B39G0313,001,29-11-1985,180,175,,,,,,,
B39G0313,001,18-12-1985,124,119,,,,,,,
B39G0313,001,31-12-1985,125,120,,,,,,,
B39G0313,001,15-01-1986,50,45,,,,,,,
B39G0313,001,28-01-1986,43,38,,,,,,,
B39G0313,001,14-02-1986,105,100,,,,,,,
B39G0313,001,27-02-1986,148,143,,,,,,,
B39G0313,001,14-03-1986,124,119,,,,,,,
B39G0313,001,27-03-1986,95,90,,,,,,,
B39G0313,001,14-04-1986,67,62,,,,,,,
B39G0313,001,28-04-1986,67,62,,,,,,,
B39G0313,001,14-05-1986,85,80,,,,,,,
B39G0313,001,29-05-1986,86,81,,,,,,,
B39G0313,001,17-06-1986,90,85,,,,,,,
B39G0313,001,27-06-1986,100,95,,,,,,,
B39G0313,001,14-07-1986,100,95,,,,,,,
B39G0313,001,28-07-1986,100,95,,,,,,,
B39G0313,001,14-08-1986,130,125,,,,,,,
B39G0313,001,29-08-1986,112,107,,,,,,,
B39G0313,001,15-09-1986,116,111,,,,,,,
B39G0313,001,30-09-1986,125,120,,,,,,,
B39G0313,001,16-10-1986,,,,D,,,,,
B39G0313,001,29-10-1986,70,65,,,,,,,
B39G0313,001,14-11-1986,95,90,,,,,,,
B39G0313,001,28-11-1986,100,95,,,,,,,
B39G0313,001,16-12-1986,81,76,,,,,,,
B39G0313,001,29-12-1986,60,55,,,,,,,
B39G0313,001,15-01-1987,85,80,,,,,,,
B39G0313,001,28-01-1987,100,95,,,,,,,
B39G0313,001,17-02-1987,75,70,,,,,,,
B39G0313,001,26-02-1987,95,90,,,,,,,
B39G0313,001,13-03-1987,65,60,,,,,,,
B39G0313,001,30-03-1987,55,50,,,,,,,
B39G0313,001,21-04-1987,75,70,,,,,,,
B39G0313,001,04-05-1987,100,95,,,,,,,
B39G0313,001,14-05-1987,95,90,,,,,,,
B39G0313,001,27-05-1987,75,70,,,,,,,
B39G0313,001,16-06-1987,62,57,,,,,,,
B39G0313,001,29-06-1987,39,34,,,,,,,
B39G0313,001,15-07-1987,87,82,,,,,,,
B39G0313,001,31-07-1987,35,30,,,,,,,
B39G0313,001,17-08-1987,72,67,,,,,,,
B39G0313,001,28-08-1987,95,90,,,,,,,
B39G0313,001,16-09-1987,78,73,,,,,,,
B39G0313,001,02-10-1987,80,75,,,,,,,
B39G0313,001,13-10-1987,95,90,,,,,,,
B39G0313,001,28-10-1987,90,85,,,,,,,
B39G0313,001,12-11-1987,110,105,,,,,,,
B39G0313,001,27-11-1987,75,70,,,,,,,
B39G0313,001,15-12-1987,105,100,,,,,,,
B39G0313,001,28-12-1987,70,65,,,,,,,
B39G0313,001,14-01-1988,63,58,,,,,,,
B39G0313,001,28-01-1988,43,38,,,,,,,
B39G0313,001,15-02-1988,36,31,,,,,,,
B39G0313,001,29-02-1988,60,55,,,,,,,
B39G0313,001,15-03-1988,65,60,,,,,,,
B39G0313,001,30-03-1988,5,0,,,,,,,
B39G0313,001,15-04-1988,55,50,,,,,,,
B39G0313,001,29-04-1988,80,75,,,,,,,
B39G0313,001,19-05-1988,90,85,,,,,,,
B39G0313,001,31-05-1988,76,71,,,,,,,
B39G0313,001,16-06-1988,90,85,,,,,,,
B39G0313,001,01-07-1988,105,100,,,,,,,
B39G0313,001,15-07-1988,93,88,,,,,,,
B39G0313,001,30-07-1988,85,80,,,,,,,
B39G0313,001,18-08-1988,100,95,,,,,,,
B39G0313,001,29-08-1988,93,88,,,,,,,
B39G0313,001,14-09-1988,110,105,,,,,,,
B39G0313,001,30-09-1988,96,91,,,,,,,
B39G0313,001,18-10-1988,95,90,,,,,,,
B39G0313,001,31-10-1988,110,105,,,,,,,
B39G0313,001,15-11-1988,140,135,,,,,,,
B39G0313,001,28-11-1988,152,147,,,,,,,
B39G0313,001,29-12-1988,65,60,,,,,,,
B39G0313,001,16-01-1989,95,90,,,,,,,
B39G0313,001,27-01-1989,115,110,,,,,,,
B39G0313,001,14-02-1989,140,135,,,,,,,
B39G0313,001,28-02-1989,92,87,,,,,,,
B39G0313,001,16-03-1989,82,77,,,,,,,
B39G0313,001,30-03-1989,89,84,,,,,,,
B39G0313,001,14-04-1989,37,32,,,,,,,
B39G0313,001,28-04-1989,62,57,,,,,,,
