Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0314,001,39GL0013,169880,435950,667,,667,512,462,1951/07/13,1963/04/29

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0314,001,1951/07/13 00:00:00,147,
B39G0314,001,1951/08/14 00:00:00,147,
B39G0314,001,1951/09/17 00:00:00,176,
B39G0314,001,1951/10/15 00:00:00,185,
B39G0314,001,1951/11/14 00:00:00,195,
B39G0314,001,1951/12/14 00:00:00,123,
B39G0314,001,1952/01/14 00:00:00,94,
B39G0314,001,1952/02/14 00:00:00,89,
B39G0314,001,1952/03/14 00:00:00,120,
B39G0314,001,1952/04/12 00:00:00,114,
B39G0314,001,1952/05/17 00:00:00,133,
B39G0314,001,1952/06/13 00:00:00,157,
B39G0314,001,1952/07/14 00:00:00,159,
B39G0314,001,1952/08/12 00:00:00,181,
B39G0314,001,1952/09/15 00:00:00,187,
B39G0314,001,1952/10/14 00:00:00,184,
B39G0314,001,1952/11/14 00:00:00,135,
B39G0314,001,1952/12/15 00:00:00,110,
B39G0314,001,1953/01/14 00:00:00,135,
B39G0314,001,1953/02/14 00:00:00,124,
B39G0314,001,1953/03/16 00:00:00,127,
B39G0314,001,1953/04/18 00:00:00,123,
B39G0314,001,1953/05/15 00:00:00,146,
B39G0314,001,1953/06/15 00:00:00,184,
B39G0314,001,1953/07/14 00:00:00,159,
B39G0314,001,1953/08/17 00:00:00,183,
B39G0314,001,1954/01/15 00:00:00,,D
B39G0314,001,1954/04/15 00:00:00,131,
B39G0314,001,1954/04/30 00:00:00,191,
B39G0314,001,1954/05/03 00:00:00,193,
B39G0314,001,1954/05/06 00:00:00,194,
B39G0314,001,1954/05/10 00:00:00,193,
B39G0314,001,1954/05/12 00:00:00,196,
B39G0314,001,1954/05/15 00:00:00,196,
B39G0314,001,1954/05/18 00:00:00,200,
B39G0314,001,1954/05/21 00:00:00,200,
B39G0314,001,1954/05/24 00:00:00,200,
B39G0314,001,1954/05/26 00:00:00,204,
B39G0314,001,1954/05/31 00:00:00,200,
B39G0314,001,1954/06/03 00:00:00,200,
B39G0314,001,1954/06/05 00:00:00,200,
B39G0314,001,1954/06/09 00:00:00,200,
B39G0314,001,1954/06/12 00:00:00,204,
B39G0314,001,1954/06/15 00:00:00,195,
B39G0314,001,1954/06/18 00:00:00,198,
B39G0314,001,1954/06/21 00:00:00,200,
B39G0314,001,1954/06/24 00:00:00,202,
B39G0314,001,1954/06/26 00:00:00,200,
B39G0314,001,1954/06/30 00:00:00,209,
B39G0314,001,1954/07/03 00:00:00,210,
B39G0314,001,1954/07/06 00:00:00,212,
B39G0314,001,1954/07/09 00:00:00,214,
B39G0314,001,1954/07/12 00:00:00,215,
B39G0314,001,1954/07/15 00:00:00,215,
B39G0314,001,1954/07/19 00:00:00,188,
B39G0314,001,1954/07/21 00:00:00,189,
B39G0314,001,1954/07/24 00:00:00,198,
B39G0314,001,1954/07/27 00:00:00,162,
B39G0314,001,1954/07/30 00:00:00,163,
B39G0314,001,1954/08/03 00:00:00,173,
B39G0314,001,1954/08/06 00:00:00,181,
B39G0314,001,1954/08/09 00:00:00,185,
B39G0314,001,1954/08/12 00:00:00,189,
B39G0314,001,1954/08/16 00:00:00,181,
B39G0314,001,1954/08/18 00:00:00,181,
B39G0314,001,1954/08/21 00:00:00,187,
B39G0314,001,1954/08/25 00:00:00,158,
B39G0314,001,1954/08/27 00:00:00,164,
B39G0314,001,1954/08/28 00:00:00,169,
B39G0314,001,1954/08/30 00:00:00,173,
B39G0314,001,1954/09/03 00:00:00,179,
B39G0314,001,1954/09/06 00:00:00,170,
B39G0314,001,1954/09/09 00:00:00,175,
B39G0314,001,1954/09/13 00:00:00,181,
B39G0314,001,1954/09/15 00:00:00,183,
B39G0314,001,1954/09/18 00:00:00,183,
B39G0314,001,1954/09/21 00:00:00,185,
B39G0314,001,1954/09/24 00:00:00,185,
B39G0314,001,1954/09/27 00:00:00,170,
B39G0314,001,1954/09/30 00:00:00,173,
B39G0314,001,1954/10/04 00:00:00,165,
B39G0314,001,1954/10/06 00:00:00,166,
B39G0314,001,1954/10/09 00:00:00,152,
B39G0314,001,1954/10/12 00:00:00,159,
B39G0314,001,1954/10/14 00:00:00,156,
B39G0314,001,1954/10/15 00:00:00,165,
B39G0314,001,1954/10/18 00:00:00,169,
B39G0314,001,1954/10/21 00:00:00,165,
B39G0314,001,1954/10/25 00:00:00,150,
B39G0314,001,1954/10/27 00:00:00,154,
B39G0314,001,1954/10/30 00:00:00,152,
B39G0314,001,1954/11/03 00:00:00,161,
B39G0314,001,1954/11/06 00:00:00,163,
B39G0314,001,1954/11/09 00:00:00,143,
B39G0314,001,1954/11/12 00:00:00,153,
B39G0314,001,1954/11/15 00:00:00,155,
B39G0314,001,1954/11/18 00:00:00,157,
B39G0314,001,1954/11/24 00:00:00,163,
B39G0314,001,1954/11/29 00:00:00,166,
B39G0314,001,1954/12/07 00:00:00,163,
B39G0314,001,1954/12/14 00:00:00,155,
B39G0314,001,1954/12/16 00:00:00,150,
B39G0314,001,1954/12/21 00:00:00,159,
B39G0314,001,1954/12/28 00:00:00,142,
B39G0314,001,1955/01/07 00:00:00,161,
B39G0314,001,1955/01/14 00:00:00,161,
B39G0314,001,1955/01/21 00:00:00,147,
B39G0314,001,1955/01/28 00:00:00,148,
B39G0314,001,1955/02/07 00:00:00,138,
B39G0314,001,1955/02/14 00:00:00,135,
B39G0314,001,1955/02/21 00:00:00,159,
