Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0316,001,39GL0013,169860,436000,727,,718,468,418,1971/12/14,1975/08/28
B39G0316,001,39GL0013,169860,436000,727,,713,463,413,1975/08/28,1984/12/18

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0316,001,1971/12/14 00:00:00,252,
B39G0316,001,1972/04/28 00:00:00,118,
B39G0316,001,1972/08/29 00:00:00,155,
B39G0316,001,1972/10/18 00:00:00,191,
B39G0316,001,1972/12/12 00:00:00,118,
B39G0316,001,1973/04/27 00:00:00,106,
B39G0316,001,1973/08/28 00:00:00,188,
B39G0316,001,1973/10/15 00:00:00,247,
B39G0316,001,1973/12/18 00:00:00,78,
B39G0316,001,1974/04/26 00:00:00,149,
B39G0316,001,1974/08/28 00:00:00,186,
B39G0316,001,1974/10/14 00:00:00,123,
B39G0316,001,1974/12/13 00:00:00,61,
B39G0316,001,1975/04/28 00:00:00,106,
B39G0316,001,1975/08/28 00:00:00,187,
B39G0316,001,1975/10/14 00:00:00,192,
B39G0316,001,1975/12/15 00:00:00,118,
B39G0316,001,1976/04/28 00:00:00,159,
B39G0316,001,1976/08/27 00:00:00,157,
B39G0316,001,1976/10/15 00:00:00,208,
B39G0316,001,1976/12/21 00:00:00,150,
B39G0316,001,1977/04/28 00:00:00,118,
B39G0316,001,1977/08/29 00:00:00,92,
B39G0316,001,1977/10/14 00:00:00,159,
B39G0316,001,1977/12/15 00:00:00,96,
B39G0316,001,1978/04/27 00:00:00,121,
B39G0316,001,1978/08/29 00:00:00,195,
B39G0316,001,1978/10/13 00:00:00,217,
B39G0316,001,1978/12/13 00:00:00,194,
B39G0316,001,1979/04/26 00:00:00,122,
B39G0316,001,1979/08/30 00:00:00,193,
B39G0316,001,1979/10/19 00:00:00,221,
B39G0316,001,1979/12/13 00:00:00,106,
B39G0316,001,1980/04/29 00:00:00,134,
B39G0316,001,1980/08/29 00:00:00,146,
B39G0316,001,1980/10/15 00:00:00,179,
B39G0316,001,1980/12/17 00:00:00,100,
B39G0316,001,1981/04/28 00:00:00,134,
B39G0316,001,1981/08/27 00:00:00,174,
B39G0316,001,1981/10/21 00:00:00,87,
B39G0316,001,1981/12/17 00:00:00,91,
B39G0316,001,1982/04/28 00:00:00,131,
B39G0316,001,1982/08/26 00:00:00,195,
B39G0316,001,1982/10/15 00:00:00,237,
B39G0316,001,1982/12/15 00:00:00,93,
B39G0316,001,1983/04/28 00:00:00,77,
B39G0316,001,1983/08/30 00:00:00,156,
B39G0316,001,1983/10/12 00:00:00,151,
B39G0316,001,1983/12/12 00:00:00,77,
B39G0316,001,1984/04/26 00:00:00,123,
B39G0316,001,1984/08/27 00:00:00,182,
