Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39G0318,001,39GL0013,169840,436020,,,,,,1985/10/02,2000/11/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39G0318,001,1985/10/14 00:00:00,139,
B39G0318,001,1985/12/12 00:00:00,108,
B39G0318,001,1986/04/25 00:00:00,110,
B39G0318,001,1986/08/26 00:00:00,174,
B39G0318,001,1986/10/14 00:00:00,181,
B39G0318,001,1986/12/18 00:00:00,80,
B39G0318,001,1987/05/14 00:00:00,141,
B39G0318,001,1987/08/28 00:00:00,121,
B39G0318,001,1987/10/15 00:00:00,89,
B39G0318,001,1987/12/16 00:00:00,112,
B39G0318,001,1988/04/28 00:00:00,120,
B39G0318,001,1989/03/01 00:00:00,93,
B39G0318,001,1989/03/14 00:00:00,103,
B39G0318,001,1989/03/28 00:00:00,101,
B39G0318,001,1989/04/14 00:00:00,98,
B39G0318,001,1989/04/28 00:00:00,120,
B39G0318,001,1989/05/16 00:00:00,134,
B39G0318,001,1989/05/29 00:00:00,136,
B39G0318,001,1989/06/14 00:00:00,165,
B39G0318,001,1989/06/28 00:00:00,181,
B39G0318,001,1989/07/14 00:00:00,175,
B39G0318,001,1989/07/28 00:00:00,199,
B39G0318,001,1989/08/14 00:00:00,224,
B39G0318,001,1989/08/28 00:00:00,228,
B39G0318,001,1989/09/14 00:00:00,231,
B39G0318,001,1989/09/28 00:00:00,230,
B39G0318,001,1989/10/13 00:00:00,223,
B39G0318,001,1989/10/26 00:00:00,219,
B39G0318,001,1989/11/14 00:00:00,206,
B39G0318,001,1989/11/28 00:00:00,208,
B39G0318,001,1989/12/14 00:00:00,137,
B39G0318,001,1989/12/28 00:00:00,115,
B39G0318,001,1990/01/15 00:00:00,128,
B39G0318,001,1990/01/29 00:00:00,114,
B39G0318,001,1990/02/14 00:00:00,103,
B39G0318,001,1990/02/28 00:00:00,82,
B39G0318,001,1990/03/28 00:00:00,132,
B39G0318,001,1990/04/12 00:00:00,145,
B39G0318,001,1990/04/26 00:00:00,144,
B39G0318,001,1990/05/14 00:00:00,155,
B39G0318,001,1990/05/28 00:00:00,167,
B39G0318,001,1990/06/14 00:00:00,177,
B39G0318,001,1990/06/28 00:00:00,106,
B39G0318,001,1990/07/13 00:00:00,131,
B39G0318,001,1990/07/27 00:00:00,161,
B39G0318,001,1990/08/14 00:00:00,193,
B39G0318,001,1990/08/28 00:00:00,191,
B39G0318,001,1990/09/14 00:00:00,203,
B39G0318,001,1990/09/28 00:00:00,196,
B39G0318,001,1990/10/15 00:00:00,202,
B39G0318,001,1990/10/29 00:00:00,184,
B39G0318,001,1990/11/14 00:00:00,175,
B39G0318,001,1990/11/28 00:00:00,120,
B39G0318,001,1990/12/14 00:00:00,110,
B39G0318,001,1990/12/28 00:00:00,93,
B39G0318,001,1991/01/14 00:00:00,111,
B39G0318,001,1991/01/28 00:00:00,119,
B39G0318,001,1991/02/14 00:00:00,137,
B39G0318,001,1991/02/28 00:00:00,121,
B39G0318,001,1991/03/14 00:00:00,122,
B39G0318,001,1991/04/15 00:00:00,154,
B39G0318,001,1991/04/29 00:00:00,160,
B39G0318,001,1991/05/14 00:00:00,168,
B39G0318,001,1991/05/28 00:00:00,175,
B39G0318,001,1991/06/14 00:00:00,180,
B39G0318,001,1991/06/28 00:00:00,161,
B39G0318,001,1991/07/15 00:00:00,137,
B39G0318,001,1991/07/29 00:00:00,155,
B39G0318,001,1991/08/14 00:00:00,181,
B39G0318,001,1991/08/28 00:00:00,193,
B39G0318,001,1991/09/13 00:00:00,214,
B39G0318,001,1991/09/27 00:00:00,210,
B39G0318,001,1991/10/14 00:00:00,183,
B39G0318,001,1991/10/28 00:00:00,178,
B39G0318,001,1991/11/14 00:00:00,112,
