Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,14-06-1950,tot:,28-08-1990,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B39H0027,001,39HB0027,174960,433580,777,01-10-1945,01-10-1945,14-05-1969,771,-6,77,-1923
B39H0027,001,39HB0027,174960,433580,770,14-05-1969,14-05-1969,14-09-1990,770,0,77,-1923


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B39H0027,001,14-06-1950,160,166,611,,,,,,
B39H0027,001,28-06-1950,157,163,614,,,,,,
B39H0027,001,14-07-1950,184,190,587,,,,,,
B39H0027,001,28-07-1950,240,246,531,,,,,,
B39H0027,001,14-08-1950,204,210,567,,,,,,
B39H0027,001,28-08-1950,229,235,542,,,,,,
B39H0027,001,14-09-1950,178,184,593,,,,,,
B39H0027,001,28-09-1950,156,162,615,,,,,,
B39H0027,001,14-10-1950,200,206,571,,,,,,
B39H0027,001,28-10-1950,232,238,539,,,,,,
B39H0027,001,14-11-1950,184,190,587,,,,,,
B39H0027,001,28-11-1950,65,71,706,,,,,,
B39H0027,001,14-12-1950,29,35,742,,,,,,
B39H0027,001,28-12-1950,106,112,665,,,,,,
B39H0027,001,15-01-1951,45,51,726,,,,,,
B39H0027,001,29-01-1951,9,15,762,,,,,,
B39H0027,001,14-02-1951,106,112,665,,,,,,
B39H0027,001,28-02-1951,40,46,731,,,,,,
B39H0027,001,14-03-1951,127,133,644,,,,,,
B39H0027,001,28-03-1951,27,33,744,,,,,,
B39H0027,001,14-04-1951,21,27,750,,,,,,
B39H0027,001,28-04-1951,108,114,663,,,,,,
B39H0027,001,15-05-1951,126,132,645,,,,,,
B39H0027,001,28-05-1951,132,138,639,,,,,,
B39H0027,001,14-06-1951,102,108,669,,,,,,
B39H0027,001,28-06-1951,74,80,697,,,,,,
B39H0027,001,14-07-1951,110,116,661,,,,,,
B39H0027,001,28-07-1951,95,101,676,,,,,,
B39H0027,001,14-08-1951,117,123,654,,,,,,
B39H0027,001,28-08-1951,141,147,630,,,,,,
B39H0027,001,14-09-1951,181,187,590,,,,,,
B39H0027,001,28-09-1951,204,210,567,,,,,,
B39H0027,001,15-10-1951,238,244,533,,,,,,
B39H0027,001,14-11-1951,237,243,534,,,,,,
B39H0027,001,28-11-1951,92,98,679,,,,,,
B39H0027,001,14-12-1951,121,127,650,,,,,,
B39H0027,001,28-12-1951,157,163,614,,,,,,
B39H0027,001,14-01-1952,47,53,724,,,,,,
B39H0027,001,28-01-1952,83,89,688,,,,,,
B39H0027,001,14-02-1952,58,64,713,,,,,,
B39H0027,001,28-02-1952,80,86,691,,,,,,
B39H0027,001,14-03-1952,60,66,711,,,,,,
B39H0027,001,28-03-1952,38,44,733,,,,,,
B39H0027,001,15-04-1952,132,138,639,,,,,,
B39H0027,001,28-04-1952,92,98,679,,,,,,
B39H0027,001,14-05-1952,130,136,641,,,,,,
B39H0027,001,28-05-1952,158,164,613,,,,,,
B39H0027,001,14-06-1952,163,169,608,,,,,,
B39H0027,001,28-06-1952,152,158,619,,,,,,
B39H0027,001,14-07-1952,170,176,601,,,,,,
B39H0027,001,28-07-1952,237,243,534,,,,,,
B39H0027,001,14-08-1952,236,242,535,,,,,,
B39H0027,001,28-08-1952,238,244,533,,,,,,
B39H0027,001,15-09-1952,246,252,525,,,,,,
B39H0027,001,29-09-1952,225,231,546,,,,,,
B39H0027,001,14-10-1952,185,191,586,,,,,,
B39H0027,001,28-10-1952,128,134,643,,,,,,
B39H0027,001,14-11-1952,33,39,738,,,,,,
B39H0027,001,28-11-1952,58,64,713,,,,,,
B39H0027,001,15-12-1952,39,45,732,,,,,,
B39H0027,001,29-12-1952,,,,O,,,,,
B39H0027,001,14-01-1953,90,96,681,,,,,,
B39H0027,001,28-01-1953,140,146,631,,,,,,
B39H0027,001,14-02-1953,86,92,685,,,,,,
B39H0027,001,28-02-1953,,,,O,,,,,
B39H0027,001,14-03-1953,106,112,665,,,,,,
B39H0027,001,28-03-1953,154,160,617,,,,,,
B39H0027,001,14-04-1953,145,151,626,,,,,,
B39H0027,001,28-04-1953,161,167,610,,,,,,
B39H0027,001,15-05-1953,187,193,584,,,,,,
B39H0027,001,28-05-1953,203,209,568,,,,,,
B39H0027,001,14-12-1953,297,303,474,,,,,,
B39H0027,001,28-04-1954,198,204,573,,,,,,
B39H0027,001,14-10-1954,39,45,732,,,,,,
B39H0027,001,28-04-1955,135,141,636,,,,,,
B39H0027,001,14-10-1955,250,256,521,,,,,,
B39H0027,001,28-04-1956,45,51,726,,,,,,
B39H0027,001,15-10-1956,36,42,735,,,,,,
B39H0027,001,29-04-1957,154,160,617,,,,,,
B39H0027,001,14-10-1957,122,128,649,,,,,,
B39H0027,001,28-04-1958,96,102,675,,,,,,
B39H0027,001,28-08-1958,78,84,693,,,,,,
B39H0027,001,14-10-1958,175,181,596,,,,,,
B39H0027,001,28-04-1959,156,162,615,,,,,,
B39H0027,001,28-08-1959,253,259,518,,,,,,
B39H0027,001,14-10-1959,322,328,449,,,,,,
B39H0027,001,15-12-1959,275,281,496,,,,,,
B39H0027,001,28-04-1960,210,216,561,,,,,,
B39H0027,001,29-08-1960,60,66,711,,,,,,
B39H0027,001,14-10-1960,55,61,716,,,,,,
B39H0027,001,14-12-1960,26,32,745,,,,,,
B39H0027,001,28-04-1961,130,136,641,,,,,,
B39H0027,001,28-08-1961,102,108,669,,,,,,
B39H0027,001,17-10-1961,233,239,538,,,,,,
B39H0027,001,15-12-1961,55,61,716,,,,,,
B39H0027,001,27-04-1962,83,89,688,,,,,,
B39H0027,001,28-08-1962,198,204,573,,,,,,
B39H0027,001,15-10-1962,289,295,482,,,,,,
B39H0027,001,14-12-1962,310,316,461,,,,,,
B39H0027,001,29-04-1963,101,107,670,,,,,,
B39H0027,001,28-08-1963,144,150,627,,,,,,
B39H0027,001,14-10-1963,141,147,630,,,,,,
B39H0027,001,13-12-1963,165,171,606,,,,,,
B39H0027,001,28-04-1964,173,179,598,,,,,,
B39H0027,001,28-08-1964,292,298,479,,,,,,
B39H0027,001,14-10-1964,293,299,478,,,,,,
B39H0027,001,14-12-1964,215,221,556,,,,,,
B39H0027,001,28-04-1965,64,70,707,,,,,,
B39H0027,001,27-08-1965,95,101,676,,,,,,
B39H0027,001,14-10-1965,120,126,651,,,,,,
B39H0027,001,14-12-1965,12,18,759,,,,,,
B39H0027,001,28-04-1966,66,72,705,,,,,,
B39H0027,001,29-08-1966,68,74,703,,,,,,
B39H0027,001,14-10-1966,175,181,596,,,,,,
B39H0027,001,14-12-1966,,,,O,,,,,
B39H0027,001,28-04-1967,98,104,673,,,,,,
B39H0027,001,28-08-1967,161,167,610,,,,,,
B39H0027,001,13-10-1967,169,175,602,,,,,,
B39H0027,001,14-12-1967,125,131,646,,,,,,
B39H0027,001,29-04-1968,52,58,719,,,,,,
B39H0027,001,28-08-1968,75,81,696,,,,,,
B39H0027,001,14-10-1968,32,38,739,,,,,,
B39H0027,001,13-12-1968,147,153,624,,,,,,
B39H0027,001,14-05-1969,37,37,733,,,,,,
B39H0027,001,28-08-1969,49,49,721,,,,,,
B39H0027,001,14-10-1969,139,139,631,,,,,,
B39H0027,001,15-12-1969,158,158,612,,,,,,
B39H0027,001,28-04-1970,15,15,755,,,,,,
B39H0027,001,28-08-1970,91,91,679,,,,,,
B39H0027,001,14-10-1970,150,150,620,,,,,,
B39H0027,001,14-12-1970,104,104,666,,,,,,
B39H0027,001,28-04-1971,227,227,543,,,,,,
B39H0027,001,27-08-1971,222,222,548,,,,,,
B39H0027,001,14-10-1971,302,302,468,,,,,,
B39H0027,001,14-12-1971,265,265,505,,,,,,
B39H0027,001,28-04-1972,185,185,585,,,,,,
B39H0027,001,28-08-1972,184,184,586,,,,,,
B39H0027,001,13-10-1972,243,243,527,,,,,,
B39H0027,001,14-12-1972,111,111,659,,,,,,
B39H0027,001,27-04-1973,137,137,633,,,,,,
B39H0027,001,28-08-1973,221,221,549,,,,,,
B39H0027,001,15-10-1973,249,249,521,,,,,,
B39H0027,001,14-12-1973,66,66,704,,,,,,
B39H0027,001,29-04-1974,212,212,558,,,,,,
B39H0027,001,28-08-1974,197,197,573,,,,,,
B39H0027,001,14-10-1974,171,171,599,,,,,,
B39H0027,001,13-12-1974,34,34,736,,,,,,
B39H0027,001,28-04-1975,94,94,676,,,,,,
B39H0027,001,28-08-1975,136,136,634,,,,,,
B39H0027,001,14-10-1975,198,198,572,,,,,,
B39H0027,001,15-12-1975,177,177,593,,,,,,
B39H0027,001,28-04-1976,259,259,511,,,,,,
B39H0027,001,27-08-1976,288,288,482,,,,,,
B39H0027,001,14-10-1976,262,262,508,,,,,,
B39H0027,001,14-12-1976,161,161,609,,,,,,
B39H0027,001,28-04-1977,98,98,672,,,,,,
B39H0027,001,29-08-1977,120,120,650,,,,,,
B39H0027,001,14-10-1977,229,229,541,,,,,,
B39H0027,001,14-12-1977,108,108,662,,,,,,
B39H0027,001,28-04-1978,139,139,631,,,,,,
B39H0027,001,28-08-1978,151,151,619,,,,,,
B39H0027,001,13-10-1978,183,183,587,,,,,,
B39H0027,001,14-12-1978,238,238,532,,,,,,
B39H0027,001,27-04-1979,195,195,575,,,,,,
B39H0027,001,28-08-1979,181,181,589,,,,,,
B39H0027,001,30-10-1979,222,222,548,,,,,,
B39H0027,001,14-12-1979,36,36,734,,,,,,
B39H0027,001,28-04-1980,132,132,638,,,,,,
B39H0027,001,28-08-1980,137,137,633,,,,,,
B39H0027,001,14-10-1980,199,199,571,,,,,,
B39H0027,001,15-12-1980,153,153,617,,,,,,
B39H0027,001,28-04-1981,133,133,637,,,,,,
B39H0027,001,28-08-1981,152,152,618,,,,,,
B39H0027,001,14-10-1981,92,92,678,,,,,,
B39H0027,001,14-12-1981,5,5,765,,,,,,
B39H0027,001,28-04-1982,132,132,638,,,,,,
B39H0027,001,27-08-1982,151,151,619,,,,,,
B39H0027,001,14-10-1982,124,124,646,,,,,,
B39H0027,001,14-12-1982,34,34,736,,,,,,
B39H0027,001,28-04-1983,38,38,732,,,,,,
B39H0027,001,29-08-1983,198,198,572,,,,,,
B39H0027,001,14-10-1983,225,225,545,,,,,,
B39H0027,001,14-12-1983,203,203,567,,,,,,
B39H0027,001,27-04-1984,217,217,553,,,,,,
B39H0027,001,28-08-1984,192,192,578,,,,,,
B39H0027,001,15-10-1984,153,153,617,,,,,,
B39H0027,001,14-12-1984,176,176,594,,,,,,
B39H0027,001,29-04-1985,121,121,649,,,,,,
B39H0027,001,28-08-1985,187,187,583,,,,,,
B39H0027,001,14-10-1985,247,247,523,,,,,,
B39H0027,001,13-12-1985,218,218,552,,,,,,
B39H0027,001,28-04-1986,35,35,735,,,,,,
B39H0027,001,28-08-1986,203,203,567,,,,,,
B39H0027,001,14-10-1986,257,257,513,,,,,,
B39H0027,001,15-12-1986,197,197,573,,,,,,
B39H0027,001,28-04-1987,108,108,662,,,,,,
B39H0027,001,28-08-1987,123,123,647,,,,,,
B39H0027,001,14-10-1987,123,123,647,,,,,,
B39H0027,001,14-12-1987,160,160,610,,,,,,
B39H0027,001,28-04-1988,78,78,692,,,,,,
B39H0027,001,29-08-1988,212,212,558,,,,,,
B39H0027,001,14-10-1988,164,164,606,,,,,,
B39H0027,001,14-12-1988,37,37,733,,,,,,
B39H0027,001,28-04-1989,38,38,732,,,,,,
B39H0027,001,14-09-1989,258,258,512,,,,,,
B39H0027,001,13-10-1989,264,264,506,,,,,,
B39H0027,001,14-12-1989,330,330,440,,,,,,
B39H0027,001,27-04-1990,195,195,575,,,,,,
