Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0046,001,39HB0046,178780,434670,846,,813,246,-1254,1944/08/24,1960/10/14
B39H0046,001,39HB0046,178780,434670,846,,846,246,-1254,1960/10/14,1979/10/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0046,001,1950/05/30 00:00:00,160,
B39H0046,001,1950/06/14 00:00:00,181,
B39H0046,001,1950/06/29 00:00:00,189,
B39H0046,001,1950/07/14 00:00:00,187,
B39H0046,001,1950/07/28 00:00:00,206,
B39H0046,001,1950/08/14 00:00:00,214,
B39H0046,001,1950/08/28 00:00:00,220,
B39H0046,001,1950/09/14 00:00:00,224,
B39H0046,001,1950/09/28 00:00:00,188,
B39H0046,001,1950/10/14 00:00:00,196,
B39H0046,001,1950/10/28 00:00:00,208,
B39H0046,001,1950/11/14 00:00:00,157,
B39H0046,001,1950/11/28 00:00:00,120,
B39H0046,001,1950/12/15 00:00:00,104,
B39H0046,001,1950/12/28 00:00:00,142,
B39H0046,001,1951/01/15 00:00:00,109,
B39H0046,001,1951/01/29 00:00:00,95,
B39H0046,001,1951/02/14 00:00:00,143,
B39H0046,001,1951/02/28 00:00:00,126,
B39H0046,001,1951/03/14 00:00:00,144,
B39H0046,001,1951/03/28 00:00:00,121,
B39H0046,001,1951/04/16 00:00:00,118,
B39H0046,001,1951/04/28 00:00:00,145,
B39H0046,001,1951/05/15 00:00:00,145,
B39H0046,001,1951/05/28 00:00:00,121,
B39H0046,001,1951/06/14 00:00:00,156,
B39H0046,001,1951/06/28 00:00:00,159,
B39H0046,001,1951/07/14 00:00:00,161,
B39H0046,001,1951/07/28 00:00:00,163,
B39H0046,001,1951/08/14 00:00:00,156,
B39H0046,001,1951/08/28 00:00:00,146,
B39H0046,001,1951/09/14 00:00:00,165,
B39H0046,001,1951/09/28 00:00:00,183,
B39H0046,001,1951/10/15 00:00:00,206,
B39H0046,001,1951/10/29 00:00:00,218,
B39H0046,001,1951/11/14 00:00:00,233,
B39H0046,001,1951/11/28 00:00:00,141,
B39H0046,001,1951/12/14 00:00:00,106,
B39H0046,001,1951/12/28 00:00:00,134,
B39H0046,001,1952/01/14 00:00:00,136,
B39H0046,001,1952/01/28 00:00:00,135,
B39H0046,001,1952/02/14 00:00:00,129,
B39H0046,001,1952/02/28 00:00:00,161,
B39H0046,001,1952/03/14 00:00:00,151,
B39H0046,001,1952/03/28 00:00:00,136,
B39H0046,001,1952/04/15 00:00:00,157,
B39H0046,001,1952/04/28 00:00:00,153,
B39H0046,001,1952/05/14 00:00:00,123,
B39H0046,001,1952/05/28 00:00:00,173,
B39H0046,001,1952/06/14 00:00:00,181,
B39H0046,001,1952/06/28 00:00:00,184,
B39H0046,001,1952/07/14 00:00:00,186,
B39H0046,001,1952/07/28 00:00:00,208,
B39H0046,001,1952/08/14 00:00:00,225,
B39H0046,001,1952/08/28 00:00:00,239,
B39H0046,001,1952/09/15 00:00:00,229,
B39H0046,001,1952/09/29 00:00:00,238,
B39H0046,001,1952/10/14 00:00:00,248,
B39H0046,001,1952/10/28 00:00:00,215,
B39H0046,001,1952/11/14 00:00:00,122,
B39H0046,001,1952/11/28 00:00:00,131,
B39H0046,001,1952/12/15 00:00:00,119,
B39H0046,001,1952/12/29 00:00:00,95,
B39H0046,001,1953/01/14 00:00:00,142,
B39H0046,001,1953/01/28 00:00:00,178,
B39H0046,001,1953/02/14 00:00:00,122,
B39H0046,001,1953/02/28 00:00:00,144,
B39H0046,001,1953/03/14 00:00:00,175,
B39H0046,001,1953/03/28 00:00:00,171,
B39H0046,001,1953/04/14 00:00:00,154,
B39H0046,001,1953/04/28 00:00:00,160,
B39H0046,001,1953/05/15 00:00:00,186,
B39H0046,001,1953/05/28 00:00:00,203,
B39H0046,001,1953/06/15 00:00:00,191,
B39H0046,001,1953/06/29 00:00:00,144,
B39H0046,001,1953/07/14 00:00:00,157,
B39H0046,001,1953/07/28 00:00:00,156,
B39H0046,001,1953/08/14 00:00:00,171,
B39H0046,001,1953/08/28 00:00:00,163,
B39H0046,001,1953/09/14 00:00:00,193,
B39H0046,001,1953/09/28 00:00:00,205,
B39H0046,001,1953/10/14 00:00:00,226,
B39H0046,001,1953/10/28 00:00:00,233,
B39H0046,001,1953/11/14 00:00:00,271,
B39H0046,001,1953/11/28 00:00:00,283,
B39H0046,001,1953/12/14 00:00:00,260,
B39H0046,001,1953/12/28 00:00:00,257,
B39H0046,001,1954/01/14 00:00:00,268,
B39H0046,001,1954/01/28 00:00:00,198,
B39H0046,001,1954/02/15 00:00:00,184,
B39H0046,001,1954/03/01 00:00:00,193,
B39H0046,001,1954/03/15 00:00:00,175,
B39H0046,001,1954/03/29 00:00:00,194,
B39H0046,001,1954/04/14 00:00:00,177,
B39H0046,001,1954/04/28 00:00:00,204,
B39H0046,001,1954/05/14 00:00:00,199,
B39H0046,001,1954/05/28 00:00:00,196,
B39H0046,001,1954/06/14 00:00:00,206,
B39H0046,001,1954/06/28 00:00:00,212,
B39H0046,001,1954/07/14 00:00:00,207,
B39H0046,001,1954/07/28 00:00:00,185,
B39H0046,001,1954/08/14 00:00:00,150,
B39H0046,001,1954/08/28 00:00:00,136,
B39H0046,001,1954/09/14 00:00:00,150,
B39H0046,001,1954/09/28 00:00:00,133,
B39H0046,001,1954/10/14 00:00:00,136,
B39H0046,001,1954/10/28 00:00:00,122,
B39H0046,001,1954/11/15 00:00:00,139,
B39H0046,001,1954/11/28 00:00:00,153,
B39H0046,001,1954/12/14 00:00:00,137,
B39H0046,001,1954/12/28 00:00:00,121,
B39H0046,001,1955/01/14 00:00:00,132,
