Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0110,001,39HP0110,170950,435000,769,,766,-3946,-4046,1972/02/23,1978/04/28
B39H0110,001,39HP0110,170950,435000,769,,759,-3946,-4046,1978/04/28,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0110,001,1975/04/18 00:00:00,87,
B39H0110,001,1975/04/28 00:00:00,97,
B39H0110,001,1975/08/28 00:00:00,154,
B39H0110,001,1975/10/14 00:00:00,258,
B39H0110,001,1975/12/15 00:00:00,221,
B39H0110,001,1976/04/28 00:00:00,293,
B39H0110,001,1976/08/27 00:00:00,332,
B39H0110,001,1976/10/14 00:00:00,303,
B39H0110,001,1976/12/14 00:00:00,158,
B39H0110,001,1977/04/28 00:00:00,105,
B39H0110,001,1977/08/29 00:00:00,129,
B39H0110,001,1977/10/14 00:00:00,277,
B39H0110,001,1977/12/14 00:00:00,141,
B39H0110,001,1978/04/28 00:00:00,182,
B39H0110,001,1978/08/28 00:00:00,193,
B39H0110,001,1978/10/13 00:00:00,239,
B39H0110,001,1978/12/14 00:00:00,236,
B39H0110,001,1979/04/27 00:00:00,102,
B39H0110,001,1979/08/28 00:00:00,225,
B39H0110,001,1979/10/15 00:00:00,281,
B39H0110,001,1979/12/14 00:00:00,55,
B39H0110,001,1980/04/28 00:00:00,165,
B39H0110,001,1980/08/28 00:00:00,173,
B39H0110,001,1980/10/14 00:00:00,246,
B39H0110,001,1980/12/15 00:00:00,105,
B39H0110,001,1981/04/28 00:00:00,178,
B39H0110,001,1981/08/28 00:00:00,204,
B39H0110,001,1981/10/14 00:00:00,114,
B39H0110,001,1982/04/26 00:00:00,189,
B39H0110,001,1982/08/27 00:00:00,195,
B39H0110,001,1982/10/14 00:00:00,136,
B39H0110,001,1982/12/14 00:00:00,10,
B39H0110,001,1983/05/16 00:00:00,31,
B39H0110,001,1983/08/29 00:00:00,263,
B39H0110,001,1983/10/26 00:00:00,271,
B39H0110,001,1983/12/14 00:00:00,168,
B39H0110,001,1984/05/02 00:00:00,202,
B39H0110,001,1984/08/28 00:00:00,239,
B39H0110,001,1984/10/15 00:00:00,69,
B39H0110,001,1985/02/28 00:00:00,186,
B39H0110,001,1985/04/26 00:00:00,150,
B39H0110,001,1985/08/28 00:00:00,231,
B39H0110,001,1985/10/22 00:00:00,336,
B39H0110,001,1985/11/07 00:00:00,353,
B39H0110,001,1985/12/15 00:00:00,260,
B39H0110,001,1986/04/28 00:00:00,10,
B39H0110,001,1986/08/28 00:00:00,210,
B39H0110,001,1986/10/21 00:00:00,319,
B39H0110,001,1986/12/15 00:00:00,258,
B39H0110,001,1987/05/07 00:00:00,158,
B39H0110,001,1987/09/28 00:00:00,200,
B39H0110,001,1987/10/14 00:00:00,119,
B39H0110,001,1988/01/02 00:00:00,133,
B39H0110,001,1988/04/28 00:00:00,130,
B39H0110,001,1988/09/13 00:00:00,237,
B39H0110,001,1988/10/14 00:00:00,167,
B39H0110,001,1988/12/14 00:00:00,,O
B39H0110,001,1989/08/29 00:00:00,277,
B39H0110,001,1989/10/29 00:00:00,212,
B39H0110,001,1989/12/14 00:00:00,79,
B39H0110,001,1990/05/16 00:00:00,250,
B39H0110,001,1990/09/12 00:00:00,325,
B39H0110,001,1990/12/17 00:00:00,234,
B39H0110,001,1991/05/31 00:00:00,222,
B39H0110,001,1991/08/28 00:00:00,234,
B39H0110,001,1991/10/21 00:00:00,329,
B39H0110,001,1991/12/24 00:00:00,110,
B39H0110,001,1992/05/01 15:00:00,199,
B39H0110,001,1992/09/04 00:00:00,135,
B39H0110,001,1992/11/09 00:00:00,222,
B39H0110,001,1993/05/26 00:00:00,231,
B39H0110,001,1993/09/17 00:00:00,228,
B39H0110,001,1993/10/14 00:00:00,125,
B39H0110,001,1994/05/04 00:00:00,231,
B39H0110,001,1995/08/25 00:00:00,299,
B39H0110,001,1995/11/26 00:00:00,134,
B39H0110,001,1996/01/14 00:00:00,130,
B39H0110,001,1996/04/27 00:00:00,222,
B39H0110,001,1996/08/28 11:45:00,269,
B39H0110,001,1996/11/09 13:00:00,222,
B39H0110,001,1997/09/04 13:30:00,260,
B39H0110,001,1997/10/14 17:30:00,245,
B39H0110,001,1998/09/04 12:00:00,205,
B39H0110,001,1998/10/12 16:30:00,130,
B39H0110,001,1998/12/15 11:00:00,150,
B39H0110,001,1999/04/28 13:30:00,122,
B39H0110,001,1999/08/30 09:30:00,232,
B39H0110,001,1999/12/14 10:45:00,150,
B39H0110,001,2000/05/01 12:00:00,139,
B39H0110,001,2000/09/01 11:30:00,135,
