Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0170,001,39HP0170,173500,436620,646,,676,-74,-174,1973/06/05,1992/05/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0170,001,1973/08/28 00:00:00,92,
B39H0170,001,1973/10/15 00:00:00,87,
B39H0170,001,1973/12/14 00:00:00,32,
B39H0170,001,1974/04/29 00:00:00,81,
B39H0170,001,1974/08/28 00:00:00,72,
B39H0170,001,1974/10/14 00:00:00,62,
B39H0170,001,1974/12/13 00:00:00,14,
B39H0170,001,1975/04/28 00:00:00,37,
B39H0170,001,1975/08/28 00:00:00,56,
B39H0170,001,1975/10/14 00:00:00,75,
B39H0170,001,1975/12/15 00:00:00,91,
B39H0170,001,1976/04/28 00:00:00,98,
B39H0170,001,1976/08/27 00:00:00,115,
B39H0170,001,1976/10/14 00:00:00,103,
B39H0170,001,1976/12/14 00:00:00,95,
B39H0170,001,1977/04/28 00:00:00,42,
B39H0170,001,1977/08/29 00:00:00,29,
B39H0170,001,1977/10/14 00:00:00,79,
B39H0170,001,1977/12/14 00:00:00,45,
B39H0170,001,1978/04/28 00:00:00,46,
B39H0170,001,1978/08/28 00:00:00,54,
B39H0170,001,1978/10/13 00:00:00,65,
B39H0170,001,1978/12/14 00:00:00,64,
B39H0170,001,1979/04/27 00:00:00,28,
B39H0170,001,1979/08/28 00:00:00,65,
B39H0170,001,1979/10/15 00:00:00,79,
B39H0170,001,1979/12/15 00:00:00,12,
B39H0170,001,1980/04/30 00:00:00,41,
B39H0170,001,1980/08/28 00:00:00,46,
B39H0170,001,1980/10/14 00:00:00,73,
B39H0170,001,1980/12/15 00:00:00,58,
B39H0170,001,1981/04/28 00:00:00,59,
B39H0170,001,1981/08/28 00:00:00,67,
B39H0170,001,1981/10/14 00:00:00,40,
B39H0170,001,1981/12/14 00:00:00,7,
B39H0170,001,1982/04/28 00:00:00,54,
B39H0170,001,1982/08/27 00:00:00,60,
B39H0170,001,1982/10/14 00:00:00,45,
B39H0170,001,1982/12/14 00:00:00,27,
B39H0170,001,1983/02/03 00:00:00,14,
B39H0170,001,1983/04/28 00:00:00,3,
B39H0170,001,1983/08/29 00:00:00,82,
B39H0170,001,1983/10/12 00:00:00,74,
B39H0170,001,1983/12/14 00:00:00,60,
B39H0170,001,1984/04/27 00:00:00,51,
B39H0170,001,1984/08/28 00:00:00,70,
B39H0170,001,1984/10/15 00:00:00,24,
B39H0170,001,1984/12/13 00:00:00,64,
B39H0170,001,1985/04/29 00:00:00,37,
B39H0170,001,1985/08/28 00:00:00,55,
B39H0170,001,1985/10/14 00:00:00,79,
B39H0170,001,1985/12/12 00:00:00,81,
B39H0170,001,1986/04/28 00:00:00,21,
B39H0170,001,1986/08/28 00:00:00,64,
B39H0170,001,1986/10/14 00:00:00,85,
B39H0170,001,1986/12/15 00:00:00,67,
B39H0170,001,1987/04/28 00:00:00,36,
B39H0170,001,1987/08/28 00:00:00,37,
B39H0170,001,1987/10/14 11:35:00,48,
B39H0170,001,1987/12/14 00:00:00,59,
B39H0170,001,1988/04/28 11:20:00,27,
B39H0170,001,1988/08/29 16:30:00,69,
B39H0170,001,1988/10/14 12:20:00,48,
B39H0170,001,1988/12/14 09:55:00,20,
B39H0170,001,1989/03/02 00:00:00,39,
B39H0170,001,1989/04/28 15:58:00,18,
B39H0170,001,1989/08/28 14:05:00,81,
B39H0170,001,1989/10/13 14:10:00,96,
B39H0170,001,1989/12/14 12:25:00,94,
B39H0170,001,1990/04/27 12:25:00,66,
B39H0170,001,1990/08/28 09:25:00,92,
B39H0170,001,1990/09/05 00:00:00,89,
B39H0170,001,1990/10/15 16:20:00,89,
B39H0170,001,1990/12/13 15:00:00,46,
B39H0170,001,1991/04/29 12:30:00,78,
B39H0170,001,1991/08/28 14:30:00,96,
B39H0170,001,1991/10/14 11:45:00,95,
B39H0170,001,1991/12/13 13:35:00,99,
B39H0170,001,1992/04/27 17:45:00,44,
