Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0187,001,39HP0187,177970,431710,782,,781,-4018,-4118,1974/07/01,1982/10/26
B39H0187,001,39HP0187,177970,431710,782,,780,-4018,-4118,1982/10/26,1986/04/03
B39H0187,001,39HP0187,177970,431710,782,,779,-4018,-4118,1986/04/03,2018/03/14
B39H0187,001,39HP0187,177970,431710,782,,779,-4018,-4118,2018/03/14,2019/12/31

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0187,001,1975/08/28 00:00:00,124,
B39H0187,001,1975/09/14 00:00:00,129,
B39H0187,001,1975/09/29 00:00:00,131,
B39H0187,001,1975/10/14 00:00:00,146,
B39H0187,001,1975/12/15 00:00:00,151,
B39H0187,001,1976/04/28 00:00:00,172,
B39H0187,001,1976/08/27 00:00:00,187,
B39H0187,001,1976/10/14 00:00:00,193,
B39H0187,001,1976/12/14 00:00:00,197,
B39H0187,001,1977/04/28 00:00:00,122,
B39H0187,001,1977/08/29 00:00:00,122,
B39H0187,001,1977/10/14 00:00:00,154,
B39H0187,001,1977/12/14 00:00:00,109,
B39H0187,001,1978/04/28 00:00:00,101,
B39H0187,001,1978/08/28 00:00:00,112,
B39H0187,001,1978/10/13 00:00:00,126,
B39H0187,001,1978/12/14 00:00:00,141,
B39H0187,001,1979/04/27 00:00:00,64,
B39H0187,001,1979/08/28 00:00:00,101,
B39H0187,001,1979/10/15 00:00:00,119,
B39H0187,001,1979/12/14 00:00:00,109,
B39H0187,001,1980/12/15 00:00:00,105,
B39H0187,001,1981/01/28 00:00:00,76,
B39H0187,001,1981/02/28 00:00:00,86,
B39H0187,001,1981/03/27 00:00:00,56,
B39H0187,001,1981/04/28 00:00:00,73,
