Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0299,001,39HB0001,174960,437300,661,,652,-439,-1039,1952/11/28,1994/10/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0299,001,1952/11/28 00:00:00,30,
B39H0299,001,1952/12/15 00:00:00,,O
B39H0299,001,1952/12/29 00:00:00,,O
B39H0299,001,1953/01/14 00:00:00,,O
B39H0299,001,1953/01/28 00:00:00,40,
B39H0299,001,1953/02/28 00:00:00,20,
B39H0299,001,1953/03/14 00:00:00,30,
B39H0299,001,1953/03/28 00:00:00,40,
B39H0299,001,1953/04/14 00:00:00,45,
B39H0299,001,1953/04/28 00:00:00,40,
B39H0299,001,1953/05/15 00:00:00,47,
B39H0299,001,1953/05/28 00:00:00,60,
B39H0299,001,1953/06/15 00:00:00,65,
B39H0299,001,1953/06/29 00:00:00,45,
B39H0299,001,1953/07/14 00:00:00,40,
B39H0299,001,1953/07/28 00:00:00,35,
B39H0299,001,1953/08/14 00:00:00,35,
B39H0299,001,1953/08/28 00:00:00,25,
B39H0299,001,1953/09/14 00:00:00,60,
B39H0299,001,1953/09/28 00:00:00,80,
B39H0299,001,1953/10/14 00:00:00,85,
B39H0299,001,1953/10/28 00:00:00,90,
B39H0299,001,1953/11/14 00:00:00,110,
B39H0299,001,1953/11/28 00:00:00,120,
B39H0299,001,1953/12/14 00:00:00,150,
B39H0299,001,1953/12/28 00:00:00,140,
B39H0299,001,1954/01/14 00:00:00,150,
B39H0299,001,1954/01/28 00:00:00,140,
B39H0299,001,1954/02/15 00:00:00,130,
B39H0299,001,1954/03/01 00:00:00,125,
B39H0299,001,1954/03/15 00:00:00,100,
B39H0299,001,1954/03/29 00:00:00,90,
B39H0299,001,1954/04/14 00:00:00,60,
B39H0299,001,1954/04/28 00:00:00,50,
B39H0299,001,1954/05/14 00:00:00,40,
B39H0299,001,1954/05/28 00:00:00,80,
B39H0299,001,1954/06/14 00:00:00,70,
B39H0299,001,1954/06/28 00:00:00,70,
B39H0299,001,1954/07/14 00:00:00,90,
B39H0299,001,1954/07/28 00:00:00,85,
B39H0299,001,1954/08/14 00:00:00,80,
B39H0299,001,1954/08/28 00:00:00,75,
B39H0299,001,1954/09/14 00:00:00,70,
B39H0299,001,1954/09/28 00:00:00,60,
B39H0299,001,1954/10/14 00:00:00,50,
B39H0299,001,1954/10/28 00:00:00,40,
B39H0299,001,1954/11/15 00:00:00,35,
B39H0299,001,1954/11/29 00:00:00,30,
B39H0299,001,1954/12/14 00:00:00,30,
B39H0299,001,1954/12/28 00:00:00,20,
B39H0299,001,1955/01/14 00:00:00,15,
B39H0299,001,1955/11/14 00:00:00,165,
B39H0299,001,1955/12/28 00:00:00,106,
B39H0299,001,1956/03/14 00:00:00,98,
B39H0299,001,1956/03/28 00:00:00,71,
B39H0299,001,1956/04/14 00:00:00,98,
B39H0299,001,1956/05/14 00:00:00,45,
B39H0299,001,1956/05/28 00:00:00,46,
B39H0299,001,1956/06/14 00:00:00,46,
B39H0299,001,1956/06/28 00:00:00,102,
B39H0299,001,1956/07/14 00:00:00,100,
B39H0299,001,1956/07/28 00:00:00,1,
B39H0299,001,1956/08/14 00:00:00,8,
B39H0299,001,1956/08/28 00:00:00,5,
B39H0299,001,1956/09/14 00:00:00,10,
B39H0299,001,1956/09/28 00:00:00,3,
B39H0299,001,1956/10/15 00:00:00,3,
B39H0299,001,1956/11/14 00:00:00,13,
B39H0299,001,1956/11/28 00:00:00,4,
B39H0299,001,1956/12/14 00:00:00,45,
B39H0299,001,1956/12/28 00:00:00,32,
B39H0299,001,1957/01/28 00:00:00,44,
B39H0299,001,1957/02/14 00:00:00,17,
B39H0299,001,1957/02/28 00:00:00,18,
B39H0299,001,1957/03/14 00:00:00,18,
B39H0299,001,1957/03/28 00:00:00,16,
B39H0299,001,1957/04/28 00:00:00,16,
B39H0299,001,1957/05/14 00:00:00,49,
B39H0299,001,1957/05/28 00:00:00,56,
B39H0299,001,1957/06/14 00:00:00,60,
B39H0299,001,1957/06/28 00:00:00,63,
B39H0299,001,1957/07/15 00:00:00,60,
B39H0299,001,1957/07/29 00:00:00,55,
B39H0299,001,1957/08/14 00:00:00,54,
B39H0299,001,1957/08/28 00:00:00,46,
B39H0299,001,1957/09/16 00:00:00,17,
B39H0299,001,1957/09/28 00:00:00,16,
B39H0299,001,1957/10/14 00:00:00,40,
B39H0299,001,1957/10/28 00:00:00,45,
B39H0299,001,1957/11/14 00:00:00,38,
B39H0299,001,1957/11/28 00:00:00,68,
B39H0299,001,1957/12/16 00:00:00,60,
B39H0299,001,1957/12/31 00:00:00,60,
B39H0299,001,1958/01/14 00:00:00,5,
B39H0299,001,1958/01/28 00:00:00,18,
B39H0299,001,1958/02/28 00:00:00,,O
B39H0299,001,1958/03/14 00:00:00,18,
B39H0299,001,1958/03/28 00:00:00,27,
B39H0299,001,1958/04/14 00:00:00,35,
B39H0299,001,1958/05/14 00:00:00,5,
B39H0299,001,1958/05/28 00:00:00,18,
B39H0299,001,1958/06/14 00:00:00,33,
B39H0299,001,1958/06/28 00:00:00,33,
B39H0299,001,1958/07/14 00:00:00,38,
B39H0299,001,1958/07/28 00:00:00,18,
B39H0299,001,1958/08/14 00:00:00,44,
B39H0299,001,1958/08/28 00:00:00,49,
B39H0299,001,1958/09/14 00:00:00,68,
B39H0299,001,1958/09/28 00:00:00,79,
B39H0299,001,1958/10/14 00:00:00,62,
B39H0299,001,1958/10/28 00:00:00,69,
B39H0299,001,1958/11/14 00:00:00,69,
B39H0299,001,1958/11/28 00:00:00,68,
B39H0299,001,1958/12/14 00:00:00,81,
B39H0299,001,1958/12/28 00:00:00,79,
B39H0299,001,1959/01/14 00:00:00,12,
B39H0299,001,1959/01/28 00:00:00,1,
B39H0299,001,1959/02/14 00:00:00,72,
B39H0299,001,1959/02/28 00:00:00,90,
B39H0299,001,1959/03/14 00:00:00,98,
B39H0299,001,1959/03/28 00:00:00,3,
B39H0299,001,1959/04/14 00:00:00,18,
B39H0299,001,1959/04/28 00:00:00,25,
B39H0299,001,1959/05/14 00:00:00,18,
B39H0299,001,1959/05/28 00:00:00,24,
B39H0299,001,1959/06/15 00:00:00,40,
B39H0299,001,1959/06/28 00:00:00,48,
B39H0299,001,1959/07/14 00:00:00,18,
B39H0299,001,1959/07/28 00:00:00,33,
B39H0299,001,1959/08/14 00:00:00,45,
B39H0299,001,1959/08/28 00:00:00,68,
B39H0299,001,1959/09/14 00:00:00,70,
B39H0299,001,1959/10/14 00:00:00,115,
B39H0299,001,1960/04/28 00:00:00,141,
B39H0299,001,1961/04/28 00:00:00,78,
B39H0299,001,1961/10/13 00:00:00,40,
B39H0299,001,1962/04/27 00:00:00,23,
B39H0299,001,1962/08/28 00:00:00,146,
B39H0299,001,1962/10/15 00:00:00,88,
B39H0299,001,1962/12/14 00:00:00,128,
B39H0299,001,1963/04/29 00:00:00,40,
B39H0299,001,1963/08/28 00:00:00,119,
B39H0299,001,1963/10/14 00:00:00,54,
B39H0299,001,1963/12/13 00:00:00,63,
B39H0299,001,1964/04/28 00:00:00,51,
B39H0299,001,1964/09/14 00:00:00,133,
B39H0299,001,1964/10/14 00:00:00,158,
B39H0299,001,1964/12/14 00:00:00,45,
B39H0299,001,1965/04/28 00:00:00,5,
B39H0299,001,1965/08/27 00:00:00,176,
B39H0299,001,1965/10/14 00:00:00,65,
B39H0299,001,1965/12/14 00:00:00,-5,
B39H0299,001,1966/04/28 00:00:00,13,
B39H0299,001,1966/09/02 00:00:00,124,
B39H0299,001,1966/10/12 00:00:00,108,
B39H0299,001,1966/12/14 00:00:00,5,
B39H0299,001,1967/04/28 00:00:00,28,
B39H0299,001,1967/08/28 00:00:00,55,
B39H0299,001,1967/10/12 00:00:00,65,
B39H0299,001,1967/12/14 00:00:00,60,
B39H0299,001,1968/04/29 00:00:00,43,
B39H0299,001,1968/08/28 00:00:00,45,
B39H0299,001,1968/10/14 00:00:00,10,
B39H0299,001,1968/12/13 00:00:00,95,
B39H0299,001,1969/04/28 00:00:00,23,
B39H0299,001,1969/08/28 00:00:00,30,
B39H0299,001,1969/10/14 00:00:00,65,
B39H0299,001,1969/12/15 00:00:00,95,
B39H0299,001,1970/05/19 00:00:00,45,
B39H0299,001,1970/08/31 00:00:00,152,
B39H0299,001,1970/11/09 00:00:00,50,
B39H0299,001,1971/01/15 00:00:00,90,
B39H0299,001,1971/04/27 00:00:00,70,
B39H0299,001,1971/08/26 00:00:00,48,
B39H0299,001,1971/10/13 00:00:00,175,
B39H0299,001,1971/12/16 00:00:00,90,
B39H0299,001,1972/06/01 00:00:00,40,
B39H0299,001,1972/08/28 00:00:00,57,
B39H0299,001,1972/10/13 00:00:00,65,
B39H0299,001,1972/12/13 00:00:00,65,
B39H0299,001,1973/05/21 00:00:00,43,
B39H0299,001,1973/08/27 00:00:00,167,
B39H0299,001,1973/10/17 00:00:00,16,
B39H0299,001,1973/12/14 00:00:00,32,
