Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0305,001,39HB0025,179080,431990,799,,821,279,-1151,1950/08/14,1976/08/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0305,001,1950/08/14 00:00:00,136,
B39H0305,001,1950/08/28 00:00:00,151,
B39H0305,001,1950/09/14 00:00:00,135,
B39H0305,001,1950/09/28 00:00:00,102,
B39H0305,001,1950/10/14 00:00:00,123,
B39H0305,001,1950/10/28 00:00:00,149,
B39H0305,001,1950/11/14 00:00:00,121,
B39H0305,001,1950/11/28 00:00:00,16,
B39H0305,001,1950/12/14 00:00:00,4,
B39H0305,001,1950/12/28 00:00:00,37,
B39H0305,001,1951/01/15 00:00:00,13,
B39H0305,001,1951/01/29 00:00:00,-3,
B39H0305,001,1951/02/14 00:00:00,35,
B39H0305,001,1951/02/28 00:00:00,20,
B39H0305,001,1951/03/14 00:00:00,48,
B39H0305,001,1951/03/28 00:00:00,12,
B39H0305,001,1951/04/14 00:00:00,15,
B39H0305,001,1951/04/28 00:00:00,40,
B39H0305,001,1951/05/15 00:00:00,53,
B39H0305,001,1951/05/28 00:00:00,49,
B39H0305,001,1951/06/14 00:00:00,54,
B39H0305,001,1951/06/28 00:00:00,39,
B39H0305,001,1951/07/14 00:00:00,48,
B39H0305,001,1951/07/28 00:00:00,45,
B39H0305,001,1951/08/14 00:00:00,38,
B39H0305,001,1951/08/28 00:00:00,64,
B39H0305,001,1951/09/14 00:00:00,91,
B39H0305,001,1951/09/28 00:00:00,120,
B39H0305,001,1951/10/15 00:00:00,151,
B39H0305,001,1951/10/29 00:00:00,171,
B39H0305,001,1951/11/14 00:00:00,169,
B39H0305,001,1951/11/28 00:00:00,60,
B39H0305,001,1951/12/14 00:00:00,18,
B39H0305,001,1951/12/28 00:00:00,59,
B39H0305,001,1952/01/14 00:00:00,22,
B39H0305,001,1952/01/28 00:00:00,29,
B39H0305,001,1952/02/14 00:00:00,32,
B39H0305,001,1952/02/28 00:00:00,37,
B39H0305,001,1952/03/14 00:00:00,23,
B39H0305,001,1952/03/28 00:00:00,12,
B39H0305,001,1952/04/17 00:00:00,16,
B39H0305,001,1952/04/28 00:00:00,33,
B39H0305,001,1952/05/14 00:00:00,52,
B39H0305,001,1952/05/28 00:00:00,77,
B39H0305,001,1952/06/14 00:00:00,95,
B39H0305,001,1952/06/28 00:00:00,92,
B39H0305,001,1952/07/14 00:00:00,106,
B39H0305,001,1952/07/28 00:00:00,130,
B39H0305,001,1952/08/14 00:00:00,161,
B39H0305,001,1952/08/28 00:00:00,176,
B39H0305,001,1952/09/15 00:00:00,177,
B39H0305,001,1952/09/29 00:00:00,166,
B39H0305,001,1952/10/14 00:00:00,135,
B39H0305,001,1952/10/28 00:00:00,108,
B39H0305,001,1952/11/14 00:00:00,3,
B39H0305,001,1952/11/28 00:00:00,21,
B39H0305,001,1952/12/15 00:00:00,9,
B39H0305,001,1952/12/29 00:00:00,-14,
B39H0305,001,1953/01/14 00:00:00,29,
B39H0305,001,1953/01/28 00:00:00,56,
B39H0305,001,1953/02/14 00:00:00,35,
B39H0305,001,1953/02/28 00:00:00,18,
B39H0305,001,1953/03/14 00:00:00,41,
B39H0305,001,1953/03/28 00:00:00,75,
B39H0305,001,1953/04/14 00:00:00,70,
B39H0305,001,1953/04/28 00:00:00,81,
B39H0305,001,1953/05/15 00:00:00,108,
B39H0305,001,1953/05/28 00:00:00,131,
B39H0305,001,1953/06/15 00:00:00,98,
B39H0305,001,1953/06/29 00:00:00,65,
B39H0305,001,1953/07/14 00:00:00,13,
B39H0305,001,1953/07/28 00:00:00,32,
B39H0305,001,1953/08/14 00:00:00,58,
B39H0305,001,1953/08/28 00:00:00,87,
B39H0305,001,1953/12/14 00:00:00,210,
B39H0305,001,1954/04/28 00:00:00,109,
B39H0305,001,1954/10/14 00:00:00,12,
B39H0305,001,1955/04/28 00:00:00,54,
B39H0305,001,1955/10/14 00:00:00,126,
B39H0305,001,1956/04/28 00:00:00,42,
B39H0305,001,1956/10/15 00:00:00,25,
B39H0305,001,1957/04/29 00:00:00,81,
B39H0305,001,1957/10/14 00:00:00,44,
B39H0305,001,1958/04/28 00:00:00,43,
B39H0305,001,1958/10/14 00:00:00,98,
B39H0305,001,1959/04/28 00:00:00,85,
B39H0305,001,1959/10/14 00:00:00,220,
B39H0305,001,1960/04/28 00:00:00,148,
B39H0305,001,1960/10/14 00:00:00,30,
B39H0305,001,1961/04/28 00:00:00,62,
B39H0305,001,1961/10/13 00:00:00,143,
B39H0305,001,1962/04/27 00:00:00,18,
B39H0305,001,1962/08/28 00:00:00,130,
B39H0305,001,1962/10/15 00:00:00,185,
B39H0305,001,1962/12/14 00:00:00,223,
B39H0305,001,1963/04/29 00:00:00,54,
B39H0305,001,1963/08/28 00:00:00,113,
B39H0305,001,1963/09/28 00:00:00,166,
B39H0305,001,1963/10/14 00:00:00,100,
B39H0305,001,1963/12/13 00:00:00,53,
B39H0305,001,1964/04/28 00:00:00,89,
B39H0305,001,1964/08/28 00:00:00,209,
B39H0305,001,1964/11/13 00:00:00,202,
B39H0305,001,1964/12/14 00:00:00,82,
B39H0305,001,1965/04/28 00:00:00,9,
B39H0305,001,1965/08/27 00:00:00,48,
B39H0305,001,1965/10/14 00:00:00,65,
B39H0305,001,1965/12/14 00:00:00,,O
B39H0305,001,1966/04/28 00:00:00,-3,
B39H0305,001,1966/08/29 00:00:00,9,
B39H0305,001,1966/10/14 00:00:00,59,
B39H0305,001,1966/12/14 00:00:00,,O
B39H0305,001,1967/04/28 00:00:00,78,
B39H0305,001,1967/08/28 00:00:00,94,
B39H0305,001,1967/10/13 00:00:00,110,
B39H0305,001,1967/12/14 00:00:00,57,
B39H0305,001,1968/04/29 00:00:00,48,
B39H0305,001,1968/08/28 00:00:00,28,
B39H0305,001,1968/10/14 00:00:00,-11,
B39H0305,001,1968/12/13 00:00:00,100,
B39H0305,001,1969/04/28 00:00:00,,O
B39H0305,001,1969/08/28 00:00:00,72,
B39H0305,001,1969/10/14 00:00:00,142,
B39H0305,001,1969/12/15 00:00:00,170,
B39H0305,001,1970/04/28 00:00:00,0,
B39H0305,001,1970/08/28 00:00:00,64,
B39H0305,001,1970/10/14 00:00:00,95,
B39H0305,001,1970/12/14 00:00:00,47,
B39H0305,001,1971/04/28 00:00:00,153,
B39H0305,001,1971/08/27 00:00:00,146,
B39H0305,001,1971/10/14 00:00:00,185,
B39H0305,001,1971/12/14 00:00:00,182,
B39H0305,001,1972/04/28 00:00:00,22,
B39H0305,001,1972/08/28 00:00:00,-24,
B39H0305,001,1972/10/13 00:00:00,168,
B39H0305,001,1972/12/14 00:00:00,-32,
B39H0305,001,1973/04/27 00:00:00,-27,
B39H0305,001,1973/08/28 00:00:00,22,
B39H0305,001,1973/10/15 00:00:00,-22,
B39H0305,001,1973/12/14 00:00:00,-22,
B39H0305,001,1974/04/29 00:00:00,26,
B39H0305,001,1974/08/28 00:00:00,-22,
B39H0305,001,1974/10/14 00:00:00,-22,
B39H0305,001,1974/12/13 00:00:00,-22,
B39H0305,001,1975/04/28 00:00:00,47,
B39H0305,001,1975/08/28 00:00:00,-22,
B39H0305,001,1975/10/14 00:00:00,-22,
B39H0305,001,1975/12/15 00:00:00,-22,
B39H0305,001,1976/04/28 00:00:00,47,
