Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0308,001,39HB0060,178780,434670,,,,,,1980/01/01,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0308,001,1980/01/15 00:00:00,,
B39H0308,001,1980/05/01 00:00:00,,
B39H0308,001,1980/08/28 00:00:00,,
B39H0308,001,1980/10/14 00:00:00,,
B39H0308,001,1980/12/15 00:00:00,,
B39H0308,001,1981/04/28 00:00:00,,
B39H0308,001,1981/08/28 00:00:00,,
B39H0308,001,1981/10/14 00:00:00,,
B39H0308,001,1981/12/28 00:00:00,,
B39H0308,001,1982/05/10 00:00:00,,
B39H0308,001,1982/08/27 00:00:00,,
B39H0308,001,1982/10/14 00:00:00,,
B39H0308,001,1982/12/14 00:00:00,,
B39H0308,001,1983/05/11 00:00:00,,
B39H0308,001,1983/08/31 00:00:00,,
B39H0308,001,1983/10/30 00:00:00,,
B39H0308,001,1983/12/21 00:00:00,,
B39H0308,001,1984/04/27 00:00:00,,
B39H0308,001,1984/08/08 00:00:00,,
B39H0308,001,1984/09/11 00:00:00,,
B39H0308,001,1984/10/15 00:00:00,,
B39H0308,001,1984/12/19 00:00:00,,
B39H0308,001,1985/05/03 00:00:00,,
B39H0308,001,1985/10/31 00:00:00,,
B39H0308,001,1986/04/28 00:00:00,,
B39H0308,001,1986/08/28 00:00:00,,
B39H0308,001,1986/10/14 00:00:00,,
B39H0308,001,1986/12/15 00:00:00,,
B39H0308,001,1987/04/28 00:00:00,,
B39H0308,001,1987/08/27 00:00:00,,
B39H0308,001,1987/10/19 00:00:00,,
B39H0308,001,1987/12/14 00:00:00,,
B39H0308,001,1988/04/28 00:00:00,,
B39H0308,001,1988/08/29 00:00:00,,
B39H0308,001,1988/10/14 08:30:00,,
B39H0308,001,1988/12/14 00:00:00,,
B39H0308,001,1989/04/28 00:00:00,,
B39H0308,001,1989/08/28 00:00:00,,
B39H0308,001,1989/10/13 00:00:00,,
B39H0308,001,1989/12/14 10:00:00,,
B39H0308,001,1990/04/27 00:00:00,,
B39H0308,001,1990/08/28 10:00:00,,
B39H0308,001,1990/10/15 00:00:00,,
B39H0308,001,1990/12/14 00:00:00,,
B39H0308,001,1991/04/29 00:00:00,,
B39H0308,001,1991/08/28 00:00:00,,
B39H0308,001,1991/10/14 00:00:00,,
B39H0308,001,1991/12/13 00:00:00,,
B39H0308,001,1992/04/28 00:00:00,,
B39H0308,001,1992/08/28 00:00:00,,
B39H0308,001,1992/10/14 15:45:00,,
B39H0308,001,1992/12/14 00:00:00,,
B39H0308,001,1993/04/28 00:00:00,,
B39H0308,001,1993/08/27 00:00:00,,
B39H0308,001,1993/10/14 00:00:00,,
B39H0308,001,1993/12/14 00:00:00,,
B39H0308,001,1994/04/28 14:30:00,,
B39H0308,001,1994/08/29 00:00:00,,
B39H0308,001,1994/10/14 00:00:00,,
B39H0308,001,1994/12/14 00:00:00,,
B39H0308,001,1995/04/28 00:00:00,,
B39H0308,001,1995/08/28 00:00:00,,
B39H0308,001,1995/10/13 00:00:00,,
B39H0308,001,1995/12/14 00:00:00,,
B39H0308,001,1996/04/29 00:00:00,,
B39H0308,001,1996/09/09 00:00:00,,
B39H0308,001,1996/10/14 00:00:00,,
B39H0308,001,1996/12/13 13:45:00,,
B39H0308,001,1997/04/28 00:00:00,,
B39H0308,001,1997/08/28 00:00:00,,
B39H0308,001,1997/10/14 00:00:00,,
B39H0308,001,1997/12/15 00:00:00,,
B39H0308,001,1998/04/28 00:00:00,,
B39H0308,001,1998/10/14 00:00:00,,
B39H0308,001,1998/12/14 00:00:00,,
B39H0308,001,1999/04/28 00:00:00,,
B39H0308,001,1999/08/27 00:00:00,,
B39H0308,001,1999/10/14 00:00:00,,
B39H0308,001,1999/12/14 00:00:00,,
