Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0389,001,39HL0002,172140,437040,631,,631,,,1952/12/15,1957/12/14
B39H0389,001,39HL0002,172140,437040,631,,,,,1957/12/14,1966/04/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0389,001,1952/12/15 00:00:00,29,
B39H0389,001,1953/04/28 00:00:00,80,
B39H0389,001,1953/08/28 00:00:00,89,
B39H0389,001,1953/10/13 00:00:00,151,
B39H0389,001,1953/12/14 00:00:00,195,D
B39H0389,001,1954/04/27 00:00:00,87,
B39H0389,001,1954/04/30 00:00:00,75,
B39H0389,001,1954/05/03 00:00:00,75,
B39H0389,001,1954/05/06 00:00:00,75,
B39H0389,001,1954/05/10 00:00:00,74,
B39H0389,001,1954/05/12 00:00:00,72,
B39H0389,001,1954/05/15 00:00:00,75,
B39H0389,001,1954/05/18 00:00:00,74,
B39H0389,001,1954/05/21 00:00:00,75,
B39H0389,001,1954/05/24 00:00:00,74,
B39H0389,001,1954/05/26 00:00:00,69,
B39H0389,001,1954/05/31 00:00:00,65,
B39H0389,001,1954/06/03 00:00:00,63,
B39H0389,001,1954/06/05 00:00:00,61,
B39H0389,001,1954/06/09 00:00:00,61,
B39H0389,001,1954/06/12 00:00:00,60,
B39H0389,001,1954/06/15 00:00:00,60,
B39H0389,001,1954/06/18 00:00:00,63,
B39H0389,001,1954/06/21 00:00:00,66,
B39H0389,001,1954/06/24 00:00:00,62,
B39H0389,001,1954/06/26 00:00:00,62,
B39H0389,001,1954/06/30 00:00:00,63,
B39H0389,001,1954/07/03 00:00:00,62,
B39H0389,001,1954/07/06 00:00:00,65,
B39H0389,001,1954/07/09 00:00:00,65,
B39H0389,001,1954/07/12 00:00:00,64,
B39H0389,001,1954/07/15 00:00:00,65,
B39H0389,001,1954/07/19 00:00:00,40,
B39H0389,001,1954/07/21 00:00:00,63,
B39H0389,001,1954/07/24 00:00:00,67,
B39H0389,001,1954/07/27 00:00:00,28,
B39H0389,001,1954/07/30 00:00:00,34,
B39H0389,001,1954/08/03 00:00:00,67,
B39H0389,001,1954/08/06 00:00:00,69,
B39H0389,001,1954/08/09 00:00:00,65,
B39H0389,001,1954/08/12 00:00:00,63,
B39H0389,001,1954/08/16 00:00:00,52,
B39H0389,001,1954/08/18 00:00:00,65,
B39H0389,001,1954/08/21 00:00:00,66,
B39H0389,001,1954/08/25 00:00:00,25,
B39H0389,001,1954/08/27 00:00:00,63,
B39H0389,001,1954/08/30 00:00:00,69,
B39H0389,001,1954/09/03 00:00:00,63,
B39H0389,001,1954/09/06 00:00:00,44,
B39H0389,001,1954/09/09 00:00:00,58,
B39H0389,001,1954/09/13 00:00:00,66,
B39H0389,001,1954/09/15 00:00:00,66,
B39H0389,001,1954/09/18 00:00:00,65,
B39H0389,001,1954/09/21 00:00:00,69,
B39H0389,001,1954/09/24 00:00:00,65,
B39H0389,001,1954/09/27 00:00:00,36,
B39H0389,001,1954/09/30 00:00:00,59,
B39H0389,001,1954/10/04 00:00:00,75,
B39H0389,001,1954/10/06 00:00:00,53,
B39H0389,001,1954/10/09 00:00:00,56,
B39H0389,001,1954/10/12 00:00:00,73,
B39H0389,001,1954/10/15 00:00:00,72,
B39H0389,001,1954/10/18 00:00:00,72,
B39H0389,001,1954/10/21 00:00:00,62,
B39H0389,001,1954/10/25 00:00:00,24,
B39H0389,001,1954/10/27 00:00:00,62,
B39H0389,001,1954/10/30 00:00:00,59,
B39H0389,001,1954/11/03 00:00:00,69,
B39H0389,001,1954/11/06 00:00:00,68,
B39H0389,001,1954/11/09 00:00:00,33,
B39H0389,001,1954/11/12 00:00:00,59,
B39H0389,001,1954/11/15 00:00:00,61,
B39H0389,001,1954/11/19 00:00:00,65,
B39H0389,001,1954/11/24 00:00:00,82,
B39H0389,001,1954/11/29 00:00:00,84,
B39H0389,001,1954/12/07 00:00:00,78,
B39H0389,001,1954/12/14 00:00:00,50,
B39H0389,001,1954/12/16 00:00:00,64,
B39H0389,001,1954/12/21 00:00:00,72,
B39H0389,001,1954/12/28 00:00:00,48,
B39H0389,001,1955/01/07 00:00:00,82,
B39H0389,001,1955/01/14 00:00:00,78,
B39H0389,001,1955/01/21 00:00:00,64,
B39H0389,001,1955/01/28 00:00:00,57,
B39H0389,001,1955/02/07 00:00:00,41,
B39H0389,001,1955/02/14 00:00:00,66,
B39H0389,001,1955/02/21 00:00:00,88,
B39H0389,001,1955/02/28 00:00:00,132,
B39H0389,001,1955/03/07 00:00:00,92,
B39H0389,001,1955/03/14 00:00:00,108,
B39H0389,001,1955/03/21 00:00:00,90,
B39H0389,001,1955/03/28 00:00:00,82,
B39H0389,001,1955/04/07 00:00:00,93,
B39H0389,001,1955/04/14 00:00:00,86,
B39H0389,001,1955/04/21 00:00:00,93,
B39H0389,001,1955/04/26 00:00:00,101,
B39H0389,001,1955/04/28 00:00:00,90,
B39H0389,001,1955/05/07 00:00:00,77,
B39H0389,001,1955/05/10 00:00:00,75,
B39H0389,001,1955/05/12 00:00:00,82,
B39H0389,001,1955/05/16 00:00:00,76,
B39H0389,001,1955/05/18 00:00:00,60,
B39H0389,001,1955/05/21 00:00:00,66,
B39H0389,001,1955/05/24 00:00:00,75,
B39H0389,001,1955/05/27 00:00:00,69,
B39H0389,001,1955/05/31 00:00:00,69,
B39H0389,001,1955/06/03 00:00:00,65,
B39H0389,001,1955/06/06 00:00:00,67,
B39H0389,001,1955/06/09 00:00:00,58,
B39H0389,001,1955/06/13 00:00:00,39,
B39H0389,001,1955/06/15 00:00:00,57,
B39H0389,001,1955/06/18 00:00:00,63,
B39H0389,001,1955/06/21 00:00:00,63,
B39H0389,001,1955/06/24 00:00:00,63,
B39H0389,001,1955/06/27 00:00:00,66,
B39H0389,001,1955/06/30 00:00:00,64,
B39H0389,001,1955/07/04 00:00:00,66,
B39H0389,001,1955/07/06 00:00:00,65,
B39H0389,001,1955/07/09 00:00:00,66,
B39H0389,001,1955/07/12 00:00:00,68,
B39H0389,001,1955/07/15 00:00:00,54,
B39H0389,001,1955/07/18 00:00:00,61,
B39H0389,001,1955/07/21 00:00:00,63,
B39H0389,001,1955/07/25 00:00:00,64,
B39H0389,001,1955/07/27 00:00:00,68,
B39H0389,001,1955/07/30 00:00:00,68,
B39H0389,001,1955/08/03 00:00:00,74,
B39H0389,001,1955/08/06 00:00:00,64,
B39H0389,001,1955/08/09 00:00:00,62,
B39H0389,001,1955/08/12 00:00:00,61,
B39H0389,001,1955/08/15 00:00:00,61,
B39H0389,001,1955/08/18 00:00:00,65,
B39H0389,001,1955/08/22 00:00:00,69,
B39H0389,001,1955/08/24 00:00:00,70,
B39H0389,001,1955/08/25 00:00:00,78,
B39H0389,001,1955/08/27 00:00:00,69,
B39H0389,001,1955/08/30 00:00:00,17,
B39H0389,001,1955/09/03 00:00:00,73,
B39H0389,001,1955/09/06 00:00:00,64,
B39H0389,001,1955/09/09 00:00:00,62,
B39H0389,001,1955/09/12 00:00:00,62,
B39H0389,001,1955/09/15 00:00:00,62,
B39H0389,001,1955/09/19 00:00:00,62,
B39H0389,001,1955/09/21 00:00:00,63,
B39H0389,001,1955/09/24 00:00:00,64,
B39H0389,001,1955/09/27 00:00:00,65,
B39H0389,001,1955/09/30 00:00:00,65,
B39H0389,001,1955/10/03 00:00:00,66,
B39H0389,001,1955/10/06 00:00:00,52,
B39H0389,001,1955/10/10 00:00:00,66,
B39H0389,001,1955/10/12 00:00:00,68,
B39H0389,001,1955/10/15 00:00:00,64,
B39H0389,001,1955/10/18 00:00:00,47,
B39H0389,001,1955/10/21 00:00:00,63,
B39H0389,001,1955/10/24 00:00:00,72,
B39H0389,001,1955/10/27 00:00:00,34,
B39H0389,001,1955/10/31 00:00:00,48,
B39H0389,001,1955/11/03 00:00:00,68,
B39H0389,001,1955/11/07 00:00:00,78,
B39H0389,001,1955/11/14 00:00:00,37,
B39H0389,001,1955/11/21 00:00:00,96,
B39H0389,001,1955/11/28 00:00:00,106,
B39H0389,001,1957/12/14 00:00:00,113,
B39H0389,001,1958/04/28 00:00:00,77,
B39H0389,001,1958/08/28 00:00:00,76,
B39H0389,001,1958/10/14 00:00:00,70,
B39H0389,001,1958/12/15 00:00:00,115,
B39H0389,001,1959/04/28 00:00:00,81,
B39H0389,001,1959/08/28 00:00:00,78,
B39H0389,001,1959/10/14 00:00:00,155,
B39H0389,001,1959/12/14 00:00:00,,D
B39H0389,001,1960/04/28 00:00:00,90,
B39H0389,001,1960/08/29 00:00:00,72,
B39H0389,001,1960/10/13 00:00:00,47,
B39H0389,001,1960/12/14 00:00:00,98,
B39H0389,001,1961/04/28 00:00:00,63,
B39H0389,001,1961/08/28 00:00:00,88,
B39H0389,001,1961/10/16 00:00:00,88,
B39H0389,001,1962/04/27 00:00:00,70,
B39H0389,001,1962/08/28 00:00:00,88,
B39H0389,001,1962/10/15 00:00:00,105,
B39H0389,001,1962/12/14 00:00:00,144,
B39H0389,001,1963/04/29 00:00:00,78,
B39H0389,001,1963/08/28 00:00:00,82,
B39H0389,001,1963/10/14 00:00:00,83,
B39H0389,001,1963/12/30 00:00:00,131,
B39H0389,001,1964/04/28 00:00:00,82,
B39H0389,001,1964/12/14 00:00:00,105,
B39H0389,001,1965/04/28 00:00:00,79,
B39H0389,001,1965/08/27 00:00:00,73,
B39H0389,001,1965/10/14 00:00:00,88,
