Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0391,001,39HL0003,175230,435660,732,,,,,1952/11/28,1955/06/14
B39H0391,001,39HL0003,175230,435660,732,,725,,,1955/06/14,1960/12/28
B39H0391,001,39HL0003,175230,435660,731,,725,475,425,1960/12/28,1965/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0391,001,1952/11/28 00:00:00,67,
B39H0391,001,1952/12/15 00:00:00,51,
B39H0391,001,1952/12/29 00:00:00,35,
B39H0391,001,1953/01/14 00:00:00,68,
B39H0391,001,1953/01/28 00:00:00,80,
B39H0391,001,1953/02/28 00:00:00,78,
B39H0391,001,1953/03/14 00:00:00,87,
B39H0391,001,1953/03/28 00:00:00,91,
B39H0391,001,1953/04/14 00:00:00,88,
B39H0391,001,1953/04/28 00:00:00,103,
B39H0391,001,1953/05/14 00:00:00,112,
B39H0391,001,1953/05/28 00:00:00,137,
B39H0391,001,1953/06/15 00:00:00,134,
B39H0391,001,1953/06/28 00:00:00,110,
B39H0391,001,1953/07/14 00:00:00,85,
B39H0391,001,1953/07/28 00:00:00,85,
B39H0391,001,1953/08/14 00:00:00,106,
B39H0391,001,1953/08/28 00:00:00,100,
B39H0391,001,1953/09/14 00:00:00,127,
B39H0391,001,1953/09/28 00:00:00,144,
B39H0391,001,1953/10/12 00:00:00,159,
B39H0391,001,1953/10/28 00:00:00,162,
B39H0391,001,1953/11/14 00:00:00,190,
B39H0391,001,1953/11/28 00:00:00,202,
B39H0391,001,1953/12/14 00:00:00,201,D
B39H0391,001,1953/12/28 00:00:00,201,D
B39H0391,001,1954/01/14 00:00:00,170,
B39H0391,001,1954/02/15 00:00:00,117,
B39H0391,001,1954/03/01 00:00:00,91,
B39H0391,001,1954/03/15 00:00:00,101,
B39H0391,001,1954/03/29 00:00:00,124,
B39H0391,001,1954/04/14 00:00:00,120,
B39H0391,001,1954/04/27 00:00:00,124,
B39H0391,001,1954/05/14 00:00:00,132,
B39H0391,001,1954/05/28 00:00:00,155,
B39H0391,001,1954/06/14 00:00:00,148,
B39H0391,001,1954/06/28 00:00:00,155,
B39H0391,001,1954/07/14 00:00:00,139,
B39H0391,001,1954/07/16 00:00:00,137,
B39H0391,001,1954/07/28 00:00:00,86,
B39H0391,001,1954/08/14 00:00:00,96,
B39H0391,001,1954/08/27 00:00:00,70,
B39H0391,001,1954/08/30 00:00:00,76,
B39H0391,001,1954/09/14 00:00:00,70,
B39H0391,001,1954/09/28 00:00:00,59,
B39H0391,001,1954/10/15 00:00:00,68,
B39H0391,001,1954/10/29 00:00:00,60,
B39H0391,001,1954/11/15 00:00:00,74,
B39H0391,001,1954/11/29 00:00:00,89,
B39H0391,001,1954/12/16 00:00:00,77,
B39H0391,001,1954/12/28 00:00:00,49,
B39H0391,001,1955/01/28 00:00:00,36,
B39H0391,001,1955/06/14 00:00:00,92,
B39H0391,001,1955/06/28 00:00:00,99,
B39H0391,001,1955/07/14 00:00:00,106,
B39H0391,001,1955/07/28 00:00:00,107,
B39H0391,001,1955/08/16 00:00:00,99,
B39H0391,001,1955/08/29 00:00:00,121,
B39H0391,001,1955/09/14 00:00:00,124,
B39H0391,001,1955/09/28 00:00:00,128,
B39H0391,001,1955/10/17 00:00:00,135,
B39H0391,001,1955/10/28 00:00:00,101,
B39H0391,001,1955/11/14 00:00:00,126,
B39H0391,001,1955/11/28 00:00:00,149,
B39H0391,001,1955/12/14 00:00:00,123,
B39H0391,001,1955/12/28 00:00:00,69,
B39H0391,001,1956/01/14 00:00:00,70,
B39H0391,001,1956/01/30 00:00:00,55,
B39H0391,001,1956/10/29 00:00:00,85,
B39H0391,001,1956/11/14 00:00:00,81,
B39H0391,001,1956/11/28 00:00:00,77,
B39H0391,001,1956/12/14 00:00:00,68,
B39H0391,001,1957/01/14 00:00:00,84,
B39H0391,001,1957/01/28 00:00:00,101,
B39H0391,001,1957/02/14 00:00:00,42,
B39H0391,001,1957/02/28 00:00:00,35,
B39H0391,001,1957/03/14 00:00:00,66,
B39H0391,001,1957/03/28 00:00:00,68,
B39H0391,001,1957/04/15 00:00:00,88,
B39H0391,001,1957/04/29 00:00:00,106,
B39H0391,001,1957/05/14 00:00:00,115,
B39H0391,001,1957/05/28 00:00:00,127,
B39H0391,001,1957/06/14 00:00:00,143,
B39H0391,001,1957/06/28 00:00:00,137,
