Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0393,001,39HL0003,175030,435660,753,,745,595,545,1968/06/14,1972/01/28
B39H0393,001,39HL0003,175030,435660,753,,745,495,445,1972/01/28,1975/03/14
B39H0393,001,39HL0003,175030,435660,753,,756,506,456,1975/03/14,1975/05/14
B39H0393,001,39HL0003,175030,435660,753,,739,489,439,1975/05/14,1986/11/13
B39H0393,001,39HL0003,175030,435660,753,,,,,1986/11/13,1989/12/08

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0393,001,1968/06/14 00:00:00,114,
B39H0393,001,1968/06/28 00:00:00,103,
B39H0393,001,1968/07/15 00:00:00,124,
B39H0393,001,1968/07/29 00:00:00,128,
B39H0393,001,1968/08/14 00:00:00,86,
B39H0393,001,1968/08/28 00:00:00,94,
B39H0393,001,1968/09/13 00:00:00,86,
B39H0393,001,1968/09/27 00:00:00,45,
B39H0393,001,1968/10/14 00:00:00,47,
B39H0393,001,1968/10/28 00:00:00,86,
B39H0393,001,1968/11/14 00:00:00,112,
B39H0393,001,1968/11/28 00:00:00,132,
B39H0393,001,1968/12/13 00:00:00,157,
B39H0393,001,1968/12/27 00:00:00,144,
B39H0393,001,1969/01/14 00:00:00,144,
B39H0393,001,1969/01/28 00:00:00,121,
B39H0393,001,1969/02/14 00:00:00,112,
B39H0393,001,1969/02/28 00:00:00,98,
B39H0393,001,1969/03/14 00:00:00,83,
B39H0393,001,1969/03/28 00:00:00,87,
B39H0393,001,1969/04/14 00:00:00,98,
B39H0393,001,1969/04/28 00:00:00,79,
B39H0393,001,1969/05/14 00:00:00,80,
B39H0393,001,1969/05/28 00:00:00,97,
B39H0393,001,1969/06/13 00:00:00,96,
B39H0393,001,1969/06/27 00:00:00,105,
B39H0393,001,1969/07/14 00:00:00,104,
B39H0393,001,1969/07/28 00:00:00,120,
B39H0393,001,1969/08/14 00:00:00,140,
B39H0393,001,1969/08/28 00:00:00,112,
B39H0393,001,1969/09/15 00:00:00,117,
B39H0393,001,1969/09/29 00:00:00,146,
B39H0393,001,1969/10/14 00:00:00,169,
B39H0393,001,1969/10/28 00:00:00,188,
B39H0393,001,1969/11/14 00:00:00,180,
B39H0393,001,1969/11/28 00:00:00,179,
B39H0393,001,1969/12/15 00:00:00,177,
B39H0393,001,1969/12/29 00:00:00,170,
B39H0393,001,1970/01/14 00:00:00,181,
B39H0393,001,1970/01/28 00:00:00,139,
B39H0393,001,1970/02/13 00:00:00,54,
B39H0393,001,1970/02/27 00:00:00,46,
B39H0393,001,1970/03/13 00:00:00,81,
B39H0393,001,1970/03/26 00:00:00,67,
B39H0393,001,1970/04/14 00:00:00,71,
B39H0393,001,1970/04/28 00:00:00,70,
B39H0393,001,1970/05/14 00:00:00,70,
B39H0393,001,1970/05/28 00:00:00,69,
B39H0393,001,1970/06/15 00:00:00,92,
B39H0393,001,1970/06/29 00:00:00,87,
B39H0393,001,1970/07/14 00:00:00,89,
B39H0393,001,1970/07/28 00:00:00,90,
B39H0393,001,1970/08/14 00:00:00,116,
B39H0393,001,1970/08/28 00:00:00,111,
B39H0393,001,1970/09/14 00:00:00,118,
B39H0393,001,1970/09/28 00:00:00,139,
B39H0393,001,1970/10/14 00:00:00,128,
B39H0393,001,1970/10/28 00:00:00,111,
B39H0393,001,1970/11/13 00:00:00,117,
B39H0393,001,1970/11/27 00:00:00,118,
B39H0393,001,1970/12/14 00:00:00,103,
B39H0393,001,1970/12/28 00:00:00,141,
B39H0393,001,1971/01/14 00:00:00,171,
B39H0393,001,1971/01/28 00:00:00,119,
B39H0393,001,1971/02/15 00:00:00,128,
B39H0393,001,1971/03/01 00:00:00,138,
B39H0393,001,1971/03/15 00:00:00,156,
B39H0393,001,1971/03/29 00:00:00,154,
B39H0393,001,1971/04/14 00:00:00,160,
B39H0393,001,1971/04/28 00:00:00,168,
B39H0393,001,1971/05/14 00:00:00,171,
B39H0393,001,1971/05/28 00:00:00,166,
B39H0393,001,1971/06/14 00:00:00,155,
B39H0393,001,1971/06/28 00:00:00,86,
B39H0393,001,1971/07/14 00:00:00,133,
B39H0393,001,1971/07/28 00:00:00,157,
B39H0393,001,1971/08/18 00:00:00,183,
B39H0393,001,1971/08/27 00:00:00,182,
B39H0393,001,1971/09/14 00:00:00,189,
B39H0393,001,1971/09/28 00:00:00,188,
B39H0393,001,1971/10/14 00:00:00,189,D
B39H0393,001,1971/10/28 00:00:00,203,D
B39H0393,001,1971/11/15 00:00:00,208,D
B39H0393,001,1971/11/29 00:00:00,,D
B39H0393,001,1971/12/14 00:00:00,,D
B39H0393,001,1971/12/28 00:00:00,204,
B39H0393,001,1972/01/14 00:00:00,,D
B39H0393,001,1972/01/28 00:00:00,214,
B39H0393,001,1972/02/14 00:00:00,211,
B39H0393,001,1972/02/28 00:00:00,211,
B39H0393,001,1972/03/14 00:00:00,221,
B39H0393,001,1972/03/28 00:00:00,228,
B39H0393,001,1972/04/14 00:00:00,160,
B39H0393,001,1972/04/28 00:00:00,147,
B39H0393,001,1972/05/15 00:00:00,142,
B39H0393,001,1972/05/29 00:00:00,142,
B39H0393,001,1972/06/14 00:00:00,136,
B39H0393,001,1972/06/28 00:00:00,131,
B39H0393,001,1972/07/14 00:00:00,123,
B39H0393,001,1972/07/28 00:00:00,118,
B39H0393,001,1972/08/14 00:00:00,135,
B39H0393,001,1972/08/28 00:00:00,136,
B39H0393,001,1972/09/14 00:00:00,158,
B39H0393,001,1972/09/28 00:00:00,171,
B39H0393,001,1972/10/13 00:00:00,189,
B39H0393,001,1972/10/27 00:00:00,206,
B39H0393,001,1972/11/14 00:00:00,192,
B39H0393,001,1972/11/28 00:00:00,105,
B39H0393,001,1972/12/14 00:00:00,114,
B39H0393,001,1972/12/28 00:00:00,147,
B39H0393,001,1973/01/15 00:00:00,180,
B39H0393,001,1973/01/29 00:00:00,194,
B39H0393,001,1973/02/14 00:00:00,178,
B39H0393,001,1973/02/28 00:00:00,130,
B39H0393,001,1973/03/14 00:00:00,142,
B39H0393,001,1973/03/28 00:00:00,165,
B39H0393,001,1973/04/13 00:00:00,132,
B39H0393,001,1973/04/27 00:00:00,119,
