Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0395,001,39HL0007,179320,435900,769,,759,,,1952/12/16,1955/04/27
B39H0395,001,39HL0007,179320,435900,769,,760,,,1955/04/27,1964/12/14
B39H0395,001,39HL0007,179320,435900,769,,759,,,1964/12/14,1981/08/28
B39H0395,001,39HL0007,179320,435900,769,,,,,1981/08/28,1989/09/21
B39H0395,001,39HL0007,179320,435900,769,,,,,1989/09/21,1993/10/15
B39H0395,001,39HL0007,179320,435900,769,,,,,1993/10/15,1997/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0395,001,1952/12/16 00:00:00,80,
B39H0395,001,1953/04/28 00:00:00,98,
B39H0395,001,1953/08/27 00:00:00,97,
B39H0395,001,1953/10/14 00:00:00,148,
B39H0395,001,1953/12/15 00:00:00,142,
B39H0395,001,1954/04/28 00:00:00,112,
B39H0395,001,1954/08/27 00:00:00,60,
B39H0395,001,1954/10/14 00:00:00,63,
B39H0395,001,1954/12/14 00:00:00,72,
B39H0395,001,1955/04/27 00:00:00,115,
B39H0395,001,1955/06/01 00:00:00,92,
B39H0395,001,1955/08/31 00:00:00,161,
B39H0395,001,1955/10/11 00:00:00,171,
B39H0395,001,1957/08/28 00:00:00,124,
B39H0395,001,1957/10/14 00:00:00,90,
B39H0395,001,1957/12/14 00:00:00,85,
B39H0395,001,1958/04/28 00:00:00,87,
B39H0395,001,1958/08/28 00:00:00,90,
B39H0395,001,1958/10/14 00:00:00,84,
B39H0395,001,1958/12/15 00:00:00,69,
B39H0395,001,1959/04/28 00:00:00,84,
B39H0395,001,1959/08/28 00:00:00,164,
B39H0395,001,1959/10/14 00:00:00,172,
B39H0395,001,1959/12/14 00:00:00,179,
B39H0395,001,1960/04/28 00:00:00,117,
B39H0395,001,1960/08/29 00:00:00,112,
B39H0395,001,1960/10/14 00:00:00,38,
B39H0395,001,1960/12/14 00:00:00,76,
B39H0395,001,1961/04/28 00:00:00,82,
B39H0395,001,1961/08/28 00:00:00,104,
B39H0395,001,1961/10/13 00:00:00,114,
B39H0395,001,1961/12/14 00:00:00,32,
B39H0395,001,1962/04/27 00:00:00,84,
B39H0395,001,1962/08/28 00:00:00,118,
B39H0395,001,1962/10/15 00:00:00,136,
B39H0395,001,1962/12/14 00:00:00,125,
B39H0395,001,1963/04/29 00:00:00,98,
B39H0395,001,1963/08/28 00:00:00,116,
B39H0395,001,1963/10/14 00:00:00,104,
