Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0396,001,39HL0008,171340,432640,,,,,,1952/10/14,1971/10/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0396,001,1952/10/14 00:00:00,68,D
B39H0396,001,1952/12/15 00:00:00,44,
B39H0396,001,1952/12/18 00:00:00,33,
B39H0396,001,1953/08/28 00:00:00,89,
B39H0396,001,1953/10/14 00:00:00,145,
B39H0396,001,1953/12/17 00:00:00,210,D
B39H0396,001,1954/04/27 00:00:00,117,
B39H0396,001,1954/08/30 00:00:00,61,
B39H0396,001,1954/10/14 00:00:00,61,
B39H0396,001,1954/12/16 00:00:00,65,
B39H0396,001,1955/08/26 00:00:00,110,
B39H0396,001,1955/10/14 00:00:00,126,
B39H0396,001,1959/12/14 00:00:00,210,D
B39H0396,001,1960/04/28 00:00:00,145,
B39H0396,001,1960/08/29 00:00:00,99,
B39H0396,001,1960/10/14 00:00:00,56,
B39H0396,001,1960/12/14 00:00:00,84,
B39H0396,001,1961/04/28 00:00:00,90,
B39H0396,001,1961/08/28 00:00:00,86,
B39H0396,001,1961/10/13 00:00:00,130,
B39H0396,001,1961/12/14 00:00:00,46,
B39H0396,001,1962/04/27 00:00:00,87,
B39H0396,001,1962/08/28 00:00:00,133,
B39H0396,001,1962/10/15 00:00:00,166,
B39H0396,001,1962/12/14 00:00:00,182,
B39H0396,001,1963/04/29 00:00:00,99,
B39H0396,001,1963/08/28 00:00:00,129,
B39H0396,001,1963/10/14 00:00:00,113,
B39H0396,001,1963/12/13 00:00:00,100,
B39H0396,001,1964/04/28 00:00:00,116,
B39H0396,001,1964/08/28 00:00:00,184,
B39H0396,001,1964/10/14 00:00:00,186,
B39H0396,001,1964/12/14 00:00:00,98,
B39H0396,001,1965/04/28 00:00:00,79,
B39H0396,001,1965/08/27 00:00:00,86,
B39H0396,001,1965/10/14 00:00:00,99,
B39H0396,001,1965/12/14 00:00:00,48,
B39H0396,001,1966/04/28 00:00:00,60,
B39H0396,001,1966/08/29 00:00:00,92,
B39H0396,001,1966/10/14 00:00:00,105,
B39H0396,001,1966/12/14 00:00:00,58,
B39H0396,001,1967/04/28 00:00:00,92,
B39H0396,001,1967/08/28 00:00:00,138,
B39H0396,001,1967/10/13 00:00:00,151,
B39H0396,001,1967/12/14 00:00:00,90,
B39H0396,001,1968/04/29 00:00:00,121,
B39H0396,001,1968/08/28 00:00:00,100,
B39H0396,001,1968/10/14 00:00:00,66,
B39H0396,001,1968/12/13 00:00:00,128,
B39H0396,001,1969/04/28 00:00:00,79,
B39H0396,001,1969/08/28 00:00:00,95,
B39H0396,001,1969/10/14 00:00:00,146,
B39H0396,001,1969/12/15 00:00:00,180,
B39H0396,001,1970/04/28 00:00:00,95,
B39H0396,001,1970/08/28 00:00:00,118,
B39H0396,001,1970/10/14 00:00:00,112,
B39H0396,001,1970/12/14 00:00:00,98,
B39H0396,001,1971/04/28 00:00:00,140,
B39H0396,001,1971/08/27 00:00:00,152,
