Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0397,001,39HL0010,175460,432900,738,,728,,,1952/10/13,1963/10/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0397,001,1952/10/13 00:00:00,151,
B39H0397,001,1952/10/28 00:00:00,134,
B39H0397,001,1952/11/14 00:00:00,66,
B39H0397,001,1952/11/28 00:00:00,69,
B39H0397,001,1952/12/15 00:00:00,72,
B39H0397,001,1952/12/29 00:00:00,57,
B39H0397,001,1953/01/14 00:00:00,86,
B39H0397,001,1953/01/28 00:00:00,102,
B39H0397,001,1953/02/14 00:00:00,79,
B39H0397,001,1953/02/28 00:00:00,74,
B39H0397,001,1953/03/14 00:00:00,91,
B39H0397,001,1953/03/28 00:00:00,119,
B39H0397,001,1953/04/14 00:00:00,111,
B39H0397,001,1953/04/27 00:00:00,121,
B39H0397,001,1953/05/13 00:00:00,140,
B39H0397,001,1953/05/27 00:00:00,128,
B39H0397,001,1953/06/15 00:00:00,136,
B39H0397,001,1953/06/27 00:00:00,117,
B39H0397,001,1953/07/15 00:00:00,88,
B39H0397,001,1953/07/29 00:00:00,98,
B39H0397,001,1953/08/14 00:00:00,111,
B39H0397,001,1953/08/28 00:00:00,121,
B39H0397,001,1953/09/14 00:00:00,133,
B39H0397,001,1953/09/28 00:00:00,184,
B39H0397,001,1953/10/14 00:00:00,210,D
B39H0397,001,1953/10/28 00:00:00,210,D
B39H0397,001,1953/11/14 00:00:00,210,D
B39H0397,001,1953/11/28 00:00:00,210,D
B39H0397,001,1953/12/28 00:00:00,,D
B39H0397,001,1954/01/14 00:00:00,208,D
B39H0397,001,1954/02/15 00:00:00,98,
B39H0397,001,1954/03/04 00:00:00,110,
B39H0397,001,1954/03/15 00:00:00,123,
B39H0397,001,1954/03/29 00:00:00,156,
B39H0397,001,1954/04/14 00:00:00,131,
B39H0397,001,1954/04/27 00:00:00,147,
B39H0397,001,1954/05/14 00:00:00,165,
B39H0397,001,1954/05/28 00:00:00,170,
B39H0397,001,1954/06/14 00:00:00,155,
B39H0397,001,1954/06/28 00:00:00,160,
B39H0397,001,1954/07/14 00:00:00,140,
B39H0397,001,1954/07/28 00:00:00,95,
B39H0397,001,1954/08/14 00:00:00,122,
B39H0397,001,1954/08/28 00:00:00,93,
B39H0397,001,1954/09/14 00:00:00,107,
B39H0397,001,1954/09/29 00:00:00,100,
B39H0397,001,1954/10/14 00:00:00,81,
B39H0397,001,1954/10/28 00:00:00,79,
B39H0397,001,1954/11/15 00:00:00,93,
B39H0397,001,1954/11/29 00:00:00,122,
B39H0397,001,1954/12/22 00:00:00,75,
B39H0397,001,1954/12/28 00:00:00,70,
B39H0397,001,1955/02/09 00:00:00,59,
B39H0397,001,1955/03/15 00:00:00,74,
B39H0397,001,1955/03/28 00:00:00,64,
B39H0397,001,1955/04/14 00:00:00,85,
B39H0397,001,1955/04/25 00:00:00,107,
B39H0397,001,1955/05/14 00:00:00,110,
B39H0397,001,1955/05/28 00:00:00,95,
B39H0397,001,1955/06/14 00:00:00,105,
B39H0397,001,1955/06/28 00:00:00,94,
B39H0397,001,1955/07/14 00:00:00,92,
B39H0397,001,1955/07/28 00:00:00,97,
B39H0397,001,1955/08/16 00:00:00,95,
B39H0397,001,1955/08/25 00:00:00,112,
B39H0397,001,1955/09/13 00:00:00,121,
B39H0397,001,1955/09/28 00:00:00,127,
B39H0397,001,1955/10/13 00:00:00,146,
B39H0397,001,1955/10/27 00:00:00,150,
B39H0397,001,1955/11/15 00:00:00,149,D
B39H0397,001,1955/11/28 00:00:00,149,D
B39H0397,001,1955/12/14 00:00:00,184,
B39H0397,001,1955/12/28 00:00:00,90,
B39H0397,001,1956/01/14 00:00:00,69,
B39H0397,001,1956/01/28 00:00:00,64,
B39H0397,001,1956/03/14 00:00:00,58,
B39H0397,001,1956/03/28 00:00:00,96,
B39H0397,001,1956/04/14 00:00:00,109,
B39H0397,001,1956/04/28 00:00:00,98,
B39H0397,001,1956/05/14 00:00:00,122,
