Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0398,001,39HL0010,175460,432940,736,,726,576,526,1963/10/28,1965/04/28
B39H0398,001,39HL0010,175460,432940,736,,729,479,429,1965/04/28,1975/05/14
B39H0398,001,39HL0010,175460,432940,736,,726,476,426,1975/05/14,1976/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0398,001,1963/10/28 00:00:00,149,
B39H0398,001,1963/11/14 00:00:00,160,
B39H0398,001,1963/11/28 00:00:00,54,
B39H0398,001,1963/12/13 00:00:00,85,
B39H0398,001,1963/12/30 00:00:00,128,
B39H0398,001,1964/01/14 00:00:00,160,
B39H0398,001,1964/01/28 00:00:00,186,
B39H0398,001,1964/02/14 00:00:00,139,
B39H0398,001,1964/02/28 00:00:00,157,
B39H0398,001,1964/03/14 00:00:00,170,
B39H0398,001,1964/03/26 00:00:00,136,
B39H0398,001,1964/04/14 00:00:00,93,
B39H0398,001,1964/04/28 00:00:00,121,
B39H0398,001,1964/05/14 00:00:00,109,
B39H0398,001,1964/05/28 00:00:00,115,
B39H0398,001,1964/06/15 00:00:00,142,
B39H0398,001,1964/06/29 00:00:00,162,
B39H0398,001,1964/07/14 00:00:00,191,
B39H0398,001,1964/07/28 00:00:00,206,
B39H0398,001,1964/08/14 00:00:00,206,D
B39H0398,001,1964/08/28 00:00:00,,D
B39H0398,001,1964/09/14 00:00:00,,D
B39H0398,001,1964/09/28 00:00:00,206,D
B39H0398,001,1964/10/14 00:00:00,,D
B39H0398,001,1964/10/28 00:00:00,,D
B39H0398,001,1964/11/13 00:00:00,,D
B39H0398,001,1964/11/27 00:00:00,125,
B39H0398,001,1964/12/14 00:00:00,81,
B39H0398,001,1964/12/28 00:00:00,124,
B39H0398,001,1965/01/14 00:00:00,67,
B39H0398,001,1965/01/28 00:00:00,62,
B39H0398,001,1965/02/15 00:00:00,61,
B39H0398,001,1965/03/01 00:00:00,104,
B39H0398,001,1965/03/15 00:00:00,140,
B39H0398,001,1965/03/29 00:00:00,50,
