Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0400,001,39HL0010,175440,432910,710,,700,450,400,1983/09/30,1984/01/26
B39H0400,001,39HL0010,175440,432910,710,,702,452,402,1984/01/26,1988/03/30

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0400,001,1983/09/30 00:00:00,123,
B39H0400,001,1983/10/28 00:00:00,150,
B39H0400,001,1983/11/28 00:00:00,103,
B39H0400,001,1983/12/27 00:00:00,95,
B39H0400,001,1984/01/26 00:00:00,28,
B39H0400,001,1984/02/28 00:00:00,53,
B39H0400,001,1984/03/26 00:00:00,103,
B39H0400,001,1984/04/26 00:00:00,94,
B39H0400,001,1984/05/28 00:00:00,76,
B39H0400,001,1984/06/28 00:00:00,68,
B39H0400,001,1984/08/07 00:00:00,106,
B39H0400,001,1984/08/27 00:00:00,120,
B39H0400,001,1984/09/28 00:00:00,53,
B39H0400,001,1984/10/29 00:00:00,21,
B39H0400,001,1984/11/29 00:00:00,48,
B39H0400,001,1985/01/02 00:00:00,58,
B39H0400,001,1985/01/28 00:00:00,72,
B39H0400,001,1985/02/02 00:00:00,58,
B39H0400,001,1985/03/28 00:00:00,66,
B39H0400,001,1985/04/25 00:00:00,58,
B39H0400,001,1985/06/28 00:00:00,8,
B39H0400,001,1985/07/12 00:00:00,62,
B39H0400,001,1985/08/28 00:00:00,83,
B39H0400,001,1985/11/21 00:00:00,126,
B39H0400,001,1986/01/07 00:00:00,75,
B39H0400,001,1986/01/27 00:00:00,12,
B39H0400,001,1986/03/28 00:00:00,69,
