Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0406,001,39HL0024,178360,431820,771,,762,612,562,1962/08/28,1975/08/28
B39H0406,001,39HL0024,178360,431820,771,,758,608,558,1975/08/28,1976/10/14
B39H0406,001,39HL0024,178360,431820,745,,730,580,530,1976/10/14,1983/01/28
B39H0406,001,39HL0024,178360,431820,775,,752,602,552,1983/01/28,1998/07/30
B39H0406,001,39HL0024,178360,431820,775,,775,602,552,1998/07/30,2000/11/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0406,001,1962/08/28 00:00:00,117,
B39H0406,001,1962/10/15 00:00:00,164,
B39H0406,001,1962/12/14 00:00:00,193,
B39H0406,001,1963/04/29 00:00:00,68,
B39H0406,001,1963/08/28 00:00:00,121,
B39H0406,001,1963/10/14 00:00:00,103,
B39H0406,001,1963/12/13 00:00:00,62,
B39H0406,001,1964/04/28 00:00:00,89,
B39H0406,001,1964/08/28 00:00:00,178,
B39H0406,001,1964/10/14 00:00:00,177,D
B39H0406,001,1964/12/14 00:00:00,84,
B39H0406,001,1965/04/28 00:00:00,30,
B39H0406,001,1965/08/27 00:00:00,38,
B39H0406,001,1965/10/14 00:00:00,76,
B39H0406,001,1965/12/14 00:00:00,17,
B39H0406,001,1966/04/28 00:00:00,22,
B39H0406,001,1966/08/29 00:00:00,69,
B39H0406,001,1966/10/14 00:00:00,69,
B39H0406,001,1966/12/14 00:00:00,24,
B39H0406,001,1967/04/28 00:00:00,64,
B39H0406,001,1967/08/28 00:00:00,103,
B39H0406,001,1967/10/13 00:00:00,116,
B39H0406,001,1967/12/14 00:00:00,57,
B39H0406,001,1968/04/29 00:00:00,70,
B39H0406,001,1968/08/28 00:00:00,52,
B39H0406,001,1968/10/14 00:00:00,26,
B39H0406,001,1968/12/13 00:00:00,80,
B39H0406,001,1969/04/28 00:00:00,36,
B39H0406,001,1969/08/28 00:00:00,59,
B39H0406,001,1969/10/14 00:00:00,119,
B39H0406,001,1969/12/15 00:00:00,137,
B39H0406,001,1970/04/28 00:00:00,46,
B39H0406,001,1970/08/28 00:00:00,101,
B39H0406,001,1970/10/14 00:00:00,103,
B39H0406,001,1970/12/14 00:00:00,34,
B39H0406,001,1971/04/28 00:00:00,116,
B39H0406,001,1971/08/27 00:00:00,134,
B39H0406,001,1971/10/14 00:00:00,147,D
B39H0406,001,1971/12/14 00:00:00,156,
B39H0406,001,1972/04/28 00:00:00,95,
B39H0406,001,1972/08/28 00:00:00,100,
B39H0406,001,1972/10/13 00:00:00,138,
B39H0406,001,1972/12/18 00:00:00,79,
B39H0406,001,1973/04/27 00:00:00,61,
B39H0406,001,1973/08/28 00:00:00,120,
B39H0406,001,1973/10/15 00:00:00,118,
B39H0406,001,1973/12/14 00:00:00,33,
B39H0406,001,1974/04/29 00:00:00,90,
B39H0406,001,1974/08/28 00:00:00,103,
B39H0406,001,1974/10/14 00:00:00,75,
B39H0406,001,1974/12/13 00:00:00,35,
B39H0406,001,1975/04/28 00:00:00,56,
B39H0406,001,1975/08/28 00:00:00,91,
B39H0406,001,1975/10/14 00:00:00,100,
B39H0406,001,1975/12/15 00:00:00,84,
B39H0406,001,1976/04/29 00:00:00,129,
B39H0406,001,1976/08/25 00:00:00,150,D
B39H0406,001,1976/10/14 00:00:00,148,
B39H0406,001,1976/12/15 00:00:00,123,
B39H0406,001,1977/04/29 00:00:00,67,
B39H0406,001,1977/08/29 00:00:00,44,
B39H0406,001,1977/10/14 00:00:00,98,
B39H0406,001,1977/12/14 00:00:00,39,
B39H0406,001,1978/04/28 00:00:00,61,
B39H0406,001,1978/08/28 00:00:00,93,
B39H0406,001,1978/10/13 00:00:00,88,
B39H0406,001,1978/12/15 00:00:00,45,
B39H0406,001,1979/04/27 00:00:00,40,
B39H0406,001,1979/08/28 00:00:00,87,
B39H0406,001,1979/10/15 00:00:00,103,
B39H0406,001,1979/12/14 00:00:00,20,
B39H0406,001,1980/04/28 00:00:00,67,
B39H0406,001,1980/08/28 00:00:00,59,
B39H0406,001,1980/10/14 00:00:00,82,
B39H0406,001,1980/12/15 00:00:00,44,
B39H0406,001,1981/04/29 00:00:00,61,
B39H0406,001,1981/05/28 00:00:00,57,
B39H0406,001,1981/06/29 00:00:00,27,
B39H0406,001,1981/07/28 00:00:00,63,
B39H0406,001,1981/08/28 00:00:00,84,
B39H0406,001,1981/09/29 00:00:00,82,
B39H0406,001,1981/10/28 00:00:00,25,
B39H0406,001,1981/11/27 00:00:00,26,
B39H0406,001,1981/12/28 00:00:00,22,
B39H0406,001,1982/01/28 00:00:00,16,
B39H0406,001,1982/03/01 00:00:00,27,
B39H0406,001,1982/03/29 00:00:00,45,
B39H0406,001,1982/04/28 00:00:00,65,
B39H0406,001,1982/05/27 00:00:00,75,
B39H0406,001,1982/06/28 00:00:00,71,
B39H0406,001,1982/07/27 00:00:00,90,
B39H0406,001,1982/08/27 00:00:00,98,
B39H0406,001,1982/09/28 00:00:00,115,
B39H0406,001,1982/10/28 00:00:00,71,
B39H0406,001,1982/11/29 00:00:00,59,
B39H0406,001,1982/12/28 00:00:00,17,
B39H0406,001,1983/01/28 00:00:00,35,
B39H0406,001,1983/02/28 00:00:00,36,
B39H0406,001,1983/03/28 00:00:00,28,
B39H0406,001,1983/04/28 00:00:00,23,
B39H0406,001,1983/05/31 00:00:00,23,
B39H0406,001,1983/06/28 00:00:00,67,
B39H0406,001,1983/07/28 00:00:00,85,
B39H0406,001,1983/08/26 00:00:00,123,
B39H0406,001,1983/09/29 00:00:00,108,
B39H0406,001,1983/10/28 00:00:00,118,
B39H0406,001,1983/11/28 00:00:00,53,
B39H0406,001,1983/12/27 00:00:00,68,
B39H0406,001,1984/01/26 00:00:00,33,
B39H0406,001,1984/02/28 00:00:00,43,
B39H0406,001,1984/03/26 00:00:00,73,
B39H0406,001,1984/04/26 00:00:00,80,
B39H0406,001,1984/05/28 00:00:00,64,
B39H0406,001,1984/06/28 00:00:00,63,
B39H0406,001,1984/08/07 00:00:00,88,
B39H0406,001,1984/08/27 00:00:00,113,
B39H0406,001,1984/09/28 00:00:00,43,
B39H0406,001,1984/10/29 00:00:00,33,
B39H0406,001,1984/11/29 00:00:00,43,
B39H0406,001,1985/01/02 00:00:00,64,
B39H0406,001,1985/01/28 00:00:00,62,
B39H0406,001,1985/02/28 00:00:00,63,
B39H0406,001,1985/03/28 00:00:00,60,
B39H0406,001,1985/04/25 00:00:00,56,
B39H0406,001,1985/06/28 00:00:00,27,
B39H0406,001,1985/07/12 00:00:00,62,
B39H0406,001,1985/08/28 00:00:00,73,
B39H0406,001,1985/09/26 00:00:00,93,
B39H0406,001,1985/10/28 00:00:00,123,
B39H0406,001,1985/11/21 00:00:00,93,
B39H0406,001,1986/01/07 00:00:00,35,
B39H0406,001,1986/01/31 00:00:00,28,
B39H0406,001,1986/03/28 00:00:00,34,
B39H0406,001,1986/04/28 00:00:00,36,
B39H0406,001,1986/05/29 00:00:00,70,
B39H0406,001,1986/06/26 00:00:00,71,
B39H0406,001,1986/07/25 00:00:00,95,
B39H0406,001,1986/08/22 00:00:00,123,
B39H0406,001,1986/10/02 00:00:00,118,
B39H0406,001,1986/11/03 00:00:00,56,
B39H0406,001,1986/11/26 00:00:00,50,
B39H0406,001,1986/12/22 00:00:00,35,
B39H0406,001,1987/01/27 00:00:00,45,
B39H0406,001,1987/03/30 00:00:00,25,
B39H0406,001,1987/04/27 00:00:00,58,
B39H0406,001,1987/05/27 00:00:00,73,
B39H0406,001,1987/07/03 00:00:00,46,
B39H0406,001,1987/07/30 00:00:00,35,
B39H0406,001,1987/08/30 00:00:00,52,
B39H0406,001,1987/09/29 00:00:00,48,
B39H0406,001,1987/10/28 00:00:00,63,
B39H0406,001,1987/11/27 00:00:00,28,
B39H0406,001,1987/12/28 00:00:00,43,
B39H0406,001,1988/01/27 00:00:00,29,
B39H0406,001,1988/02/25 00:00:00,27,
B39H0406,001,1988/06/01 00:00:00,73,
B39H0406,001,1988/06/27 00:00:00,76,
B39H0406,001,1988/07/29 00:00:00,38,
B39H0406,001,1988/08/26 00:00:00,91,
B39H0406,001,1988/09/26 00:00:00,61,
B39H0406,001,1988/10/28 00:00:00,62,
