Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0431,001,39HL0043,178730,431370,786,,776,626,576,1981/05/28,1983/09/21

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B39H0431,001,1981/05/28 00:00:00,122,
B39H0431,001,1981/06/29 00:00:00,60,
B39H0431,001,1981/07/28 00:00:00,120,
B39H0431,001,1981/08/28 00:00:00,128,
B39H0431,001,1981/09/29 00:00:00,138,
B39H0431,001,1981/10/28 00:00:00,90,
B39H0431,001,1981/11/27 00:00:00,111,
B39H0431,001,1981/12/28 00:00:00,108,
B39H0431,001,1982/01/28 00:00:00,101,
B39H0431,001,1982/03/01 00:00:00,122,
B39H0431,001,1982/03/29 00:00:00,124,
B39H0431,001,1982/04/28 00:00:00,129,
B39H0431,001,1982/05/27 00:00:00,126,
B39H0431,001,1982/06/28 00:00:00,107,
B39H0431,001,1982/07/27 00:00:00,116,
B39H0431,001,1982/08/27 00:00:00,125,
B39H0431,001,1982/09/28 00:00:00,178,
B39H0431,001,1982/10/28 00:00:00,165,
B39H0431,001,1982/11/29 00:00:00,106,
B39H0431,001,1982/12/28 00:00:00,105,
B39H0431,001,1983/01/28 00:00:00,112,
B39H0431,001,1983/02/28 00:00:00,127,
