Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0197,001,40AB0197,184370,441280,858,,820,-642,-1642,1949/09/22,1980/04/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0197,001,1950/05/30 00:00:00,95,
B40A0197,001,1950/06/14 00:00:00,105,
B40A0197,001,1950/06/28 00:00:00,102,
B40A0197,001,1950/07/14 00:00:00,101,
B40A0197,001,1950/07/28 00:00:00,100,
B40A0197,001,1950/10/14 00:00:00,105,
B40A0197,001,1950/10/28 00:00:00,111,
B40A0197,001,1950/11/14 00:00:00,78,
B40A0197,001,1950/11/28 00:00:00,59,
B40A0197,001,1950/12/14 00:00:00,38,
B40A0197,001,1950/12/28 00:00:00,67,
B40A0197,001,1951/01/15 00:00:00,38,
B40A0197,001,1951/01/29 00:00:00,38,
B40A0197,001,1951/02/14 00:00:00,58,
B40A0197,001,1951/02/28 00:00:00,62,
B40A0197,001,1951/03/14 00:00:00,65,
B40A0197,001,1951/03/28 00:00:00,52,
B40A0197,001,1951/04/14 00:00:00,54,
B40A0197,001,1951/04/28 00:00:00,67,
B40A0197,001,1951/05/15 00:00:00,74,
B40A0197,001,1951/05/28 00:00:00,67,
B40A0197,001,1951/06/14 00:00:00,83,
B40A0197,001,1951/06/28 00:00:00,83,
B40A0197,001,1951/07/14 00:00:00,84,
B40A0197,001,1951/07/28 00:00:00,89,
B40A0197,001,1951/08/14 00:00:00,71,
B40A0197,001,1951/08/28 00:00:00,81,
B40A0197,001,1951/09/14 00:00:00,91,
B40A0197,001,1951/09/28 00:00:00,97,
B40A0197,001,1951/10/15 00:00:00,108,
B40A0197,001,1951/10/29 00:00:00,113,
B40A0197,001,1951/11/14 00:00:00,99,
B40A0197,001,1951/11/28 00:00:00,72,
B40A0197,001,1951/12/14 00:00:00,73,
B40A0197,001,1951/12/28 00:00:00,68,
B40A0197,001,1952/01/14 00:00:00,53,
B40A0197,001,1952/01/28 00:00:00,60,
B40A0197,001,1952/02/14 00:00:00,59,
B40A0197,001,1952/02/28 00:00:00,68,
B40A0197,001,1952/03/14 00:00:00,63,
B40A0197,001,1952/03/28 00:00:00,38,
B40A0197,001,1952/04/15 00:00:00,52,
B40A0197,001,1952/04/28 00:00:00,68,
B40A0197,001,1952/05/14 00:00:00,77,
B40A0197,001,1952/05/28 00:00:00,85,
B40A0197,001,1952/06/14 00:00:00,87,
B40A0197,001,1952/06/28 00:00:00,98,
B40A0197,001,1952/07/14 00:00:00,96,
B40A0197,001,1952/07/28 00:00:00,108,
B40A0197,001,1952/08/14 00:00:00,121,
B40A0197,001,1952/08/28 00:00:00,115,
B40A0197,001,1952/09/15 00:00:00,127,
B40A0197,001,1952/09/29 00:00:00,124,
B40A0197,001,1952/10/14 00:00:00,108,
B40A0197,001,1952/10/28 00:00:00,101,
B40A0197,001,1952/11/14 00:00:00,64,
B40A0197,001,1952/12/15 00:00:00,48,
B40A0197,001,1953/01/14 00:00:00,62,
B40A0197,001,1953/01/28 00:00:00,63,
B40A0197,001,1953/02/14 00:00:00,54,
B40A0197,001,1953/02/28 00:00:00,60,
B40A0197,001,1953/03/14 00:00:00,71,
B40A0197,001,1953/03/28 00:00:00,79,
B40A0197,001,1953/04/14 00:00:00,82,
B40A0197,001,1953/04/28 00:00:00,82,
B40A0197,001,1953/05/15 00:00:00,93,
B40A0197,001,1953/05/28 00:00:00,93,
B40A0197,001,1953/12/14 00:00:00,135,
B40A0197,001,1954/04/28 00:00:00,102,
B40A0197,001,1954/10/14 00:00:00,61,
B40A0197,001,1955/04/28 00:00:00,79,
B40A0197,001,1955/10/14 00:00:00,103,
B40A0197,001,1956/04/28 00:00:00,80,
B40A0197,001,1956/10/14 00:00:00,83,
B40A0197,001,1957/04/29 00:00:00,91,
B40A0197,001,1957/10/14 00:00:00,84,
B40A0197,001,1958/04/28 00:00:00,72,
B40A0197,001,1958/10/14 00:00:00,84,
B40A0197,001,1959/04/28 00:00:00,87,
B40A0197,001,1959/10/14 00:00:00,172,
B40A0197,001,1960/04/28 00:00:00,114,
B40A0197,001,1960/10/14 00:00:00,59,
B40A0197,001,1961/04/28 00:00:00,77,
B40A0197,001,1961/10/13 00:00:00,106,
B40A0197,001,1962/04/27 00:00:00,64,
B40A0197,001,1962/08/28 00:00:00,109,
B40A0197,001,1962/10/15 00:00:00,130,
B40A0197,001,1962/12/14 00:00:00,143,
B40A0197,001,1963/03/14 00:00:00,80,
B40A0197,001,1963/03/28 00:00:00,82,
B40A0197,001,1963/04/16 00:00:00,156,
B40A0197,001,1963/04/29 00:00:00,145,
B40A0197,001,1963/05/14 00:00:00,141,
B40A0197,001,1963/05/29 00:00:00,137,
B40A0197,001,1963/06/14 00:00:00,114,
B40A0197,001,1963/06/28 00:00:00,116,
B40A0197,001,1963/07/15 00:00:00,109,
B40A0197,001,1963/07/29 00:00:00,113,
B40A0197,001,1963/08/16 00:00:00,119,
B40A0197,001,1963/08/28 00:00:00,102,
B40A0197,001,1963/09/14 00:00:00,122,
