Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0202,001,40AB0202,180130,441420,854,,846,229,-906,1948/01/01,1978/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0202,001,1950/05/30 00:00:00,202,
B40A0202,001,1950/06/14 00:00:00,206,
B40A0202,001,1950/06/28 00:00:00,213,
B40A0202,001,1950/07/14 00:00:00,228,
B40A0202,001,1950/07/28 00:00:00,244,
B40A0202,001,1950/08/14 00:00:00,250,
B40A0202,001,1950/08/28 00:00:00,261,
B40A0202,001,1950/09/14 00:00:00,241,
B40A0202,001,1950/09/28 00:00:00,223,
B40A0202,001,1950/10/14 00:00:00,239,
B40A0202,001,1950/10/28 00:00:00,254,
B40A0202,001,1950/11/14 00:00:00,243,
B40A0202,001,1950/11/28 00:00:00,117,
B40A0202,001,1950/12/14 00:00:00,54,
B40A0202,001,1950/12/28 00:00:00,119,
B40A0202,001,1951/01/15 00:00:00,96,
B40A0202,001,1951/01/29 00:00:00,24,
B40A0202,001,1951/02/14 00:00:00,107,
B40A0202,001,1951/02/28 00:00:00,111,
B40A0202,001,1951/03/14 00:00:00,154,
B40A0202,001,1951/03/28 00:00:00,100,
B40A0202,001,1951/04/14 00:00:00,81,
B40A0202,001,1951/04/28 00:00:00,137,
B40A0202,001,1951/05/15 00:00:00,162,
B40A0202,001,1951/05/28 00:00:00,155,
B40A0202,001,1951/06/14 00:00:00,165,
B40A0202,001,1951/06/28 00:00:00,148,
B40A0202,001,1951/07/14 00:00:00,162,
B40A0202,001,1951/07/28 00:00:00,160,
B40A0202,001,1951/08/14 00:00:00,164,
B40A0202,001,1951/08/28 00:00:00,182,
B40A0202,001,1951/09/14 00:00:00,203,
B40A0202,001,1951/09/28 00:00:00,225,
B40A0202,001,1951/10/15 00:00:00,253,
B40A0202,001,1951/10/29 00:00:00,269,
B40A0202,001,1951/11/14 00:00:00,268,
B40A0202,001,1951/11/28 00:00:00,204,
B40A0202,001,1951/12/14 00:00:00,170,
B40A0202,001,1951/12/28 00:00:00,176,
B40A0202,001,1952/01/14 00:00:00,131,
B40A0202,001,1952/01/28 00:00:00,113,
B40A0202,001,1952/02/14 00:00:00,128,
B40A0202,001,1952/02/28 00:00:00,141,
B40A0202,001,1952/03/14 00:00:00,123,
B40A0202,001,1952/03/28 00:00:00,48,
B40A0202,001,1952/04/15 00:00:00,64,
B40A0202,001,1952/04/28 00:00:00,113,
B40A0202,001,1952/05/14 00:00:00,153,
B40A0202,001,1952/05/28 00:00:00,180,
B40A0202,001,1952/06/14 00:00:00,205,
B40A0202,001,1952/06/28 00:00:00,207,
B40A0202,001,1952/07/14 00:00:00,214,
B40A0202,001,1952/07/28 00:00:00,233,
B40A0202,001,1952/08/14 00:00:00,262,
B40A0202,001,1952/08/28 00:00:00,272,
B40A0202,001,1952/09/15 00:00:00,281,
B40A0202,001,1952/09/29 00:00:00,275,
B40A0202,001,1952/10/14 00:00:00,258,
B40A0202,001,1952/10/28 00:00:00,247,
B40A0202,001,1952/11/14 00:00:00,94,
B40A0202,001,1952/12/15 00:00:00,60,
B40A0202,001,1953/01/14 00:00:00,95,
B40A0202,001,1953/01/28 00:00:00,150,
B40A0202,001,1953/02/14 00:00:00,129,
B40A0202,001,1953/02/28 00:00:00,111,
B40A0202,001,1953/03/14 00:00:00,141,
B40A0202,001,1953/03/28 00:00:00,180,
B40A0202,001,1953/04/14 00:00:00,182,
B40A0202,001,1953/04/28 00:00:00,192,
B40A0202,001,1953/05/15 00:00:00,212,
B40A0202,001,1953/05/28 00:00:00,227,
B40A0202,001,1953/12/14 00:00:00,259,
B40A0202,001,1954/04/28 00:00:00,226,
B40A0202,001,1954/10/14 00:00:00,102,
B40A0202,001,1955/04/28 00:00:00,177,
B40A0202,001,1955/10/14 00:00:00,231,
B40A0202,001,1956/04/28 00:00:00,155,
B40A0202,001,1956/10/14 00:00:00,146,
B40A0202,001,1957/04/29 00:00:00,178,
B40A0202,001,1957/10/14 00:00:00,148,
B40A0202,001,1958/04/14 00:00:00,145,
B40A0202,001,1958/10/14 00:00:00,220,
B40A0202,001,1959/04/28 00:00:00,183,
B40A0202,001,1959/10/14 00:00:00,312,
B40A0202,001,1960/04/28 00:00:00,245,
B40A0202,001,1960/10/14 00:00:00,140,
B40A0202,001,1961/04/28 00:00:00,164,
B40A0202,001,1961/10/13 00:00:00,233,
B40A0202,001,1962/04/27 00:00:00,88,
B40A0202,001,1962/08/28 00:00:00,228,
B40A0202,001,1962/10/15 00:00:00,270,
B40A0202,001,1962/12/14 00:00:00,286,
B40A0202,001,1963/04/29 00:00:00,235,
B40A0202,001,1963/08/28 00:00:00,238,
B40A0202,001,1963/10/14 00:00:00,241,
B40A0202,001,1963/12/13 00:00:00,289,
B40A0202,001,1964/04/28 00:00:00,209,
B40A0202,001,1964/08/28 00:00:00,294,
B40A0202,001,1964/10/14 00:00:00,310,
B40A0202,001,1964/12/14 00:00:00,197,
B40A0202,001,1965/04/28 00:00:00,88,
B40A0202,001,1965/08/27 00:00:00,156,
B40A0202,001,1965/10/14 00:00:00,179,
B40A0202,001,1965/12/14 00:00:00,-22,
B40A0202,001,1966/04/28 00:00:00,71,
B40A0202,001,1966/08/29 00:00:00,125,
