Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0219,002,40AP0219,183639,439683,774,,881,-4236,-4336,1962/01/11,1974/12/09
B40A0219,002,40AP0219,183639,439683,774,,830,-4236,-4336,1974/12/09,2016/04/20

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0219,002,1962/06/28 00:00:00,-4,
B40A0219,002,1962/08/28 00:00:00,25,
B40A0219,002,1962/10/16 00:00:00,29,
B40A0219,002,1962/11/14 00:00:00,116,
B40A0219,002,1962/12/14 00:00:00,24,
B40A0219,002,1963/01/14 00:00:00,41,
B40A0219,002,1963/02/14 00:00:00,49,
B40A0219,002,1963/04/29 00:00:00,41,
B40A0219,002,1963/06/27 00:00:00,35,
B40A0219,002,1963/07/30 00:00:00,69,
B40A0219,002,1963/08/27 00:00:00,50,
B40A0219,002,1963/10/15 00:00:00,49,
B40A0219,002,1963/11/14 00:00:00,76,
B40A0219,002,1963/12/11 00:00:00,67,
B40A0219,002,1964/02/15 00:00:00,71,
B40A0219,002,1964/04/28 00:00:00,134,
B40A0219,002,1964/07/01 00:00:00,120,
B40A0219,002,1964/08/28 00:00:00,142,
B40A0219,002,1964/10/14 00:00:00,67,
B40A0219,002,1964/12/19 00:00:00,99,
B40A0219,002,1965/02/16 00:00:00,33,
B40A0219,002,1965/04/14 00:00:00,-15,
B40A0219,002,1965/06/28 00:00:00,21,
B40A0219,002,1965/08/30 00:00:00,101,
B40A0219,002,1965/10/14 00:00:00,42,
B40A0219,002,1965/12/14 00:00:00,41,
B40A0219,002,1966/02/14 00:00:00,-11,
B40A0219,002,1966/04/28 00:00:00,73,
B40A0219,002,1966/06/28 00:00:00,15,
B40A0219,002,1966/08/29 00:00:00,-4,
B40A0219,002,1966/10/14 00:00:00,53,
B40A0219,002,1966/12/14 00:00:00,11,
B40A0219,002,1967/02/14 00:00:00,100,
B40A0219,002,1967/04/27 00:00:00,103,
B40A0219,002,1967/06/28 00:00:00,22,
B40A0219,002,1967/08/29 00:00:00,108,
B40A0219,002,1967/10/13 00:00:00,61,
B40A0219,002,1967/12/14 00:00:00,79,
B40A0219,002,1968/02/14 00:00:00,31,
B40A0219,002,1968/04/29 00:00:00,91,
B40A0219,002,1968/06/27 00:00:00,23,
B40A0219,002,1968/08/28 00:00:00,89,
B40A0219,002,1968/10/15 00:00:00,-7,
B40A0219,002,1968/12/16 00:00:00,105,
B40A0219,002,1969/02/14 00:00:00,88,
B40A0219,002,1969/04/28 00:00:00,-27,
B40A0219,002,1969/06/26 00:00:00,41,
B40A0219,002,1969/08/28 00:00:00,95,
B40A0219,002,1969/10/14 00:00:00,61,
B40A0219,002,1969/12/15 00:00:00,126,
B40A0219,002,1970/04/28 00:00:00,95,
B40A0219,002,1970/06/26 00:00:00,45,
B40A0219,002,1970/08/28 00:00:00,118,
B40A0219,002,1970/10/14 00:00:00,48,
B40A0219,002,1970/12/17 00:00:00,100,
B40A0219,002,1971/02/15 00:00:00,92,
B40A0219,002,1971/04/28 00:00:00,126,
B40A0219,002,1971/08/27 00:00:00,67,
