Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0247,001,40AP0247,182770,442740,3158,,3187,458,358,1963/08/29,1970/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0247,001,1964/01/15 00:00:00,2246,
B40A0247,001,1964/01/23 00:00:00,2252,
B40A0247,001,1964/02/07 00:00:00,2263,
B40A0247,001,1964/02/20 00:00:00,2271,
B40A0247,001,1964/03/05 00:00:00,2277,
B40A0247,001,1964/03/19 00:00:00,2279,
B40A0247,001,1964/04/06 00:00:00,2279,
B40A0247,001,1964/04/20 00:00:00,2271,
B40A0247,001,1964/05/11 00:00:00,2266,
B40A0247,001,1964/05/21 00:00:00,2265,
B40A0247,001,1964/06/04 00:00:00,2263,
B40A0247,001,1964/06/18 00:00:00,2261,
B40A0247,001,1964/07/06 00:00:00,2269,
B40A0247,001,1964/07/17 00:00:00,2274,
B40A0247,001,1964/08/06 00:00:00,2288,
B40A0247,001,1964/08/20 00:00:00,2298,
B40A0247,001,1964/09/04 00:00:00,2308,
B40A0247,001,1964/09/22 00:00:00,2320,
B40A0247,001,1964/10/06 00:00:00,2330,
B40A0247,001,1964/10/21 00:00:00,2334,
B40A0247,001,1964/11/05 00:00:00,2339,
B40A0247,001,1964/11/18 00:00:00,2340,
B40A0247,001,1964/12/07 00:00:00,2331,
B40A0247,001,1964/12/23 00:00:00,2321,
B40A0247,001,1965/01/11 00:00:00,2308,
B40A0247,001,1965/01/29 00:00:00,2287,
B40A0247,001,1965/02/05 00:00:00,2276,
B40A0247,001,1965/02/19 00:00:00,2260,
B40A0247,001,1965/03/05 00:00:00,2251,
B40A0247,001,1965/03/22 00:00:00,2260,
B40A0247,001,1965/04/08 00:00:00,2239,
B40A0247,001,1965/04/27 00:00:00,2225,
B40A0247,001,1965/05/20 00:00:00,2210,
B40A0247,001,1965/06/03 00:00:00,2205,
B40A0247,001,1965/06/21 00:00:00,2198,
B40A0247,001,1965/07/06 00:00:00,2190,
B40A0247,001,1965/08/06 00:00:00,2187,
B40A0247,001,1965/09/01 00:00:00,2197,
B40A0247,001,1965/10/01 00:00:00,2197,
B40A0247,001,1965/11/02 00:00:00,2214,
B40A0247,001,1965/12/01 00:00:00,2218,
B40A0247,001,1966/01/05 00:00:00,2204,
B40A0247,001,1966/02/02 00:00:00,2131,
B40A0247,001,1966/04/04 00:00:00,2149,
B40A0247,001,1966/05/03 00:00:00,2151,
B40A0247,001,1966/06/01 00:00:00,2157,
B40A0247,001,1966/07/05 00:00:00,2164,
B40A0247,001,1966/08/01 00:00:00,2149,
B40A0247,001,1966/09/01 00:00:00,2155,
B40A0247,001,1966/10/03 00:00:00,2166,
B40A0247,001,1966/11/03 00:00:00,2173,
B40A0247,001,1967/01/03 00:00:00,2103,
B40A0247,001,1967/02/06 00:00:00,2119,
B40A0247,001,1967/03/06 00:00:00,2141,
B40A0247,001,1967/04/05 00:00:00,2147,
B40A0247,001,1967/05/04 00:00:00,2161,
