Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0247,003,40AP0247,182770,442740,3158,,3203,-5442,-5542,1963/08/29,1996/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40A0247,003,1964/01/15 00:00:00,2088,
B40A0247,003,1964/01/23 00:00:00,2093,
B40A0247,003,1964/02/07 00:00:00,2089,
B40A0247,003,1964/02/20 00:00:00,2084,
B40A0247,003,1964/03/05 00:00:00,2087,
B40A0247,003,1964/03/19 00:00:00,2090,
B40A0247,003,1964/04/06 00:00:00,2066,
B40A0247,003,1964/04/20 00:00:00,2078,
B40A0247,003,1964/05/11 00:00:00,2075,
B40A0247,003,1964/05/21 00:00:00,2072,
B40A0247,003,1964/06/04 00:00:00,2083,
B40A0247,003,1964/06/18 00:00:00,2095,
B40A0247,003,1964/07/06 00:00:00,2092,
B40A0247,003,1964/07/17 00:00:00,2110,
B40A0247,003,1964/08/06 00:00:00,2089,
B40A0247,003,1964/08/20 00:00:00,2115,
B40A0247,003,1964/09/04 00:00:00,2126,
B40A0247,003,1964/09/22 00:00:00,2123,
B40A0247,003,1964/10/06 00:00:00,2123,
B40A0247,003,1964/10/21 00:00:00,2118,
B40A0247,003,1964/11/05 00:00:00,2115,
B40A0247,003,1964/11/18 00:00:00,2104,
B40A0247,003,1964/12/07 00:00:00,2086,
B40A0247,003,1965/01/11 00:00:00,2063,
B40A0247,003,1965/01/29 00:00:00,2080,
B40A0247,003,1965/02/05 00:00:00,2078,
B40A0247,003,1965/02/19 00:00:00,2089,
B40A0247,003,1965/03/05 00:00:00,2095,
B40A0247,003,1965/03/22 00:00:00,2083,
B40A0247,003,1965/04/08 00:00:00,2082,
B40A0247,003,1965/04/27 00:00:00,2063,
B40A0247,003,1965/05/20 00:00:00,2076,
B40A0247,003,1965/06/03 00:00:00,2075,
B40A0247,003,1965/06/21 00:00:00,2054,
B40A0247,003,1965/07/06 00:00:00,2071,
B40A0247,003,1965/08/06 00:00:00,2049,
B40A0247,003,1965/09/01 00:00:00,2063,
B40A0247,003,1965/10/01 00:00:00,2078,
B40A0247,003,1965/11/02 00:00:00,2095,
B40A0247,003,1965/12/01 00:00:00,2046,
B40A0247,003,1966/01/05 00:00:00,2043,
B40A0247,003,1966/02/02 00:00:00,2028,
B40A0247,003,1966/04/04 00:00:00,2025,
B40A0247,003,1966/05/03 00:00:00,2030,
B40A0247,003,1966/06/01 00:00:00,2051,
B40A0247,003,1966/07/05 00:00:00,2031,
B40A0247,003,1966/08/01 00:00:00,2009,
B40A0247,003,1966/09/01 00:00:00,2038,
B40A0247,003,1966/10/03 00:00:00,2045,
B40A0247,003,1966/11/03 00:00:00,2060,
B40A0247,003,1967/01/03 00:00:00,1993,
B40A0247,003,1967/02/06 00:00:00,2008,
B40A0247,003,1967/03/06 00:00:00,2009,
B40A0247,003,1967/04/05 00:00:00,2015,
B40A0247,003,1967/05/04 00:00:00,2025,
B40A0247,003,1967/06/06 00:00:00,2033,
B40A0247,003,1967/07/19 00:00:00,2027,
B40A0247,003,1967/08/21 00:00:00,2024,
B40A0247,003,1967/09/15 00:00:00,2040,
B40A0247,003,1967/11/08 00:00:00,2025,
B40A0247,003,1967/11/17 00:00:00,2047,
B40A0247,003,1967/12/05 00:00:00,2038,
B40A0247,003,1967/12/18 00:00:00,2041,
B40A0247,003,1968/01/02 00:00:00,2035,
B40A0247,003,1968/01/19 00:00:00,2025,
B40A0247,003,1968/02/06 00:00:00,2034,
B40A0247,003,1968/02/19 00:00:00,2039,
B40A0247,003,1968/03/04 00:00:00,2041,
B40A0247,003,1968/03/20 00:00:00,2032,
B40A0247,003,1968/04/03 00:00:00,2049,
B40A0247,003,1968/04/16 00:00:00,2052,
B40A0247,003,1968/05/06 00:00:00,2045,
B40A0247,003,1968/05/20 00:00:00,2048,
B40A0247,003,1968/06/05 00:00:00,2035,
B40A0247,003,1968/06/17 00:00:00,2027,
